Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1361880
	Pos2dProxy:	0x1366ca0
	Ranger:		0x1366f80
	Map:		0x7fffc01f8920

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	26
2.0204	0.1
2.3676	0.2
2.886	0.2
3.8332	0.1
4.146	0.2
4.632	0.2
4.9136	0.1
5.2364	0.2
5.5052	0.2
5.7496	0.1
5.966	0.2
6.0936	0.2
6.1472	0.1
6.278	0.2
6.408	0.2
6.4924	0.1
6.6588	0.2
6.8676	0.2
6.9504	0.1
7.1548	0.2
7.3028	0.2
7.39	0.1
7.5396	0.2
7.7192	0.2
7.7992	0.1
7.9676	0.2
8.1612	0.2
8.2484	0.1
8.3848	0.2
8.558	0.2
8.6944	0.1
8.8612	0.2
9.0084	0.2
9.0736	0.1
9.2176	0.2
9.4384	0.2
9.5996	0.1
9.7064	0.1
9.9144	0.2
9.944	0.1
10.1352	0.1
10.2428	0.1
10.448	0.2
10.5812	0.1
10.7616	0.1
10.886	0.1
10.9736	0.2
11.0512	0.1
11.1932	0.1
11.2924	0.1
11.3448	0.2
11.4552	0.1
11.5556	0.1
11.644	0.1
11.7644	0.2
11.8908	0.1
11.9992	0.1
12.0608	0.1
12.1412	0.2
12.162	0.1
12.2284	0.1
12.2344	0.1
12.2548	0.2
12.2828	0.1
12.2944	0.1
12.328	0.1
12.3604	0.2
12.4252	0.1
12.472	0.1
12.5296	0.1
12.5936	0.2
12.6548	0.1
12.706	0.1
12.752	0.1
12.8068	0.2
12.9196	0.1
13.01	0.1
13.0624	0.1
13.1648	0.2
13.2324	0.1
13.3064	0.1
13.3928	0.1
13.4576	0.2
13.5592	0.1
13.6116	0.1
13.7076	0.1
13.8044	0.2
13.878	0.1
13.9564	0.1
14.0688	0.1
14.1808	0.2
14.248	0.1
14.3588	0.1
14.4512	0.1
14.5328	0.2
14.616	0.1
14.6856	0.1
14.7732	0.1
14.8676	0.2
14.9616	0.1
15.0552	0.1
15.1276	0.1
15.1904	0.2
15.2436	0.1
15.3296	0.1
15.3816	0.1
15.5036	0.2
15.5588	0.1
15.6264	0.1
15.7364	0.1
15.7908	0.2
15.814	0.1
15.8372	0.1
15.8564	0.1
15.9164	0.2
15.9652	0.1
15.9764	0.1
15.9796	0.1
16.0176	0.2
16.0284	0.1
16.0348	0.1
16.0364	0.1
16.0628	0.2
16.1228	0.1
16.1472	0.1
16.16	0.1
16.1836	0.2
16.1988	0.1
16.212	0.1
16.2256	0.1
16.248	0.2
16.2772	0.1
16.312	0.1
16.3416	0.1
16.3784	0.2
16.4024	0.1
16.432	0.1
16.4608	0.1
16.5104	0.2
16.5412	0.1
16.5824	0.1
16.61	0.1
16.6372	0.2
16.6568	0.1
16.6788	0.1
16.7036	0.1
16.7304	0.2
16.7544	0.1
16.7708	0.1
16.7868	0.1
16.796	0.2
16.8132	0.1
16.814	0.1
16.8248	0.1
16.8248	0.2
16.8248	0.1
16.8248	0.1
16.8248	0.1
16.8248	0.2
16.8256	0.1
16.834	0.1
16.8344	0.1
16.8384	0.2
16.8432	0.1
16.8432	0.1
16.8432	0.1
16.8432	0.2
16.8432	0.1
16.8432	0.1
16.8456	0.1
16.846	0.2
16.8468	0.1
16.8472	0.1
16.848	0.1
16.8488	0.2
16.8516	0.1
16.8528	0.1
16.8552	0.1
16.8584	0.2
16.8604	0.1
16.8632	0.1
16.864	0.1
16.866	0.2
16.8696	0.1
16.8716	0.1
16.8736	0.1
16.8784	0.2
16.8848	0.1
16.888	0.1
16.8936	0.1
16.906	0.2
16.9152	0.1
16.9204	0.1
16.9244	0.1
16.9552	0.2
16.9648	0.1
16.9704	0.1
16.9756	0.1
16.9756	0.2
16.9812	0.1
16.9816	0.1
16.9828	0.1
16.9828	0.2
16.9856	0.1
16.986	0.1
16.9884	0.1
16.9896	0.2
16.9908	0.1
16.9924	0.1
16.9924	0.1
16.9924	0.2
16.9924	0.1
16.9924	0.1
16.9952	0.1
16.9952	0.2
16.9968	0.1
16.9968	0.1
16.9968	0.1
16.9968	0.2
16.9968	0.1
16.9968	0.1
16.9968	0.1
16.9968	0.2
16.9968	0.1
16.9968	0.1
16.9968	0.1
16.9968	0.2
16.9968	0.1
16.9968	0.1
16.9968	0.1
16.9968	0.2
16.9968	0.1
16.9984	0.1
16.9984	0.1
16.9984	0.2
16.9984	0.1
16.9988	0.1
16.9988	0.1
16.9992	0.2
16.9992	0.1
16.9992	0.1
17	0.1
17	0.2
17	0.1
17.0004	0.1
17.0008	0.1
17.0024	0.2
17.0024	0.1
17.0024	0.1
17.0024	0.1
17.0024	0.2
17.0036	0.1
17.0036	0.1
17.004	0.1
17.004	0.2
17.004	0.1
17.004	0.1
17.004	0.1
17.0052	0.2
17.0052	0.1
17.0052	0.1
17.0052	0.1
17.0052	0.2
17.0052	0.1
17.0052	0.1
17.0052	0.1
17.0052	0.2
17.0052	0.1
17.0052	0.1
17.0052	0.1
17.0052	0.2
17.0052	0.1
17.0052	0.1
17.0052	0.1
17.0052	0.2
17.0052	0.1
17.0052	0.1
17.0052	0.1
17.0052	0.2
17.0092	0.1
17.0116	0.1
17.0152	0.1
17.0156	1.4
17.0156	0.1
17.0164	0.2
17.0164	0.2
17.0164	0.1
17.0212	2.8
17.024	0.2
17.0248	0.2
17.0284	0.2
17.03	0.1
17.03	0.2
17.0304	0.2
17.0304	0.1
17.0304	0.2
17.0304	0.2
17.0304	0.1
17.0304	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.0316	0.2
17.0316	0.1
17.0316	0.2
17.034	0.2
17.0348	0.1
17.0356	0.2
17.0364	0.2
17.0364	0.1
17.0376	0.2
17.0376	0.2
17.0404	0.1
17.0404	0.2
17.0408	0.2
17.0412	0.1
17.0412	0.2
17.0412	0.2
17.0412	0.1
17.0412	0.2
17.0412	0.2
17.0412	0.1
17.0412	0.2
17.0412	0.2
17.0412	0.1
17.0412	0.2
17.042	0.2
17.042	0.1
17.042	0.2
17.042	0.2
17.042	0.1
17.042	0.2
17.042	0.2
17.042	0.1
17.042	0.2
17.042	0.2
17.042	0.1
17.0424	0.2
17.0428	0.2
17.0428	0.1
17.0428	0.2
17.0436	0.2
17.044	0.1
17.0464	0.2
17.0472	0.2
17.0472	0.1
17.0472	0.2
17.0472	0.2
17.0472	0.1
17.0472	0.2
17.0472	0.2
17.0472	0.1
17.0472	0.2
17.0472	0.2
17.0472	0.1
17.0472	0.2
17.0476	0.2
17.0476	0.1
17.0476	0.2
17.0476	0.2
17.0476	0.1
17.0476	0.2
17.048	0.2
17.048	0.1
17.048	0.2
17.048	0.2
17.048	0.1
17.048	0.2
17.0488	0.2
17.0492	0.1
17.0492	0.2
17.0492	0.2
17.0492	0.1
17.0492	0.2
17.0492	0.2
17.0492	0.1
17.0492	0.2
17.05	0.2
17.0508	0.1
17.0508	0.2
17.0508	0.2
17.0508	0.1
17.0508	0.2
17.0508	0.2
17.0508	0.1
17.0508	0.2
17.0508	0.2
17.0508	0.1
17.0508	0.2
17.0508	0.2
17.0508	0.1
17.0508	0.2
17.0508	0.2
17.0508	0.1
17.0516	0.2
17.0516	0.2
17.0516	0.1
17.0516	0.2
17.052	0.2
17.052	0.1
17.052	0.2
17.052	0.2
17.052	0.1
17.052	0.2
17.052	0.2
17.052	0.1
17.052	0.2
17.052	0.2
17.052	0.1
17.052	0.2
17.0532	0.2
17.0532	0.1
17.0532	0.2
17.0532	0.2
17.0532	0.1
17.0532	0.2
17.0532	0.2
17.0532	0.1
