Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x793880
	Pos2dProxy:	0x798ca0
	Ranger:		0x798f80
	Map:		0x7ffe24fecf50

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x7992d0
	Pos2dProxy:	0x797620
	Ranger:		0x797900
	Map:		0x7ffe24fecfb0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x797a90
	Pos2dProxy:	0x799440
	Ranger:		0x799720
	Map:		0x7ffe24fed010

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x7998b0
	Pos2dProxy:	0x799c60
	Ranger:		0x799f40
	Map:		0x7ffe24fed070

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x79a0d0
	Pos2dProxy:	0x79a440
	Ranger:		0x79a720
	Map:		0x7ffe24fed0d0

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x79a8b0
	Pos2dProxy:	0x79ac20
	Ranger:		0x79af00
	Map:		0x7ffe24fed130

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x79b090
	Pos2dProxy:	0x79b400
	Ranger:		0x79b6e0
	Map:		0x7ffe24fed190

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x79b870
	Pos2dProxy:	0x79bbe0
	Ranger:		0x79bec0
	Map:		0x7ffe24fed1f0

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x79c050
	Pos2dProxy:	0x79c3c0
	Ranger:		0x79c6a0
	Map:		0x7ffe24fed250

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x79c830
	Pos2dProxy:	0x79cba0
	Ranger:		0x79ce80
	Map:		0x7ffe24fed2b0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	9.1
7.1504	0.2
8.1876	0.2
8.7448	0.3
9.1484	0.4
9.5048	0.1
9.8212	0.2
10.2028	0.3
10.568	0.5
10.9648	0.2
11.3308	0.3
11.6956	0.5
11.998	0.2
12.3532	0.3
12.72	0.5
13.1036	0.2
13.5056	0.3
13.8848	0.5
14.3524	0.2
14.7352	0.3
15.2076	0.5
15.628	0.2
16.0312	0.3
16.4784	0.5
16.8912	0.3
17.27	0.2
17.8376	0.5
18.2508	0.3
18.6508	0.2
19.1344	0.5
19.5724	0.3
20.1484	0.2
20.6808	0.5
20.9812	0.3
21.4104	0.2
21.7268	0.5
21.9968	0.3
22.484	0.2
22.9144	0.5
23.2588	0.3
23.5532	0.2
23.984	0.5
24.526	0.3
24.9812	0.2
25.3916	0.5
25.8336	0.3
26.3704	0.2
26.9492	0.5
27.3944	0.3
27.9584	0.2
28.7064	0.5
29.3112	0.3
29.7956	0.2
30.3048	0.5
30.8764	0.3
31.5916	0.2
32.1844	0.5
32.7544	0.3
33.4708	0.2
34.1376	0.5
34.7184	0.3
35.246	0.2
35.818	0.5
36.6116	0.3
37.0812	0.2
37.4216	0.5
38.026	0.3
38.3776	0.2
38.8556	0.5
39.3832	0.3
39.8308	0.2
40.2184	0.4
40.6544	0.4
41.0948	0.3
41.4812	0.3
41.8896	0.4
42.268	0.3
42.7016	0.3
43.3	0.4
43.89	0.3
44.3448	0.3
44.8636	0.4
45.3288	0.3
45.792	0.3
46.2224	0.4
46.8716	0.3
47.4928	0.3
47.9728	0.4
48.4976	0.3
49.134	0.3
49.6492	0.4
50.0372	0.3
50.5516	0.3
50.9984	0.4
51.4584	0.3
51.9956	0.3
52.5788	0.4
