Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1c30880
	Pos2dProxy:	0x1c35ca0
	Ranger:		0x1c35f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1c36300
	Pos2dProxy:	0x1c34620
	Ranger:		0x1c34900
Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1c36b90
	Pos2dProxy:	0x1c363d0
	Ranger:		0x1c36690
Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1c37420
	Pos2dProxy:	0x1c36910
	Ranger:		0x1c36e60
Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1c37ac0
	Pos2dProxy:	0x1c37540
	Ranger:		0x1c377c0
Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x1c38360
	Pos2dProxy:	0x1c37b40
	Ranger:		0x1c37e20
Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1c38bc0
	Pos2dProxy:	0x1c380a0
	Ranger:		0x1c38630
Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1c38980
	Pos2dProxy:	0x1c38d30
	Ranger:		0x1c39010
Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1c39a70
	Pos2dProxy:	0x1c39290
	Ranger:		0x1c39570
Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1c3a300
	Pos2dProxy:	0x1c397f0
	Ranger:		0x1c39d40
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.1
7.0764	0.1
8.146	0.2
8.7136	0.2
9.0044	0.4
9.2716	0.2
9.5036	0.2
9.7336	0.3
9.8808	0.2
10.0948	0.2
10.3912	0.2
10.6476	0.2
10.8716	0.3
11.11	0.2
11.4088	0.2
11.6904	0.3
11.9624	0.2
12.2052	0.1
12.346	0.2
12.5628	0.3
12.7548	0.2
12.9376	0.3
13.1984	0.2
13.5444	0.3
13.7836	0.2
14.114	0.2
14.464	0.1
14.8352	0.2
15.0868	0.2
15.3232	0.1
15.6472	0.2
16.0552	0.3
16.582	0.2
16.898	0.3
17.15	0.2
17.5396	0.2
17.8872	0.1
18.0856	0.2
18.3304	0.2
18.5848	0.1
18.9336	0.2
19.1332	0.2
19.516	0.1
19.8184	0.2
20.0172	0.3
20.2372	0.2
20.4992	0.2
20.8592	0.1
21.1108	0.2
21.3692	0.1
21.7288	0.2
21.9648	0.3
22.174	0.2
22.4484	0.2
22.6404	0.1
23.0104	0.2
23.3628	0.2
23.7944	0.1
24.28	0.2
24.7016	0.2
25.1688	0.1
25.6824	0.2
26.0336	0.2
26.4704	0.1
26.8832	0.2
27.1008	0.2
27.3836	0.1
27.7844	0.2
27.9928	0.3
28.254	0.2
28.6496	0.2
28.934	0.1
29.3192	0.2
29.6944	0.2
30.112	0.1
30.5652	0.2
30.8648	0.2
31.214	0.1
31.556	0.2
31.7268	0.2
32.1036	0.1
32.5092	0.2
32.8392	0.3
33.1448	0.2
33.4824	0.2
33.7948	0.1
34.1648	0.2
34.488	0.2
34.8112	0.1
35.1968	0.2
35.502	0.2
35.9168	0.1
36.3356	0.2
36.65	0.2
36.9308	0.1
37.2048	0.2
37.3884	0.3
37.654	0.2
38.0556	0.2
38.4336	0.1
38.8096	0.2
39.0592	0.2
39.5068	0.1
39.9048	0.2
40.2724	0.2
40.5956	0.1
40.954	0.2
41.2444	0.2
41.4832	0.1
41.7008	0.2
41.832	0.3
42.09	0.2
42.398	0.2
42.602	0.1
42.8392	0.2
43.1748	0.2
43.4908	0.1
43.7644	0.2
44.1668	0.2
44.4344	0.1
44.6512	0.2
44.9944	0.2
45.3128	0.1
45.7572	0.2
46.092	0.2
46.336	0.1
46.5892	0.2
46.9028	0.2
47.266	0.1
47.7796	0.2
48.0436	0.3
48.4948	0.2
48.9372	0.2
49.424	0.1
49.9036	0.2
50.396	0.2
50.8352	0.1
51.1736	0.2
51.5132	0.2
51.8752	0.1
52.3344	0.1
52.5732	0.3
52.8404	0.1
53.1928	0.1
53.614	0.2
53.9712	0.1
54.3544	0.2
54.7276	0.2
54.9912	0.1
55.1916	0.1
55.4368	0.1
55.6916	0.3
55.9628	0.1
56.2412	0.1
56.5432	0.2
56.7276	0.2
56.9776	0.1
57.2872	0.2
57.5208	0.1
57.7532	0.1
58.1388	0.1
58.5012	0.3
58.8304	0.1
59.052	0.1
59.3172	0.2
59.5152	0.2
59.706	0.1
59.9324	0.2
60.116	0.1
60.288	0.2
60.5212	0.2
60.704	0.1
60.8472	0.1
61.0488	0.1
61.3572	0.2
61.64	0.2
61.8032	0.1
61.9832	0.2
62.23	0.1
62.4568	0.1
62.7136	0.1
62.934	0.3
63.0332	0.1
63.1144	0.1
63.1908	0.2
63.2808	0.2
63.3784	0.1
63.4788	0.2
63.5664	0.1
63.6636	0.2
63.716	0.2
63.7596	0.1
63.8052	0.1
63.8396	0.1
63.8816	0.2
63.9164	0.2
63.9804	0.1
64.1096	0.2
64.2008	0.1
64.2816	0.2
64.3268	0.2
64.398	0.1
64.4496	0.1
64.5084	0.1
64.5816	0.2
64.6376	0.1
64.6824	0.1
64.7316	0.1
64.756	0.2
64.8036	0.1
64.8428	0.2
64.8748	0.2
64.9104	0.1
64.9596	0.1
64.9912	0.1
65.0252	0.2
65.0748	0.2
65.1616	0.1
65.2756	0.2
65.3716	0.1
65.5152	0.2
65.5716	0.2
65.6616	0.1
65.734	0.1
65.7856	0.1
65.8756	0.3
65.9324	0.1
65.9988	0.1
66.06	0.2
66.0876	0.2
66.204	0.1
66.232	0.2
66.2792	0.1
66.3364	0.1
66.3552	0.1
66.3928	0.3
66.4048	0.1
66.4108	0.1
66.4228	0.2
66.4308	0.2
66.4332	0.1
66.4348	0.2
66.4468	0.1
66.4552	0.2
66.4676	0.3
66.4688	0.1
66.4936	0.1
66.494	0.2
66.5028	0.1
66.52	0.1
66.5472	0.1
66.7548	0.2
66.8428	0.2
66.864	0.1
66.8744	0.2
66.8872	0.1
66.8944	0.2
66.9024	0.2
66.9152	0.1
66.9272	0.1
66.962	0.1
66.9796	0.3
66.9884	0.1
67.0016	0.1
67.0208	0.2
67.0404	0.1
67.066	0.2
67.0804	0.2
67.0996	0.1
67.1032	0.1
67.1144	0.1
67.1516	0.2
67.1676	0.1
67.176	0.1
67.1864	0.1
67.2044	0.2
67.2312	0.1
67.248	0.1
67.2668	0.1
67.29	0.3
67.3016	0.1
67.3312	0.1
67.37	0.2
67.4104	0.1
67.4432	0.2
67.4644	0.2
67.4872	0.1
67.5256	0.1
67.5776	0.1
67.6604	0.3
67.7496	0.1
67.8752	0.1
67.9744	0.2
68.0836	0.2
68.13	0.1
68.1628	0.2
68.2184	0.1
68.2656	0.2
68.3064	0.3
68.3632	0.1
68.428	0.1
68.4996	0.2
68.5552	0.1
68.6224	0.1
68.6812	0.1
68.7328	0.2
68.7756	0.1
68.876	0.2
69.0544	0.3
69.11	0.1
69.148	0.1
69.2344	0.2
69.3352	0.2
69.3852	0.1
69.476	0.2
69.584	0.1
69.6836	0.1
69.778	0.1
69.8476	0.3
70.0612	0.1
70.2576	0.1
70.2944	0.2
70.3716	0.1
70.4404	0.2
70.5404	0.2
70.5888	0.1
70.622	0.1
70.7612	0.1
70.9384	0.2
71.0788	0.2
71.2312	0.1
71.4212	0.2
71.5548	0.1
71.6188	0.2
71.73	0.2
71.8108	0.1
71.8752	0.1
71.944	0.1
72.0056	0.2
72.178	0.2
72.35	0.1
72.5292	0.2
72.5812	0.1
72.7816	0.2
72.9592	0.2
73.1704	0.1
73.2792	0.1
73.3696	0.1
73.4332	0.2
73.6252	0.2
73.8256	0.1
73.9188	0.2
74.0748	0.1
74.3012	0.2
74.4752	0.2
74.612	0.2
74.8204	0.1
75.0368	0.2
75.2688	0.2
75.4152	0.1
75.7076	0.2
76.008	0.3
76.2952	0.2
76.416	0.2
76.514	0.1
76.7112	0.2
76.946	0.2
77.076	0.1
77.2236	0.2
77.4836	0.2
77.6976	0.1
77.958	0.2
78.1308	0.2
78.2532	0.1
78.448	0.2
78.5752	0.2
78.7772	0.1
78.984	0.2
79.096	0.2
79.2744	0.1
79.4532	0.2
79.5856	0.2
79.7468	0.1
79.9128	0.2
80.0388	0.3
80.1852	0.2
80.316	0.2
80.448	0.1
80.5324	0.2
80.6248	0.2
80.7288	0.1
80.8884	0.2
80.9744	0.2
81.0116	0.1
81.1264	0.2
81.214	0.2
81.2704	0.1
81.2976	0.2
81.4076	0.2
81.486	0.1
81.614	0.2
81.6688	0.3
81.7548	0.2
81.7876	0.2
81.892	0.1
81.9456	0.2
81.9984	0.2
82.0872	0.1
82.1668	0.2
82.2596	0.2
82.2856	0.1
82.3288	0.2
82.3656	0.2
82.422	0.1
82.4584	0.2
82.4896	0.2
82.506	0.1
82.5192	0.2
82.5252	0.3
82.5608	0.2
82.6304	0.2
82.6364	0.1
82.6964	0.2
82.7388	0.2
82.7928	0.1
82.8184	0.2
82.8468	0.2
82.9272	0.1
82.9508	0.2
82.9748	0.2
82.9924	0.1
83.0004	0.2
83.0024	0.2
83.0076	0.1
83.012	0.2
83.0188	0.2
83.0436	0.1
83.0892	0.2
83.1332	0.2
83.154	0.1
83.1848	0.2
83.204	0.3
83.2356	0.2
83.3088	0.2
83.3424	0.1
83.4232	0.2
83.4496	0.2
83.526	0.1
83.5836	0.2
83.6028	0.2
83.626	0.1
83.6692	0.2
83.6848	0.2
83.6952	0.1
83.7124	0.2
83.738	0.2
83.7448	0.1
83.756	0.2
83.7564	0.2
83.7636	0.1
83.7656	0.2
83.7768	0.2
83.7768	0.1
83.7852	0.2
83.792	0.3
83.792	0.2
83.7956	0.2
83.8024	0.1
83.804	0.2
83.8064	0.2
83.8072	0.1
83.8072	0.2
83.8076	0.2
83.8076	0.1
83.8076	0.2
83.8136	0.2
83.8136	0.1
83.8136	0.2
83.8136	0.2
83.8164	0.1
83.8168	0.2
83.8292	0.3
83.8292	0.2
83.8296	0.2
83.83	0.1
83.83	0.2
83.8308	0.2
83.8312	0.1
83.8344	0.2
83.836	0.2
83.8372	0.1
83.8568	0.2
83.878	0.2
83.8824	0.1
83.8824	0.2
83.888	0.2
83.888	0.1
83.8896	0.2
83.892	0.2
83.896	0.1
83.91	0.2
83.9112	0.3
83.9124	0.2
83.916	0.2
83.9284	0.1
83.934	0.2
83.934	0.2
83.9384	0.1
83.9408	0.2
83.9428	0.2
83.9448	0.1
83.9448	0.2
83.9492	0.2
83.9496	0.1
83.9496	0.2
83.952	0.2
83.952	0.1
83.952	0.2
83.952	0.2
83.952	0.1
83.9536	0.2
83.9552	0.3
83.9552	0.2
83.9596	0.2
83.964	0.1
83.9732	0.2
83.9736	0.2
83.98	0.1
83.9808	0.2
83.9876	0.2
83.9916	0.1
83.9964	0.2
83.9964	0.2
84.0064	0.1
84.008	0.2
84.0172	0.2
84.0188	0.1
84.0248	0.2
84.0316	0.3
84.0356	0.2
84.04	0.2
84.04	0.1
