Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x21fe880
	Pos2dProxy:	0x2203ca0
	Ranger:		0x2203f80
	Map:		0x7fffb47b5af0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x22042d0
	Pos2dProxy:	0x2202620
	Ranger:		0x2202900
	Map:		0x7fffb47b5b50

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x2202a90
	Pos2dProxy:	0x2204440
	Ranger:		0x2204720
	Map:		0x7fffb47b5bb0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x22048b0
	Pos2dProxy:	0x2204c60
	Ranger:		0x2204f40
	Map:		0x7fffb47b5c10

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x22050d0
	Pos2dProxy:	0x2205440
	Ranger:		0x2205720
	Map:		0x7fffb47b5c70

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x22058b0
	Pos2dProxy:	0x2205c20
	Ranger:		0x2205f00
	Map:		0x7fffb47b5cd0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x2206090
	Pos2dProxy:	0x2206400
	Ranger:		0x22066e0
	Map:		0x7fffb47b5d30

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x2206870
	Pos2dProxy:	0x2206be0
	Ranger:		0x2206ec0
	Map:		0x7fffb47b5d90

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x2207050
	Pos2dProxy:	0x22073c0
	Ranger:		0x22076a0
	Map:		0x7fffb47b5df0

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x2207830
	Pos2dProxy:	0x2207ba0
	Ranger:		0x2207e80
	Map:		0x7fffb47b5e50

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	10.8
7.1112	0.2
8.226	0.2
8.6064	0.1
8.9236	0.2
9.1316	0.2
9.3736	0.1
9.5264	0.2
9.7132	0.2
9.8188	0.1
10.0424	0.2
10.2392	0.2
10.3692	0.1
10.524	0.2
10.6656	0.2
10.7588	0.1
10.954	0.2
11.196	0.2
11.284	0.1
11.538	0.2
11.7804	0.2
11.8948	0.1
12.126	0.2
12.3504	0.2
12.512	0.1
12.7528	0.2
12.9356	0.2
13.0716	0.1
13.2684	0.2
13.462	0.2
13.5488	0.1
13.7464	0.2
13.8776	0.1
14.0952	0.2
14.45	0.2
14.6296	0.1
14.952	0.2
15.2328	0.2
15.3908	0.1
15.7204	0.2
16.0676	0.2
16.2752	0.1
16.5688	0.2
16.932	0.2
17.1896	0.1
17.4424	0.2
17.7644	0.2
17.9392	0.1
18.224	0.2
18.5068	0.2
18.7048	0.1
18.9704	0.2
19.3284	0.2
19.5472	0.1
19.836	0.2
20.1268	0.2
20.3336	0.1
20.564	0.2
20.8544	0.2
21.0636	0.1
21.32	0.2
21.5468	0.2
21.7044	0.1
21.9432	0.2
22.1924	0.2
22.364	0.1
22.636	0.2
22.8512	0.2
23.0272	0.1
23.3824	0.2
23.7128	0.2
23.954	0.1
24.4132	0.2
24.81	0.2
25.0228	0.1
25.3896	0.2
25.812	0.2
26.1028	0.1
26.46	0.2
26.808	0.2
27.0988	0.1
27.49	0.2
27.8324	0.2
27.9884	0.1
28.4544	0.2
28.9096	0.2
29.206	0.1
29.7072	0.2
30.0044	0.2
30.296	0.1
30.5952	0.2
30.9336	0.2
31.1592	0.1
31.4756	0.2
31.8032	0.2
31.9752	0.1
32.24	0.2
32.5504	0.2
32.7564	0.1
