Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x21b0880
	Pos2dProxy:	0x21b5ca0
	Ranger:		0x21b5f80
	Map:		0x7fff968e46e0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x21b62d0
	Pos2dProxy:	0x21b4620
	Ranger:		0x21b4900
	Map:		0x7fff968e4740

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x21b4a90
	Pos2dProxy:	0x21b6440
	Ranger:		0x21b6720
	Map:		0x7fff968e47a0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x21b68b0
	Pos2dProxy:	0x21b6c60
	Ranger:		0x21b6f40
	Map:		0x7fff968e4800

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x21b70d0
	Pos2dProxy:	0x21b7440
	Ranger:		0x21b7720
	Map:		0x7fff968e4860

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x21b78b0
	Pos2dProxy:	0x21b7c20
	Ranger:		0x21b7f00
	Map:		0x7fff968e48c0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x21b8090
	Pos2dProxy:	0x21b8400
	Ranger:		0x21b86e0
	Map:		0x7fff968e4920

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x21b8870
	Pos2dProxy:	0x21b8be0
	Ranger:		0x21b8ec0
	Map:		0x7fff968e4980

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x21b9050
	Pos2dProxy:	0x21b93c0
	Ranger:		0x21b96a0
	Map:		0x7fff968e49e0

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x21b9830
	Pos2dProxy:	0x21b9ba0
	Ranger:		0x21b9e80
	Map:		0x7fff968e4a40

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	8.4
7.2276	0.2
8.1932	0.2
8.7748	0.4
9.1448	0.3
9.4568	0.3
9.7892	0.4
10.0972	0.3
10.4416	0.3
10.806	0.2
11.0768	0.3
11.3292	0.4
11.612	0.3
12.0044	0.3
12.3576	0.2
12.6836	0.3
12.956	0.4
13.2972	0.3
13.7828	0.3
14.21	0.2
14.6012	0.3
14.9312	0.4
15.3216	0.3
15.6648	0.3
16.0632	0.2
16.4112	0.2
16.9172	0.3
17.536	0.3
17.8996	0.3
18.3112	0.2
18.77	0.5
19.1396	0.3
19.6152	0.2
20.148	0.3
20.6236	0.5
21.0668	0.2
21.3636	0.3
21.9264	0.4
22.404	0.3
22.8784	0.3
23.3548	0.2
23.8368	0.3
24.4496	0.4
25.0568	0.3
25.6236	0.3
26.3344	0.4
27.0088	0.3
27.78	0.3
28.4028	0.4
28.9744	0.3
29.5428	0.3
30.2332	0.2
30.8596	0.3
31.5532	0.4
32.176	0.3
32.774	0.3
33.3064	0.2
33.8892	0.3
34.3936	0.4
34.988	0.3
35.5392	0.3
36.0032	0.2
36.5184	0.3
36.8756	0.5
37.4576	0.2
37.8768	0.3
38.3368	0.4
38.778	0.3
39.1868	0.3
39.5964	0.2
39.9652	0.3
40.408	0.4
40.816	0.3
41.1584	0.3
41.4484	0.4
41.7472	0.3
41.976	0.3
42.3732	0.4
42.7768	0.2
43.118	0.4
43.286	0.3
43.688	0.3
43.9544	0.3
44.2148	0.2
44.5192	0.3
44.8384	0.2
45.2336	0.3
45.5508	0.2
45.8932	0.3
46.1256	0.2
46.6048	0.3
46.9544	0.2
47.2584	0.3
47.6152	0.2
48.0404	0.3
48.3752	0.2
48.7084	0.3
48.934	0.2
49.1872	0.3
49.552	0.2
49.9588	0.3
50.2948	0.2
50.634	0.3
51.0436	0.2
51.434	0.3
51.6924	0.2
52.1484	0.3
52.4496	0.2
52.7652	0.3
53.1028	0.2
53.3624	0.3
53.5556	0.2
53.7048	0.3
53.9684	0.2
54.2784	0.3
54.5224	0.2
54.7176	0.3
54.9388	0.2
55.14	0.3
55.3304	0.2
55.5408	0.3
55.6392	0.2
55.7252	0.3
55.864	0.2
55.9384	0.3
56.1536	0.2
56.3388	0.3
56.4992	0.2
56.6512	0.3
56.8192	0.2
57.0224	0.3
57.1476	0.2
57.2644	0.3
57.3656	0.2
57.532	0.3
57.712	0.2
57.89	0.3
58.0228	0.4
58.126	0.2
58.236	0.1
58.4404	0.2
58.686	0.2
58.9544	0.1
59.194	0.2
59.3724	0.2
59.6044	0.1
59.7608	0.2
59.8296	0.3
59.9604	0.2
60.106	0.2
60.2172	0.3
60.3072	0.2
60.4984	0.1
60.6248	0.4
60.7468	0.1
60.8716	0.4
60.994	0.1
61.1848	0.4
61.3216	0.1
61.4496	0.3
61.5516	0.2
61.65	0.3
61.758	0.2
61.8268	0.3
61.9256	0.2
62.0636	0.3
62.1744	0.2
62.2696	0.3
62.4216	0.2
62.5732	0.3
62.7224	0.2
62.8604	0.3
62.9952	0.2
63.2812	0.3
63.4608	0.2
63.5556	0.3
63.6288	0.2
63.8664	0.3
64.1184	0.2
64.3136	0.3
64.4308	0.2
64.5808	0.3
64.7092	0.2
64.774	0.3
64.8448	0.2
64.8932	0.3
64.998	0.2
65.024	0.3
65.0384	0.2
65.074	0.3
65.1056	0.2
65.1396	0.3
65.1468	0.2
65.1508	0.3
65.1564	0.2
65.1644	0.3
65.1724	0.2
65.176	0.3
65.18	0.2
65.1828	0.3
65.1896	0.2
65.1904	0.3
65.192	0.2
65.2248	0.3
65.268	0.2
65.2788	0.3
65.2868	0.2
65.3092	0.3
65.3116	0.2
65.3132	0.2
65.334	0.3
65.3412	0.2
65.36	0.3
65.3764	0.2
65.3964	0.3
65.4052	0.2
65.4088	0.3
65.414	0.2
65.4544	0.3
65.4836	0.2
65.514	0.3
65.5184	0.2
65.5372	0.3
65.5404	0.2
65.552	0.3
65.5584	0.2
65.5636	0.3
65.5904	0.2
65.6012	0.3
65.6208	0.2
65.6552	0.3
65.6792	0.2
65.724	0.3
65.7364	0.2
65.7452	0.3
65.772	0.2
65.7976	0.3
65.8464	0.2
65.8992	0.3
65.9064	0.2
65.9168	0.3
65.9556	0.2
65.974	0.3
65.9792	0.2
65.9804	0.3
66.0648	0.2
66.1344	0.3
66.162	0.2
66.2104	0.3
66.222	0.2
66.2372	0.3
66.2532	0.2
66.2816	0.3
66.2864	0.2
66.2868	0.3
66.29	0.2
66.292	0.3
66.2968	0.2
66.2996	0.3
66.2996	0.2
66.2996	0.3
66.3036	0.2
66.3064	0.3
66.3168	0.2
66.322	0.3
66.3344	0.2
66.344	0.3
66.3548	0.2
66.366	0.3
66.3928	0.2
66.4132	0.3
66.4488	0.2
66.4752	0.3
66.49	0.2
66.5052	0.3
66.5104	0.2
66.5348	0.3
66.5404	0.2
66.556	0.3
66.5652	0.2
66.5652	0.3
66.5848	0.2
66.6192	0.3
66.6352	0.2
66.636	0.3
66.64	0.2
66.646	0.3
66.6852	0.2
66.7648	0.3
66.7824	0.2
66.8428	0.3
66.8752	0.2
66.8752	0.3
66.878	0.2
66.8796	0.3
66.8872	0.2
66.888	0.3
66.8888	0.2
66.9056	0.3
66.9224	0.2
66.9248	0.3
66.9292	0.2
66.9292	0.3
66.9336	0.2
66.9336	0.3
66.936	0.2
66.946	0.3
66.956	0.2
66.9696	0.3
66.9844	0.2
67.004	0.3
67.0044	0.2
67.006	0.3
67.0076	0.2
67.0112	0.3
67.0184	0.2
67.0224	0.3
67.0476	0.2
67.05	0.3
67.0504	0.2
67.0504	0.3
67.0504	0.2
67.0532	0.3
67.0616	0.2
67.0636	0.3
67.0692	0.2
67.0712	0.3
67.074	0.2
67.0804	0.3
67.0912	0.2
67.1048	0.3
67.1392	0.2
67.1912	0.3
67.202	0.2
67.2292	0.3
67.2632	0.2
67.282	0.3
67.288	0.2
67.2984	0.3
67.3136	0.2
67.354	0.3
67.402	0.2
67.4464	0.3
67.472	0.2
67.5208	0.3
67.5876	0.2
67.6152	0.3
67.7336	0.2
67.8336	0.3
67.9176	0.2
68.0716	0.3
68.1804	0.2
68.2448	0.3
68.3424	0.2
68.414	0.3
68.4628	0.2
68.4944	0.3
68.7068	0.2
68.8048	0.3
68.964	0.2
69.1164	0.3
69.4044	0.2
69.6512	0.3
69.7684	0.2
69.9072	0.3
70.018	0.2
70.0908	0.3
70.2028	0.2
70.4912	0.3
70.698	0.2
70.8752	0.3
70.9536	0.2
71.0852	0.3
71.2296	0.2
71.378	0.3
71.4972	0.2
71.5864	0.3
71.7016	0.2
71.7684	0.3
71.948	0.2
72.1612	0.3
72.3712	0.2
72.5384	0.3
72.6996	0.2
72.8748	0.3
72.9988	0.2
73.18	0.3
73.3584	0.2
73.4956	0.3
73.656	0.2
73.914	0.3
74.0524	0.2
74.214	0.3
74.3888	0.2
74.4812	0.3
74.6968	0.2
74.9312	0.3
75.1892	0.2
75.3096	0.3
75.6496	0.2
75.8	0.3
76.0056	0.2
76.0756	0.3
76.3792	0.2
76.48	0.3
76.7744	0.2
77.0456	0.3
77.3584	0.2
77.4456	0.3
77.674	0.2
77.8084	0.3
77.9996	0.2
78.1812	0.3
78.3604	0.2
78.4632	0.3
78.5576	0.2
78.596	0.3
78.7204	0.2
78.8516	0.3
78.9376	0.2
78.9952	0.3
79.0564	0.2
79.2144	0.3
79.372	0.2
79.4748	0.3
79.578	0.2
79.742	0.3
79.808	0.2
79.966	0.3
80.0628	0.2
80.2128	0.3
80.3712	0.2
80.466	0.3
80.5932	0.2
80.6924	0.3
