Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x138b880
	Pos2dProxy:	0x1390ca0
	Ranger:		0x1390f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1391300
	Pos2dProxy:	0x138f620
	Ranger:		0x138f900
Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1391b90
	Pos2dProxy:	0x13913d0
	Ranger:		0x1391690
Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1392420
	Pos2dProxy:	0x1391910
	Ranger:		0x1391e60
Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1392ac0
	Pos2dProxy:	0x1392540
	Ranger:		0x13927c0
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.7
5.2576	0.2
6.4316	0.2
6.8908	0.1
7.1912	0.2
7.4472	0.2
7.6576	0.1
7.87	0.2
8.0768	0.2
8.2268	0.2
8.3944	0.2
8.64	0.2
8.8124	0.1
9.0792	0.2
9.316	0.2
9.4968	0.1
9.7052	0.2
9.938	0.2
10.0692	0.1
10.2452	0.2
10.4088	0.2
10.552	0.1
10.724	0.2
10.8588	0.2
11.0188	0.1
11.2016	0.2
11.316	0.2
11.5624	0.1
11.7964	0.2
11.8856	0.2
12.0532	0.1
12.3392	0.2
12.4724	0.2
12.758	0.1
13.02	0.2
13.1204	0.3
13.3316	0.2
13.4932	0.2
13.6204	0.1
13.8576	0.2
14.1472	0.2
14.4556	0.1
14.7088	0.2
14.8912	0.2
15.0992	0.1
15.3668	0.2
15.532	0.2
15.8432	0.1
16.0496	0.2
16.1764	0.2
16.4452	0.1
16.6564	0.2
16.8884	0.2
17.1904	0.1
17.3084	0.2
17.5688	0.1
17.9012	0.2
18.1636	0.2
18.548	0.1
18.7988	0.2
18.912	0.3
19.2136	0.2
19.4952	0.2
19.7132	0.1
19.9612	0.2
20.3408	0.2
20.6312	0.1
20.856	0.2
21.0352	0.2
21.33	0.1
21.5772	0.2
21.718	0.2
21.942	0.1
22.3712	0.2
22.7332	0.2
23.1104	0.1
23.6072	0.2
23.952	0.2
24.3404	0.1
24.7532	0.2
25.022	0.2
25.4832	0.1
25.8256	0.2
26.0836	0.3
26.4764	0.2
26.8484	0.2
27.1464	0.1
27.6112	0.2
28.0148	0.2
28.4272	0.1
28.782	0.2
29.066	0.2
29.438	0.1
29.8908	0.2
30.1508	0.2
30.4464	0.1
30.7728	0.2
31.0924	0.2
31.5384	0.1
31.9444	0.2
32.1876	0.2
32.5988	0.1
32.902	0.2
33.0552	0.3
33.4216	0.2
33.9492	0.2
34.3304	0.1
34.6524	0.2
35.0048	0.2
35.448	0.1
35.852	0.2
36.0876	0.2
36.2672	0.1
36.5784	0.2
36.816	0.2
37.0452	0.1
37.3404	0.2
37.5756	0.2
37.8292	0.1
38.1616	0.2
38.4916	0.2
38.9208	0.1
39.2584	0.2
39.6192	0.2
40.0124	0.1
40.32	0.2
40.5732	0.3
40.8276	0.2
41.1516	0.2
41.368	0.1
41.7164	0.2
41.9896	0.2
42.2608	0.1
42.5808	0.2
42.8044	0.2
43.0536	0.1
43.3464	0.2
43.6512	0.2
43.9624	0.1
44.3912	0.2
44.8104	0.2
45.2376	0.1
45.538	0.2
45.8924	0.2
46.3928	0.1
46.8076	0.2
47.1464	0.2
47.5836	0.2
48.0424	0.2
48.3692	0.1
