Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1d5c880
	Pos2dProxy:	0x1d61ca0
	Ranger:		0x1d61f80
	Map:		0x7ffe260a1150

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1d622d0
	Pos2dProxy:	0x1d60620
	Ranger:		0x1d60900
	Map:		0x7ffe260a11b0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1d60a90
	Pos2dProxy:	0x1d62440
	Ranger:		0x1d62720
	Map:		0x7ffe260a1210

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1d628b0
	Pos2dProxy:	0x1d62c60
	Ranger:		0x1d62f40
	Map:		0x7ffe260a1270

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1d630d0
	Pos2dProxy:	0x1d63440
	Ranger:		0x1d63720
	Map:		0x7ffe260a12d0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.9
5.2712	0.2
6.4432	0.1
6.8844	0.2
7.1836	0.2
7.396	0.1
7.5264	0.2
7.8136	0.2
8.0456	0.2
8.3472	0.2
8.4548	0.2
8.5676	0.1
8.7448	0.2
8.934	0.3
9.1984	0.2
9.4908	0.2
9.7472	0.1
9.994	0.2
10.1868	0.2
10.4384	0.1
10.6848	0.2
10.816	0.2
11.0036	0.1
11.2012	0.2
11.34	0.3
11.52	0.2
11.686	0.2
11.7908	0.1
11.9492	0.2
12.076	0.2
12.2348	0.1
12.464	0.2
12.6184	0.2
12.822	0.1
13.0916	0.2
13.2868	0.2
13.626	0.1
13.9664	0.2
14.1336	0.3
14.3648	0.2
14.6992	0.2
14.9548	0.1
15.1452	0.2
15.2868	0.2
15.5132	0.1
15.7544	0.2
15.9136	0.2
16.142	0.1
16.3452	0.2
16.4712	0.2
16.8192	0.1
17.1428	0.3
17.5104	0.2
17.722	0.2
17.9836	0.1
18.2832	0.2
18.4864	0.2
18.7084	0.1
19.0188	0.2
19.2464	0.2
19.4516	0.1
19.6964	0.2
19.896	0.3
20.1628	0.2
20.5872	0.2
20.8408	0.1
21.1248	0.2
21.3592	0.2
21.7024	0.1
22.0152	0.2
22.2352	0.2
22.588	0.1
22.9256	0.2
23.212	0.2
23.4712	0.1
23.7184	0.2
23.954	0.3
24.1492	0.2
24.4976	0.2
24.7896	0.1
25.3664	0.2
25.7656	0.2
26.2052	0.1
26.6088	0.2
27.0528	0.2
27.4812	0.1
27.7124	0.2
28.0884	0.2
28.5044	0.1
28.9676	0.2
29.278	0.3
29.6228	0.2
29.9708	0.2
30.168	0.1
30.484	0.2
30.8936	0.2
31.2936	0.1
31.7456	0.2
32.0492	0.2
32.428	0.1
32.8404	0.2
33.152	0.2
33.4948	0.1
33.928	0.2
34.2368	0.3
34.6792	0.2
35.0832	0.2
35.3616	0.1
35.7236	0.2
36.0436	0.2
36.4192	0.1
36.8052	0.2
36.9796	0.3
37.2684	0.2
37.5856	0.2
37.752	0.1
37.9844	0.2
38.3492	0.2
38.7808	0.1
39.1548	0.2
39.5448	0.2
39.82	0.1
40.0412	0.2
40.3124	0.3
40.5624	0.2
40.818	0.2
41.0828	0.1
41.2356	0.2
41.534	0.2
41.9408	0.1
42.1924	0.2
42.3844	0.2
42.5716	0.1
42.6872	0.2
43.0552	0.3
43.2844	0.2
43.5104	0.2
43.64	0.1
43.8504	0.2
44.034	0.2
44.1608	0.2
44.3316	0.2
44.4484	0.1
44.624	0.2
44.728	0.2
44.9308	0.2
45.024	0.1
45.0956	0.2
45.2124	0.2
45.2992	0.1
45.3416	0.3
45.4172	0.2
45.5032	0.2
45.5244	0.2
45.5696	0.1
45.6188	0.2
45.6728	0.2
45.7188	0.1
45.7984	0.3
45.8224	0.2
45.8316	0.2
45.8808	0.1
45.9272	0.2
45.9356	0.2
45.9472	0.2
45.9672	0.1
45.9796	0.2
46.0136	0.1
46.0196	0.2
46.0332	0.3
46.0488	0.2
46.0548	0.2
46.0564	0.2
46.0652	0.1
46.0744	0.2
46.0808	0.1
46.0824	0.2
46.1052	0.2
46.11	0.1
46.1152	0.2
46.1188	0.2
46.134	0.2
46.1352	1.1
46.1392	0.3
46.1404	0.1
46.1404	0.3
46.1416	0.3
46.1436	0.3
46.144	0.1
46.1456	0.3
46.1504	0.3
46.1508	0.3
46.1512	0.2
46.1516	0.4
46.1564	0.3
46.1576	0.3
46.1636	0.3
46.1784	0.2
46.1908	0.4
46.2012	0.3
46.2028	0.3
46.204	0.3
46.212	0.2
46.212	0.4
46.2128	0.1
46.2164	0.4
46.2168	0.1
46.2176	0.3
46.2176	0.2
46.2176	0.3
46.2176	0.2
46.218	0.3
46.2188	0.2
46.2204	0.3
46.2204	0.2
46.2216	0.3
46.2244	0.2
46.2252	0.3
46.2256	0.2
46.226	0.3
46.226	0.2
46.2272	0.4
46.228	0.3
46.2284	0.3
46.2284	0.2
46.2288	0.2
46.23	0.1
46.2308	0.3
46.2308	0.4
46.2308	0.3
