Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xe8d880
	Pos2dProxy:	0xe92ca0
	Ranger:		0xe92f80
	Map:		0x7ffc8b9811d0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xe932d0
	Pos2dProxy:	0xe91620
	Ranger:		0xe91900
	Map:		0x7ffc8b981230

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0xe91a90
	Pos2dProxy:	0xe93440
	Ranger:		0xe93720
	Map:		0x7ffc8b981290

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0xe938b0
	Pos2dProxy:	0xe93c60
	Ranger:		0xe93f40
	Map:		0x7ffc8b9812f0

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0xe940d0
	Pos2dProxy:	0xe94440
	Ranger:		0xe94720
	Map:		0x7ffc8b981350

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	7
5.2576	0.2
6.4632	0.2
6.9168	0.2
7.2564	0.3
7.4964	0.2
7.7636	0.4
8.0876	0.3
8.4116	0.2
8.696	0.3
8.876	0.4
9.1936	0.3
9.55	0.2
9.8112	0.1
10.04	0.2
10.2576	0.2
10.4784	0.3
10.7	0.2
10.9028	0.3
11.0092	0.2
11.2712	0.3
11.4872	0.2
11.7776	0.3
11.944	0.2
12.106	0.1
12.408	0.4
12.7548	0.1
13.1536	0.4
13.4524	0.1
13.7712	0.4
14.0372	0.1
14.2436	0.2
14.466	0.3
14.7392	0.2
15.0276	0.2
15.2776	0.1
15.442	0.2
15.7712	0.2
15.9644	0.1
16.244	0.3
16.4412	0.2
16.5792	0.3
16.7684	0.2
16.9708	0.2
17.1416	0.1
17.3152	0.2
17.4424	0.3
17.6348	0.2
17.8044	0.2
17.944	0.1
18.0852	0.2
18.2972	0.2
18.5812	0.1
18.8184	0.2
18.9776	0.3
19.1496	0.2
19.3192	0.2
19.5716	0.1
19.7076	0.2
19.7848	0.2
19.9136	0.1
20.144	0.2
20.2736	0.3
20.5632	0.2
20.9464	0.2
21.2928	0.1
21.6316	0.2
21.9056	0.2
22.1344	0.1
22.3704	0.2
22.6176	0.3
22.784	0.2
23.0584	0.2
23.3212	0.1
23.6396	0.2
23.8372	0.2
24.0516	0.1
24.2556	0.2
24.4376	0.3
24.7352	0.2
25.0668	0.2
25.4488	0.1
25.8752	0.2
26.1196	0.3
26.4492	0.2
26.718	0.2
26.9872	0.1
27.28	0.2
27.49	0.2
27.7636	0.1
27.9828	0.2
28.1596	0.3
28.4664	0.2
28.7468	0.2
28.9804	0.1
29.2348	0.2
29.4104	0.2
29.8032	0.1
30.2608	0.2
30.6008	0.3
30.9216	0.2
31.1352	0.2
31.3396	0.1
31.5856	0.2
31.734	0.3
32.022	0.2
32.3664	0.2
32.6816	0.1
32.9692	0.2
33.1768	0.2
33.4724	0.1
33.8096	0.2
34.0248	0.3
34.2912	0.2
34.6012	0.2
34.9408	0.1
35.3688	0.2
35.6264	0.3
35.9124	0.2
36.1444	0.2
36.4164	0.1
36.708	0.2
36.9896	0.3
37.3044	0.1
37.5892	0.2
37.8384	0.2
38.092	0.1
38.3296	0.3
38.5464	0.2
38.7056	0.2
38.9516	0.2
39.1048	0.1
39.322	0.2
39.5108	0.1
39.7688	0.2
40.0588	0.3
40.3512	0.2
40.6324	0.2
40.9456	0.2
41.3508	0.1
41.676	0.3
41.96	0.2
42.2056	0.2
42.456	0.2
42.8552	0.1
43.258	0.3
43.5924	0.1
43.746	0.1
44.116	0.3
44.5552	0.2
45.046	0.2
45.4468	0.2
45.7804	0.1
46.1328	0.3
46.388	0.2
46.6768	0.2
47.022	0.1
47.322	0.2
47.606	0.2
47.8672	0.2
48.0708	0.1
48.2548	0.2
48.378	0.2
48.6072	0.1
48.838	0.3
48.996	0.2
49.086	0.2
49.202	0.2
49.2876	0.1
49.4564	0.3
49.5432	0.2
49.6864	0.2
49.818	0.2
49.9184	0.1
50.0664	0.2
50.1704	0.2
50.2832	0.1
50.3552	0.3
50.4716	0.2
50.5648	0.2
50.6928	0.2
50.7804	0.1
50.884	0.3
