Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xccd880
	Pos2dProxy:	0xcd2ca0
	Ranger:		0xcd2f80
	Map:		0x7ffd91956020

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.4
2.0228	0.2
2.3752	0.1
3.0572	0.2
3.4304	0.2
4.2016	0.1
4.7472	0.2
5.0896	0.2
5.2496	0.1
5.4676	0.2
5.6816	0.2
5.788	0.2
5.9308	0.2
6.1308	0.2
6.22	0.1
6.4	0.2
6.5972	0.2
6.7164	0.1
6.9248	0.2
7.0996	0.2
7.2084	0.1
7.346	0.2
7.5096	0.2
7.596	0.1
7.7376	0.2
7.8868	0.2
7.9868	0.1
8.1672	0.2
8.3484	0.2
8.4268	0.1
8.6096	0.2
8.8548	0.2
8.9948	0.1
9.0812	0.2
9.1828	0.2
9.2496	0.1
9.3876	0.2
9.5104	0.2
9.6	0.1
9.7236	0.2
9.8404	0.2
9.9188	0.1
10.0408	0.2
10.2896	0.2
10.4636	0.1
10.5544	0.2
10.8252	0.2
11.0052	0.1
11.1968	0.2
11.2696	0.2
11.306	0.1
11.3652	0.2
11.4416	0.2
11.5204	0.1
11.6344	0.2
11.7344	0.2
11.79	0.1
11.8924	0.2
11.9712	0.1
12.176	0.2
12.358	0.2
12.4056	0.1
12.5368	0.2
12.7332	0.2
12.8476	0.1
13.054	0.2
13.3028	0.2
13.534	0.1
13.7	0.2
13.8776	0.2
14.0428	0.1
14.1044	0.2
14.2828	0.2
14.3864	0.1
14.5496	0.2
14.7224	0.2
14.818	0.1
14.9932	0.2
15.1452	0.2
15.2064	0.1
15.3176	0.2
15.4656	0.2
15.556	0.1
15.726	0.2
15.8452	0.2
15.8988	0.1
16.0332	0.2
16.18	0.2
16.2376	0.1
16.3536	0.2
16.456	0.2
16.51	0.1
16.6184	0.2
16.748	0.2
16.846	0.1
16.924	0.2
17.1388	0.2
17.1776	0.1
17.2928	0.2
17.4024	0.2
17.4744	0.1
17.5192	0.2
17.6196	0.2
17.6856	0.1
17.7924	0.2
17.9148	0.2
17.9956	0.1
18.046	0.2
18.1132	0.2
18.1448	0.1
18.2788	0.2
18.438	0.2
18.598	0.1
18.826	0.2
18.9052	0.2
18.9332	0.1
19.0936	0.2
19.2304	0.2
19.3108	0.1
19.4784	0.2
19.5596	0.2
19.6684	0.1
19.8016	0.2
19.9984	0.2
20.0772	0.1
20.218	0.2
20.3436	0.2
20.426	0.1
20.5756	0.2
20.7228	0.2
20.7896	0.1
20.96	0.2
21.186	0.2
21.422	0.1
21.6392	0.2
21.9008	0.2
21.9984	0.1
22.1576	0.2
22.2768	0.2
22.3776	0.1
22.4908	0.2
22.5684	0.2
22.6284	0.1
22.7924	0.2
22.9416	0.2
23.026	0.1
23.1592	0.2
23.316	0.2
23.4172	0.1
23.5688	0.2
23.7596	0.2
23.8452	0.1
23.9704	0.2
24.1272	0.2
24.256	0.1
24.4464	0.1
24.7004	0.2
24.762	0.1
24.7976	0.1
24.8632	0.1
24.9884	0.2
25.1424	0.1
25.2844	0.1
25.326	0.1
25.4164	0.2
25.4544	0.1
25.5808	0.1
25.7464	0.1
25.8168	0.2
25.8984	0.1
25.9184	0.1
25.958	0.1
26.0276	0.2
26.088	0.1
26.1248	0.1
26.1952	0.1
26.334	0.2
26.4848	0.1
26.6716	0.1
26.724	0.1
26.7776	0.2
26.8484	0.1
26.9712	0.1
27.0404	0.1
27.17	0.2
27.2628	0.1
27.3764	0.1
27.4684	0.1
27.5628	0.2
27.6052	0.1
27.6472	0.1
27.7244	0.1
27.7828	0.2
27.8588	0.1
27.9316	0.1
27.97	0.1
28.1312	0.2
28.3108	0.1
28.436	0.1
28.5384	0.1
28.6528	0.2
28.692	0.1
28.7884	0.1
28.9276	0.1
29.1408	0.2
29.3456	0.1
29.39	0.1
29.4448	0.1
29.5236	0.2
29.642	0.1
29.834	0.1
29.9508	0.1
30.068	0.2
30.1348	0.1
30.23	0.1
30.328	0.1
30.4252	0.2
30.4876	0.1
30.528	0.1
30.574	0.1
30.67	0.2
30.7176	0.1
30.78	0.1
30.8408	0.1
30.9448	0.2
30.9644	0.1
30.9792	0.1
30.9988	0.1
31.1064	0.2
31.2084	0.1
31.3152	0.1
31.3568	0.1
31.4188	0.2
31.4928	0.1
31.5336	0.1
