Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x248e880
	Pos2dProxy:	0x2493ca0
	Ranger:		0x2493f80
	Map:		0x7ffdf7a13ce0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	26.4
1.7212	0.1
1.7552	0.1
2.8188	0.2
3.1988	0.2
3.846	0.1
4.1376	0.2
4.5496	0.2
4.7772	0.1
5.0452	0.2
5.2812	0.2
5.4772	0.1
5.678	0.2
5.7928	0.2
5.8612	0.1
5.946	0.2
6.086	0.2
6.1452	0.1
6.3104	0.2
6.4728	0.2
6.5656	0.1
6.7452	0.2
6.9012	0.2
7.0144	0.1
7.2024	0.2
7.3568	0.2
7.428	0.1
7.5816	0.2
7.764	0.2
7.8436	0.1
8.0292	0.2
8.1988	0.2
8.2968	0.1
8.4876	0.2
8.6604	0.2
8.7724	0.1
8.8696	0.1
9.0132	0.2
9.1628	0.1
9.2524	0.1
9.3268	0.1
9.4572	0.2
9.6292	0.1
9.8028	0.1
9.8852	0.1
10.0504	0.2
10.1384	0.1
10.2536	0.1
10.4776	0.1
10.6752	0.2
10.776	0.1
10.8832	0.1
10.98	0.1
11.09	0.2
11.202	0.1
11.2916	0.1
11.3264	0.1
11.4584	0.2
11.564	0.1
11.676	0.1
11.7696	0.1
11.88	0.2
11.9888	0.1
12.07	0.1
12.1492	0.1
12.218	0.2
12.2416	0.1
12.2616	0.1
12.3108	0.1
12.3196	0.2
12.3448	0.1
12.4096	0.1
12.414	0.1
12.4348	0.2
12.4452	0.1
12.452	0.1
12.4624	0.1
12.4888	0.2
12.5048	0.1
12.52	0.1
12.5412	0.1
12.5512	0.2
12.566	0.1
12.5732	0.1
12.5828	0.1
12.5896	0.2
12.6044	0.1
12.6076	0.1
12.6088	0.1
12.6116	0.2
12.6128	0.1
12.6144	0.1
12.618	0.1
12.6196	0.2
12.6212	0.1
12.6236	0.1
12.6252	0.1
12.63	0.2
12.6336	0.1
12.6352	0.1
12.6368	0.1
12.6384	0.2
12.6444	0.1
12.648	0.1
12.6496	0.1
12.6604	0.2
12.6668	0.1
12.6756	0.1
12.6796	0.1
12.6868	0.2
12.6912	0.1
12.694	0.1
12.6964	0.1
12.7012	0.2
12.7012	0.1
12.7024	0.1
12.7044	0.1
12.7056	0.2
12.7076	0.1
12.71	0.1
12.7136	1.5
12.7136	0.1
12.7148	0.2
12.7188	0.1
12.7196	0.1
12.72	0.1
12.7216	0.2
12.7228	0.1
12.7248	0.1
12.7324	0.1
12.7332	0.2
12.7352	0.1
12.7356	1
12.7356	0.1
12.736	0.1
