Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x17fa880
	Pos2dProxy:	0x17ffca0
	Ranger:		0x17fff80
	Map:		0x7fff370b64a0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	3.8
1.7212	0.1
1.7552	0.1
2.8188	0.2
3.208	0.2
3.548	0.2
4.0232	0.1
4.3644	0.2
4.6572	0.2
4.9348	0.1
5.154	0.2
5.396	0.2
5.5072	0.1
5.596	0.2
5.774	0.2
5.9048	0.1
6.1048	0.2
6.2476	0.2
6.3244	0.1
6.4648	0.2
6.616	0.2
6.7168	0.1
6.922	0.2
7.0916	0.2
7.2132	0.1
7.3884	0.2
7.5288	0.2
7.7344	0.2
7.912	0.2
8.0948	0.2
8.1816	0.1
8.356	0.2
8.526	0.2
8.6196	0.1
8.804	0.2
8.954	0.2
9.0592	0.1
9.2916	0.2
9.554	0.2
9.7508	0.1
9.9636	0.2
10.0916	0.2
10.3128	0.1
10.4408	0.2
10.608	0.2
10.7116	0.1
10.8068	0.2
10.9116	0.2
10.9956	0.1
11.0712	0.2
11.18	0.2
11.2352	0.1
11.3336	0.2
11.4752	0.2
11.5692	0.1
11.6428	0.2
11.7748	0.2
11.8612	0.1
11.9704	0.2
12.1312	0.2
12.2596	0.1
12.4052	0.2
12.474	0.2
12.5592	0.1
12.6524	0.2
12.6988	0.2
12.8288	0.1
12.8516	0.2
12.8996	0.2
12.9432	0.1
13.01	0.2
13.1316	0.2
13.2424	0.1
13.3516	0.2
13.436	0.1
13.4808	0.2
13.5448	0.2
13.61	0.1
13.6584	0.2
13.7088	0.2
13.728	0.1
13.742	0.2
13.768	0.2
13.8112	0.1
13.8368	0.2
13.8584	0.2
13.884	0.1
13.9196	0.2
13.9268	0.2
13.9428	0.1
13.9492	0.2
13.97	0.2
13.972	0.1
13.9744	0.2
13.978	0.2
13.9788	0.1
13.9816	0.2
13.9848	0.2
13.9876	0.1
13.9876	0.2
13.9892	0.2
14.0028	0.1
14.0096	0.2
14.02	0.2
14.0264	0.1
14.0292	0.2
14.036	0.2
14.0408	0.1
14.0448	0.2
14.0476	0.2
14.048	0.1
14.048	0.2
14.0504	0.2
14.0508	0.1
14.0536	0.2
14.0576	0.2
14.0588	0.1
14.0596	0.2
14.06	0.2
14.0604	0.1
14.0604	0.2
14.0612	0.2
14.0648	0.1
14.0784	0.2
14.0812	0.2
14.0812	0.1
14.0812	0.2
14.0816	0.2
14.1056	0.1
14.1056	0.2
14.1056	0.2
14.1072	0.1
14.112	0.2
14.1156	0.2
14.1208	0.1
14.1252	0.2
14.13	0.2
14.14	0.1
14.1504	0.2
14.1768	0.2
14.2164	0.1
14.2432	0.2
14.2888	0.2
14.3608	0.1
14.39	0.2
14.4296	0.2
14.4616	0.1
14.5212	0.2
14.5824	0.2
14.6168	0.1
14.694	0.2
14.7192	0.2
14.8096	0.1
14.8928	0.2
14.9096	0.2
14.95	0.1
15.0188	0.2
15.0804	0.2
15.1336	0.1
15.2236	0.2
15.3052	0.2
15.3972	0.1
15.4172	0.2
15.4664	0.2
15.4988	0.1
15.5492	0.2
15.6168	0.2
15.6468	0.1
15.676	0.2
15.752	0.2
15.7948	0.1
15.8572	0.1
15.92	0.2
16.1048	0.1
16.2912	0.1
16.3576	0.1
16.4752	0.2
16.5736	0.1
16.6412	0.1
16.704	0.1
16.7916	0.2
16.858	0.1
16.962	0.1
17.0164	0.1
17.128	0.2
17.1872	0.1
17.2968	0.1
17.4104	0.1
17.556	0.2
17.6652	0.1
17.7312	0.1
17.8692	0.1
18.1768	0.2
18.4632	0.1
18.8612	0.1
19.0924	0.1
19.246	0.2
19.3376	0.1
19.5468	0.1
19.7132	0.1
19.7952	0.2
19.9472	0.1
20.0024	0.1
20.034	0.1
20.1292	0.2
20.2316	0.1
20.2896	0.1
20.3508	0.1
20.4228	0.2
20.4716	0.1
20.5028	0.1
20.5652	0.1
20.6376	0.2
20.6788	0.1
20.7168	0.1
20.782	0.1
20.8356	0.2
20.936	0.1
21.0696	0.1
21.2256	0.1
21.3256	0.2
21.3476	0.1
21.3636	0.1
21.388	0.1
21.5136	0.2
21.61	0.1
21.6592	0.1
21.69	0.1
21.764	0.2
21.8152	0.1
21.882	0.1
21.9968	0.1
22.0968	0.2
22.2528	0.1
22.4328	0.1
22.6192	0.1
22.792	0.2
22.8468	0.1
22.9516	0.1
23.144	0.1
23.2796	0.2
23.4184	0.1
23.4912	0.1
23.6276	0.1
23.734	0.2
23.8304	0.1
23.9308	0.1
24.0388	0.1
24.1428	0.2
24.2556	0.1
24.3596	0.1
24.5108	0.1
24.6748	0.2
24.7216	0.1
24.8296	0.1
25.0048	0.1
25.1948	0.2
25.3496	0.1
25.436	0.1
25.5324	0.1
25.6552	0.2
25.7348	0.1
25.8516	0.1
25.9984	0.1
26.1832	0.2
26.3092	0.1
26.4524	0.1
26.552	0.1
26.6996	0.2
26.8024	0.1
26.8948	0.1
26.994	0.1
27.148	0.2
27.2232	0.1
27.2936	0.1
27.3232	0.1
27.3812	0.2
27.4184	0.1
27.4944	0.1
27.5436	0.1
27.7124	0.2
27.8056	0.1
27.958	0.1
28.0464	0.1
28.18	0.2
28.2232	0.1
28.3904	0.1
28.572	0.1
28.7348	0.2
28.8456	0.1
28.8768	0.1
28.9052	0.1
28.9704	0.2
29.0232	0.1
29.078	0.1
29.1288	0.1
29.2356	0.2
29.368	0.1
29.4852	0.1
29.5596	0.1
29.696	0.2
29.8672	0.1
30.0776	0.1
30.2008	0.1
30.3444	0.2
30.4116	0.1
30.5084	0.1
30.5352	0.1
30.6284	0.2
30.7596	0.1
30.9308	0.1
31.0604	0.1
31.1792	0.2
31.262	0.1
31.3184	0.1
31.3412	0.1
31.4408	0.2
31.5328	0.1
31.6436	0.1
31.7172	0.1
31.7544	0.2
31.8152	0.1
31.8696	0.1
32.006	0.1
32.0716	0.2
32.2072	0.1
32.2656	0.1
32.3516	0.1
32.416	0.2
32.426	0.1
32.4348	0.1
32.4732	0.1
32.5468	0.2
32.564	0.1
32.6392	0.1
32.6444	0.1
32.6564	0.2
32.6784	0.1
32.6956	0.1
32.7164	0.1
32.7324	0.2
32.7484	0.1
32.7592	0.1
32.766	0.1
32.7696	0.2
32.77	0.1
32.7724	0.1
32.7768	0.1
32.7788	0.2
32.782	0.1
32.7844	0.1
32.7848	0.1
32.7872	0.2
32.7872	0.1
32.7872	0.1
32.7876	0.1
32.7892	0.2
32.7952	0.1
32.7992	0.1
32.802	0.1
32.8052	0.2
32.8076	0.1
32.8084	0.1
32.81	0.1
32.8148	0.2
32.8204	0.1
32.8232	0.1
32.8296	0.1
32.8352	0.2
32.8436	0.1
32.858	0.1
32.8604	0.1
32.8648	0.2
32.8656	0.1
32.866	0.1
32.866	0.1
32.866	0.2
32.8668	0.1
32.8672	0.1
32.8672	0.1
32.8676	0.2
32.8696	0.1
32.8704	0.1
32.8708	0.1
32.8712	0.2
32.8724	0.1
32.8736	0.1
32.876	0.1
32.876	0.2
32.876	0.1
32.876	0.1
32.876	0.1
32.876	0.2
32.876	0.1
32.876	0.1
32.8764	0.1
32.8764	0.2
32.8764	0.1
32.8764	0.1
32.8764	0.1
32.8768	0.2
32.8768	0.1
32.8836	0.1
32.888	0.1
32.894	0.2
32.9108	0.1
32.9112	0.1
32.9112	0.1
32.9172	0.2
32.938	0.1
32.9468	0.1
32.9596	0.1
32.9636	0.2
32.972	0.1
32.984	0.1
32.99	0.1
33.0036	0.2
33.0104	0.1
33.012	0.1
33.0152	0.1
33.0272	0.2
33.0368	0.1
33.0436	0.1
33.046	0.1
33.0488	0.2
33.05	0.1
33.0504	0.2
33.0524	0.2
33.0532	0.2
33.0532	0.1
33.0532	0.2
33.0532	0.2
33.0536	0.1
33.0548	0.2
33.0548	0.2
33.0548	0.1
33.0564	0.2
33.0564	0.2
33.0564	0.1
33.0568	0.2
33.0576	0.2
33.0576	0.1
33.0584	0.2
33.0608	0.2
33.0612	0.1
33.062	0.2
33.062	0.2
33.062	0.1
33.0624	0.2
33.0624	0.2
33.0624	0.1
33.0624	0.2
33.0632	0.2
33.064	0.1
33.0664	0.2
33.0832	0.2
33.0964	0.1
33.108	0.2
33.1084	0.2
33.1156	0.1
33.1192	0.2
33.1208	0.2
33.1228	0.1
33.1232	0.2
33.124	0.2
33.124	0.1
33.124	0.2
33.1244	0.2
33.1244	0.1
33.1244	0.2
33.1244	0.2
33.1244	0.1
33.1244	0.2
33.1244	0.2
33.1244	0.1
33.1244	0.2
33.1244	0.2
33.1244	0.1
33.1244	0.2
33.1244	0.2
33.1248	0.1
33.1252	0.2
33.1252	0.2
33.1252	0.1
33.1252	0.2
33.1252	0.2
33.1252	0.1
33.1276	0.2
33.1308	0.2
33.1372	0.1
33.1492	0.2
33.1564	0.2
33.174	0.1
33.1892	0.2
33.224	0.2
33.254	0.1
33.2792	0.2
33.3024	0.2
33.312	0.1
33.322	0.2
33.3324	0.2
33.35	0.1
33.3508	0.2
33.3576	0.2
33.3644	0.1
33.3712	0.2
33.3776	0.2
33.3796	0.1
33.3808	0.2
33.3808	0.2
33.3808	0.1
33.3828	0.2
33.3856	0.2
33.3856	0.1
33.3856	0.2
33.386	0.2
33.386	0.1
33.386	0.2
33.386	0.2
