Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x2355880
	Pos2dProxy:	0x235aca0
	Ranger:		0x235af80
	Map:		0x7ffd1db53fe0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x235b2d0
	Pos2dProxy:	0x2359620
	Ranger:		0x2359900
	Map:		0x7ffd1db54040

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x2359a90
	Pos2dProxy:	0x235b440
	Ranger:		0x235b720
	Map:		0x7ffd1db540a0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x235b8b0
	Pos2dProxy:	0x235bc60
	Ranger:		0x235bf40
	Map:		0x7ffd1db54100

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x235c0d0
	Pos2dProxy:	0x235c440
	Ranger:		0x235c720
	Map:		0x7ffd1db54160

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x235c8b0
	Pos2dProxy:	0x235cc20
	Ranger:		0x235cf00
	Map:		0x7ffd1db541c0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x235d090
	Pos2dProxy:	0x235d400
	Ranger:		0x235d6e0
	Map:		0x7ffd1db54220

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x235d870
	Pos2dProxy:	0x235dbe0
	Ranger:		0x235dec0
	Map:		0x7ffd1db54280

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x235e050
	Pos2dProxy:	0x235e3c0
	Ranger:		0x235e6a0
	Map:		0x7ffd1db542e0

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x235e830
	Pos2dProxy:	0x235eba0
	Ranger:		0x235ee80
	Map:		0x7ffd1db54340

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	9.3
6.6548	0.2
7.806	0.3
8.3428	0.2
8.7984	0.3
9.1008	0.2
9.452	0.3
9.7352	0.2
10.0564	0.5
10.366	0.3
10.6788	0.2
10.9552	0.5
11.2612	0.3
11.5108	0.2
11.7612	0.5
12.0684	0.3
12.336	0.2
12.5716	0.5
12.81	0.3
13.0288	0.2
13.166	0.5
13.2792	0.3
13.396	0.3
13.4544	0.4
13.5332	0.3
13.6436	0.3
13.7352	0.2
13.8184	0.5
13.892	0.3
14.022	0.2
14.124	0.5
14.2068	0.3
14.3788	0.2
14.5212	0.5
14.6524	0.3
14.782	0.2
14.9844	0.3
15.1612	0.5
15.2288	0.2
15.3484	0.3
15.6036	0.4
15.8068	0.3
16.1036	0.3
16.4608	0.4
16.684	0.3
16.9528	0.3
17.2828	0.2
17.5816	0.5
17.9328	0.3
18.268	0.2
18.6248	0.5
18.9776	0.3
19.3924	0.2
19.7176	0.5
20.0352	0.3
20.5672	0.2
20.8668	0.5
21.0772	0.3
21.2408	0.2
21.476	0.5
21.7272	0.3
21.922	0.2
22.1684	0.5
22.4456	0.3
22.6996	0.2
23.0712	0.5
23.3788	0.3
23.6	0.2
24.0312	0.3
24.5092	0.4
24.6656	0.3
25.028	0.4
25.5588	0.3
25.8968	0.2
26.2636	0.5
26.7364	0.3
27.1052	0.2
27.5356	0.5
27.786	0.3
28.0972	0.2
28.458	0.4
28.848	0.4
29.0724	0.2
29.3952	0.4
29.6268	0.3
29.9368	0.3
30.2304	0.4
30.4824	0.3
30.734	0.3
30.9964	0.4
31.338	0.3
31.628	0.3
31.954	0.3
32.2668	0.2
32.5336	0.5
32.8192	0.3
33.0728	0.2
33.2548	0.4
33.4608	0.4
33.6508	0.2
33.8564	0.4
33.982	0.3
34.1052	0.3
34.2168	0.4
34.2668	0.3
34.3064	0.3
34.3752	0.3
34.434	0.2
34.464	0.5
34.5176	0.3
34.592	0.2
34.6316	0.4
34.696	0.3
34.7512	0.3
34.8252	0.3
34.8652	0.4
34.8856	0.3
34.9152	0.3
34.9492	0.2
34.976	0.4
35.018	0.3
35.0568	0.3
35.0896	0.4
35.0988	0.3
35.1432	0.3
35.146	0.3
35.164	0.2
35.1856	0.5
35.1964	0.3
35.2576	0.2
35.2744	0.4
35.3072	0.3
35.3316	0.3
35.3864	0.4
35.4332	0.3
35.4656	0.3
35.5116	0.3
35.524	0.4
35.5248	0.3
35.5396	0.3
35.5584	0.2
35.564	0.4
35.5776	0.3
35.6024	0.3
35.6196	0.4
35.63	0.3
35.6452	0.3
35.6848	0.3
35.7004	0.2
35.7272	0.5
35.7756	0.3
35.838	0.2
35.8908	0.4
35.9588	0.3
36.0408	0.3
36.1216	0.4
36.2844	0.3
36.3904	0.3
36.4892	0.3
36.61	0.2
36.7716	0.4
37.0184	0.4
37.2592	0.2
37.5528	0.4
37.8044	0.3
38.1076	0.3
38.5008	0.4
38.7864	0.3
39.124	0.3
39.3872	0.3
39.6388	0.2
39.9676	0.3
40.238	0.4
40.526	0.3
40.7336	0.4
40.9988	0.3
41.216	0.3
41.378	0.2
41.6	0.5
41.8292	0.3
41.9288	0.2
42.0924	0.3
42.3024	0.4
42.4052	0.3
42.5032	0.3
42.6456	0.4
42.7224	0.3
42.8808	0.3
42.9972	0.2
43.1292	0.5
43.2488	0.3
43.3904	0.2
43.5344	0.3
43.5904	0.4
43.772	0.3
44.06	0.3
44.2816	0.4
44.3176	0.3
44.3944	0.3
44.5868	0.2
44.6276	0.3
44.734	0.4
44.8372	0.3
44.9668	0.3
45.1104	0.2
45.25	0.3
45.3928	0.4
45.6164	0.3
45.808	0.3
46.01	0.4
46.2256	0.3
46.382	0.3
46.5444	0.4
46.7852	0.3
46.9972	0.3
47.156	0.4
47.432	0.3
47.6752	0.3
47.8712	0.4
48.0976	0.3
48.2728	0.3
48.5604	0.4
48.6928	0.3
48.9416	0.3
49.2524	0.4
49.5072	0.3
49.7668	0.3
49.9464	0.2
50.1212	0.5
50.2492	0.3
50.3468	0.2
50.5468	0.3
50.6632	0.4
50.732	0.3
50.7852	0.3
50.826	0.4
50.8708	0.3
50.9044	0.3
50.9348	0.2
50.9616	0.5
50.9972	0.3
51.0388	0.2
51.0948	0.3
51.1296	0.5
51.1748	0.2
51.22	0.3
51.284	0.4
51.3632	0.3
51.4436	0.3
51.548	0.2
51.6544	0.3
51.8188	0.4
52.0004	0.3
52.1852	0.3
52.3204	0.4
52.4276	0.3
52.5692	0.3
52.754	0.4
52.9276	0.3
53.068	0.3
53.3284	0.2
53.634	0.3
53.9092	0.4
54.148	0.3
54.3072	0.3
54.6032	0.2
54.9136	0.3
55.1428	0.4
55.312	0.3
55.5028	0.3
55.7724	0.2
56.046	0.5
56.378	0.3
56.7948	0.2
57.0308	0.5
57.316	0.3
57.6488	0.2
57.9588	0.3
58.2832	0.4
58.5532	0.3
58.7028	0.3
58.946	0.2
59.2004	0.5
59.4712	0.3
59.6836	0.2
59.9308	0.3
60.1984	0.5
60.4284	0.2
60.6876	0.3
60.9496	0.4
61.1408	0.3
61.3968	0.3
61.55	0.2
61.8268	0.3
62.0656	0.4
62.2592	0.3
62.4936	0.3
62.648	0.2
62.8648	0.5
63.096	0.3
63.2504	0.2
63.3396	0.3
63.4432	0.4
63.5416	0.3
63.6108	0.3
63.624	0.2
