Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1f45880
	Pos2dProxy:	0x1f4aca0
	Ranger:		0x1f4af80
	Map:		0x7ffe4948d790

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1f4b2d0
	Pos2dProxy:	0x1f49620
	Ranger:		0x1f49900
	Map:		0x7ffe4948d7f0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1f49a90
	Pos2dProxy:	0x1f4b440
	Ranger:		0x1f4b720
	Map:		0x7ffe4948d850

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1f4b8b0
	Pos2dProxy:	0x1f4bc60
	Ranger:		0x1f4bf40
	Map:		0x7ffe4948d8b0

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1f4c0d0
	Pos2dProxy:	0x1f4c440
	Ranger:		0x1f4c720
	Map:		0x7ffe4948d910

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x1f4c8b0
	Pos2dProxy:	0x1f4cc20
	Ranger:		0x1f4cf00
	Map:		0x7ffe4948d970

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1f4d090
	Pos2dProxy:	0x1f4d400
	Ranger:		0x1f4d6e0
	Map:		0x7ffe4948d9d0

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1f4d870
	Pos2dProxy:	0x1f4dbe0
	Ranger:		0x1f4dec0
	Map:		0x7ffe4948da30

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1f4e050
	Pos2dProxy:	0x1f4e3c0
	Ranger:		0x1f4e6a0
	Map:		0x7ffe4948da90

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1f4e830
	Pos2dProxy:	0x1f4eba0
	Ranger:		0x1f4ee80
	Map:		0x7ffe4948daf0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	39.7
6.78	0.2
7.7448	0.2
8.4032	0.3
8.7548	0.3
9.0372	0.3
9.3432	0.1
9.6116	0.3
9.9152	0.3
10.178	0.3
10.412	0.4
10.7524	0.3
11.0212	0.3
11.3348	0.4
11.6816	0.3
11.9476	0.3
12.1852	0.4
12.3868	0.3
12.5456	0.3
12.7308	0.4
12.928	0.3
13.1128	0.3
13.262	0.4
13.3824	0.3
13.4372	0.3
13.5664	0.4
13.706	0.3
13.8252	0.3
13.9212	0.4
13.9976	0.3
14.1212	0.3
14.2212	0.4
14.3088	0.3
14.4244	0.3
14.5192	0.4
14.6448	0.3
14.768	0.3
14.9132	0.4
15.0092	0.3
15.1712	0.3
15.4016	0.4
15.668	0.3
15.8784	0.3
16.2072	0.4
16.4388	0.3
16.7488	0.3
16.9504	0.4
17.1224	0.3
17.2816	0.3
17.356	0.4
17.4052	0.3
17.5784	0.3
17.8016	0.2
17.9808	0.5
18.206	0.3
18.4312	0.2
18.5472	0.5
18.8448	0.3
19.2244	0.2
19.5284	0.5
19.8432	0.3
20.0832	0.2
20.2648	0.5
20.5524	0.3
20.8536	0.2
21.0228	0.5
21.2408	0.3
21.446	0.2
21.616	0.5
21.9	0.3
22.0656	0.2
22.2728	0.5
22.602	0.3
22.938	0.2
23.2032	0.5
25.092	0.3
26.4196	0.2
27.2468	0.5
28.1608	0.2
29.0784	0.3
29.7532	0.5
30.4028	0.2
30.9816	0.3
31.5284	0.5
32.18	0.2
32.5372	0.3
33.0128	0.4
33.5124	0.3
34	0.3
34.564	0.4
35.1244	0.3
35.6768	0.3
36.1164	0.4
36.5432	0.3
37.1176	0.3
37.4864	0.4
37.8788	0.3
38.2204	0.3
38.7412	0.2
39.1312	0.3
39.466	0.4
39.8004	0.3
40.2576	0.3
40.5256	0.4
40.91	0.3
