Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x2380880
	Pos2dProxy:	0x2385ca0
	Ranger:		0x2385f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x2386300
	Pos2dProxy:	0x2384620
	Ranger:		0x2384900
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.1
2.7688	0.1
4.1324	0.2
4.622	0.2
5.1736	0.1
5.5236	0.2
5.7748	0.2
6.032	0.1
6.1868	0.2
6.3352	0.2
6.4752	0.1
6.6028	0.2
6.7648	0.2
6.9216	0.2
7.0736	0.2
7.204	0.2
7.3024	0.1
7.4772	0.2
7.6732	0.2
7.7688	0.1
7.9244	0.2
8.0624	0.2
8.1684	0.1
8.3164	0.2
8.4856	0.2
8.62	0.1
8.9488	0.2
9.2028	0.2
9.346	0.1
9.5788	0.2
9.7752	0.2
9.8828	0.1
10.044	0.2
10.1528	0.2
10.27	0.1
10.382	0.2
10.4944	0.2
10.5668	0.1
10.706	0.2
10.8768	0.2
10.9748	0.1
11.1304	0.2
11.2236	0.2
11.2832	0.1
11.3592	0.2
11.466	0.2
11.5592	0.1
11.6672	0.2
11.81	0.2
11.8768	0.1
12.0356	0.2
12.2736	0.2
12.4604	0.1
12.5732	0.2
12.6504	0.2
12.7248	0.1
12.7856	0.2
12.8588	0.2
12.904	0.1
12.9512	0.2
12.9904	0.1
13.0564	0.2
13.1248	0.2
13.1824	0.1
13.2592	0.2
13.3396	0.2
13.3912	0.1
13.4512	0.2
13.5052	0.2
13.5416	0.1
13.58	0.2
13.6376	0.2
13.6608	0.1
13.7228	0.2
13.7708	0.2
13.7852	0.1
13.7984	0.2
13.8088	0.2
13.8184	0.1
13.8252	0.2
13.8468	0.2
13.8676	0.1
13.9004	0.2
13.9284	0.2
13.9816	0.1
14.022	0.2
14.0604	0.2
14.08	0.1
14.0972	0.2
14.11	0.2
14.1244	0.1
14.142	0.2
14.1836	0.2
14.2048	0.1
14.2428	0.2
14.4364	0.2
14.5592	0.1
14.766	0.2
15.0836	0.2
15.1896	0.1
15.4652	0.2
15.5812	0.2
15.7384	0.1
15.9424	0.2
16.154	0.2
16.2984	0.1
16.3472	0.2
16.4132	0.2
16.5156	0.1
16.7016	0.2
17.0104	0.2
17.2116	0.1
17.3788	0.2
17.6944	0.2
18.178	0.1
18.3636	0.2
18.6476	0.2
18.8852	0.1
19.1708	0.2
19.4376	0.2
19.5836	0.1
19.7168	0.2
19.7976	0.2
20.1044	0.1
20.2128	0.2
20.29	0.2
20.3072	0.1
20.3976	0.2
20.51	0.2
20.666	0.1
20.768	0.2
20.9136	0.2
20.974	0.1
21.06	0.2
21.1104	0.2
21.1664	0.1
21.2064	0.2
21.2652	0.2
21.3572	0.1
21.4236	0.2
21.5316	0.2
21.6188	0.1
21.6892	0.2
21.8168	0.2
21.8556	0.1
22.0016	0.2
22.1096	0.2
22.2152	0.1
22.328	0.2
22.4636	0.2
22.5448	0.1
22.6036	0.2
22.7204	0.2
22.818	0.1
22.9136	0.2
23.0448	0.2
23.1256	0.1
23.1716	0.1
23.308	0.2
23.4256	0.1
23.5716	0.1
23.586	0.1
23.606	0.2
23.7008	0.1
23.8268	0.1
23.8376	0.1
23.8768	0.2
23.924	0.1
23.9992	0.1
24.0956	0.1
24.1216	0.2
24.1568	0.1
24.1776	0.1
24.2088	0.1
24.2456	0.2
24.2748	0.1
24.3068	0.1
24.3356	0.1
24.4104	0.2
24.452	0.1
24.5224	0.1
24.5476	0.1
24.5932	0.2
24.6348	0.1
24.728	0.1
24.7948	0.1
24.8348	0.2
24.854	0.1
24.9168	0.1
24.9348	0.1
24.9608	0.2
24.9828	0.1
25.0328	0.1
25.084	0.1
25.1024	0.2
25.1208	0.1
25.2256	0.1
25.3536	0.1
25.416	0.2
25.4692	0.1
25.5124	0.1
25.536	0.1
25.6372	0.2
25.6964	0.1
25.8256	0.1
25.9668	0.1
26.1724	0.2
26.2936	0.1
26.3084	0.1
26.4472	0.1
26.5796	0.2
26.7448	0.1
26.8864	0.1
27.1668	0.1
27.2428	0.2
27.4236	0.1
27.6052	0.1
27.7692	0.1
27.9292	0.2
28.1176	0.1
28.23	0.1
28.2808	0.1
28.5168	0.2
28.736	0.1
28.79	0.1
28.8644	0.1
29.0528	0.2
29.2188	0.1
29.4208	0.1
29.5464	0.1
29.6892	0.2
29.814	0.1
29.9052	0.1
30.1	0.1
30.2104	0.2
30.2996	0.1
30.4728	0.1
30.6464	0.1
30.8228	0.2
30.874	0.1
31.0328	0.1
31.2704	0.1
31.4484	0.2
31.5508	0.1
31.6556	0.1
31.7508	0.1
31.9472	0.2
32.0544	0.1
32.1496	0.1
32.2344	0.1
32.414	0.2
32.5384	0.1
32.6572	0.1
32.7776	0.1
32.844	0.2
32.97	0.1
33.1388	0.1
33.2484	0.1
33.348	0.2
33.4096	0.1
33.4336	0.1
33.5824	0.1
33.7516	0.2
33.8244	0.1
33.914	0.1
34.0104	0.1
34.1132	0.2
34.1412	0.1
34.1724	0.1
34.3052	0.1
34.36	0.2
34.4492	0.1
34.494	0.1
34.636	0.1
34.6748	0.2
34.7276	0.1
34.7636	0.1
34.866	0.1
34.8952	0.2
34.9568	0.1
34.976	0.1
35.0784	0.1
35.176	0.2
35.2124	0.1
35.2388	0.1
35.2776	0.1
35.3016	0.2
35.3232	0.1
35.3504	0.1
35.3736	0.1
35.3796	0.2
35.3864	0.1
35.4048	0.1
35.4236	0.1
35.4416	0.2
35.4524	0.1
35.464	0.1
35.4724	0.1
35.4816	0.2
35.5012	0.1
35.5144	0.1
35.5196	0.1
35.53	0.2
35.5344	0.1
35.5384	0.1
35.5416	0.1
35.542	0.2
35.5452	0.1
35.546	0.1
35.546	0.1
35.5484	0.2
35.5512	0.1
35.5536	0.1
35.5544	0.1
35.556	0.2
35.556	0.1
35.5568	0.1
35.5636	0.1
35.5644	0.2
35.5644	0.1
35.5664	0.1
35.5736	0.1
35.5804	0.2
35.5888	0.1
35.594	0.1
35.5992	0.1
35.6008	0.2
35.6144	0.1
35.6152	0.1
35.6184	0.1
35.6184	0.2
35.6192	0.1
35.6192	0.1
35.62	0.1
35.6208	0.2
35.6228	0.1
35.624	0.1
35.6256	0.1
35.6256	0.2
35.626	0.1
35.626	0.1
35.626	0.1
35.6268	0.2
35.63	0.1
35.6304	0.1
35.6404	0.1
35.6584	0.2
35.664	0.1
35.6656	0.1
35.6656	0.1
35.6808	0.2
35.6972	0.1
35.6992	0.1
35.6992	0.1
35.7024	0.2
35.7076	0.1
35.7076	0.1
35.71	0.1
35.7116	0.2
35.7116	0.1
35.712	0.1
35.7124	0.1
35.7148	0.2
35.7168	0.1
35.7184	0.1
35.7196	0.1
35.7216	0.2
35.7228	0.1
