Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1bb6880
	Pos2dProxy:	0x1bbbca0
	Ranger:		0x1bbbf80
	Map:		0x7ffebd3fa140

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1bbc2d0
	Pos2dProxy:	0x1bba620
	Ranger:		0x1bba900
	Map:		0x7ffebd3fa1a0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	11.8
2.8672	0.2
4.068	0.2
4.8728	0.1
5.224	0.2
5.5308	0.2
5.8384	0.1
6.0516	0.2
6.2112	0.2
6.2868	0.1
6.4008	0.2
6.6032	0.2
6.7264	0.1
6.9132	0.2
7.0784	0.2
7.1712	0.1
7.3128	0.2
7.4908	0.2
7.6072	0.1
7.7744	0.2
7.9464	0.2
8.0472	0.1
8.2344	0.2
8.4196	0.2
8.5296	0.1
8.696	0.2
8.8048	0.1
9.0248	0.2
9.2416	0.2
9.3624	0.1
9.5384	0.2
9.7068	0.2
9.7964	0.1
9.9552	0.2
10.0996	0.2
10.1864	0.1
10.2792	0.2
10.3424	0.2
10.378	0.1
10.4624	0.2
10.6252	0.2
10.7392	0.1
10.8928	0.2
11.1156	0.2
11.2868	0.1
11.4696	0.2
11.58	0.2
11.7028	0.1
11.8512	0.2
11.9668	0.2
12.0736	0.1
12.1676	0.2
12.2824	0.2
12.3508	0.1
12.4532	0.2
12.5708	0.2
12.6352	0.1
12.7204	0.2
12.798	0.2
12.9	0.1
13.0016	0.2
13.074	0.2
13.1248	0.1
13.174	0.2
13.2204	0.2
13.322	0.1
13.4324	0.2
13.4988	0.2
13.5476	0.1
13.5812	0.2
13.6428	0.2
13.674	0.1
13.7356	0.2
13.7704	0.2
13.8508	0.1
13.8748	0.2
13.9504	0.2
14.0016	0.1
14.0596	0.2
14.1096	0.2
14.1372	0.1
14.1516	0.2
14.1728	0.2
14.1832	0.1
14.2476	0.2
14.3128	0.2
14.374	0.1
14.442	0.2
14.48	0.2
14.5072	0.1
14.554	0.2
14.588	0.2
14.7644	0.1
14.8764	0.2
15.016	0.2
15.1508	0.1
15.22	0.2
15.2688	0.2
15.3172	0.1
15.3544	0.2
15.4392	0.2
15.5424	0.1
