Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1365880
	Pos2dProxy:	0x136aca0
	Ranger:		0x136af80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x136b300
	Pos2dProxy:	0x1369620
	Ranger:		0x1369900
Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x136bb90
	Pos2dProxy:	0x136b3d0
	Ranger:		0x136b690
Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x136c420
	Pos2dProxy:	0x136b910
	Ranger:		0x136be60
Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x136cac0
	Pos2dProxy:	0x136c540
	Ranger:		0x136c7c0
Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x136d360
	Pos2dProxy:	0x136cb40
	Ranger:		0x136ce20
Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x136dbc0
	Pos2dProxy:	0x136d0a0
	Ranger:		0x136d630
Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x136d980
	Pos2dProxy:	0x136dd30
	Ranger:		0x136e010
Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x136ea70
	Pos2dProxy:	0x136e290
	Ranger:		0x136e570
Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x136f300
	Pos2dProxy:	0x136e7f0
	Ranger:		0x136ed40
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	11.7
6.5724	0.1
7.7192	0.2
8.3384	0.2
8.64	0.1
8.9144	0.2
9.1668	0.2
9.3328	0.1
9.4644	0.2
9.6672	0.3
9.8164	0.2
10.0288	0.3
10.2968	0.2
10.592	0.2
10.8624	0.1
11.08	0.4
11.276	0.1
11.4996	0.2
11.69	0.3
11.8404	0.2
12.012	0.3
12.1232	0.2
12.1964	0.3
12.3328	0.2
12.4668	0.1
12.674	0.2
12.8228	0.3
12.9616	0.2
13.0756	0.3
13.1652	0.2
13.2588	0.2
13.3372	0.1
13.4168	0.4
13.482	0.1
13.604	0.2
13.6928	0.3
13.7396	0.2
13.7784	0.3
13.8512	0.2
13.888	0.2
13.9812	0.3
14.0888	0.2
14.186	0.1
14.2548	0.2
14.326	0.3
14.3824	0.2
14.4288	0.3
14.4752	0.2
14.5556	0.2
14.6464	0.3
14.7088	0.2
14.7836	0.1
14.8908	0.2
14.9848	0.3
15.092	0.2
15.1584	0.3
15.2916	0.2
15.4032	0.3
15.6184	0.2
15.8108	0.2
16.0548	0.1
16.288	0.2
16.3844	0.3
16.6224	0.2
16.8124	0.3
16.8988	0.2
16.9768	0.3
17.0376	0.2
17.0612	0.2
17.208	0.1
17.3332	0.2
17.4568	0.3
17.5392	0.2
17.5996	0.3
17.8048	0.2
17.996	0.2
18.1664	0.3
18.4996	0.2
18.8876	0.1
19.1584	0.2
19.4908	0.3
19.7768	0.2
19.8984	0.3
20.1112	0.2
20.4328	0.3
20.6024	0.2
20.9704	0.2
21.0828	0.1
21.2116	0.4
21.3312	0.1
21.4896	0.2
21.6864	0.3
21.8124	0.2
21.9812	0.3
22.0632	0.1
22.1492	0.3
22.2232	0.2
22.384	0.3
22.5396	0.2
22.7948	0.2
22.9456	0.3
23.1872	0.2
23.5156	0.2
23.7188	0.1
23.938	0.4
24.2872	0.1
24.5024	0.3
24.7636	0.2
25.1108	0.3
25.3272	0.2
25.5688	0.2
25.8336	0.2
25.972	0.3
26.132	0.2
26.3484	0.1
26.4552	0.3
26.6632	0.2
26.8592	0.3
27.0428	0.2
27.22	0.2
27.3824	0.3
27.5596	0.2
27.762	0.2
28.0036	0.1
28.086	0.4
28.2376	0.1
28.4736	0.3
28.682	0.2
28.9508	0.3
29.1508	0.2
29.3444	0.2
29.5084	0.2
29.674	0.3
29.8096	0.2
29.8876	0.1
30.0312	0.3
30.1584	0.2
30.3656	0.3
30.4736	0.2
30.7644	0.2
30.932	0.3
31.2212	0.2
31.4656	0.2
31.7604	0.1
31.9684	0.4
32.222	0.1
32.4632	0.3
32.61	0.2
32.7652	0.3
32.8216	0.2
32.9904	0.2
33.094	0.2
33.2424	0.3
33.3628	0.2
33.5224	0.1
33.6408	0.4
33.746	0.1
33.8568	0.3
33.9724	0.2
34.0564	0.3
34.1376	0.2
34.174	0.2
34.2012	0.2
34.242	0.3
34.2944	0.2
34.3248	0.1
34.3792	0.3
34.4628	0.2
34.5244	0.3
34.5604	0.2
34.582	0.3
34.5924	0.2
34.5968	0.2
34.6096	0.2
34.6172	0.3
34.6596	0.2
34.6616	0.1
34.6972	0.3
34.7148	0.2
34.7636	0.3
34.7976	0.2
34.8116	0.2
34.8324	0.3
34.846	0.2
34.8528	0.2
34.8608	0.1
34.8716	0.4
34.8864	0.1
34.8896	0.3
34.8968	0.2
34.8972	0.2
34.9124	0.3
34.924	0.2
34.9296	0.2
34.9312	0.1
34.954	0.4
34.9672	0.1
34.9704	0.3
34.9788	0.2
34.9936	0.3
35.0048	0.2
35.0104	0.2
35.0148	0.3
35.0164	0.2
35.0224	0.2
35.0288	0.1
35.0416	0.4
35.0548	0.1
35.0732	0.3
35.1236	0.2
35.1524	0.3
35.1848	0.2
35.2224	0.2
35.2576	0.2
35.2748	0.1
35.3572	0.4
35.3844	0.1
35.4216	0.3
35.484	0.2
35.5112	0.3
35.56	0.2
35.6276	0.2
35.6964	0.3
35.8304	0.2
35.868	0.2
35.9496	0.1
36.0016	0.3
36.0756	0.2
36.156	0.3
36.2504	0.2
36.3648	0.2
36.43	0.3
36.4772	0.2
36.6656	0.2
36.8356	0.1
36.998	0.3
37.1072	0.2
37.3272	0.2
37.6008	0.3
37.7776	0.2
37.9656	0.3
38.2512	0.2
38.4936	0.2
38.7868	0.1
38.9716	0.4
39.232	0.1
39.4248	0.2
39.6248	0.3
39.8656	0.2
40.0656	0.3
40.214	0.2
40.3568	0.2
40.542	0.3
40.6856	0.2
40.8164	0.1
40.8648	0.2
40.978	0.3
41.1172	0.2
41.1664	0.3
41.3892	0.2
41.6284	0.2
41.8192	0.1
41.9592	0.4
42.1312	0.1
42.3568	0.2
42.4772	0.3
42.564	0.2
42.6676	0.3
42.7392	0.2
42.8736	0.2
43.0248	0.1
43.232	0.4
43.3372	0.1
43.5568	0.2
43.7832	0.3
43.998	0.2
44.1316	0.3
44.2648	0.2
44.4192	0.2
44.542	0.3
44.6868	0.2
44.7812	0.1
44.9124	0.2
44.9796	0.3
45.102	0.2
45.1576	0.3
45.266	0.2
45.3996	0.3
45.4912	0.2
45.5796	0.2
45.6556	0.1
45.8016	0.2
45.948	0.3
46.0972	0.2
46.286	0.3
46.376	0.2
46.5152	0.3
46.7164	0.2
46.8284	0.2
47.0016	0.1
47.1264	0.2
47.2808	0.3
47.3856	0.2
