Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x101a880
	Pos2dProxy:	0x101fca0
	Ranger:		0x101ff80
	Map:		0x7ffe8d75d370

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	20.7
1.8888	0.1
2.2652	0.2
3.3756	0.1
3.7416	0.2
4.0964	0.2
4.5936	0.1
4.8424	0.2
5.1384	0.2
5.3492	0.1
5.5436	0.2
5.7012	0.2
5.7828	0.1
5.9312	0.2
6.1368	0.2
6.2652	0.1
6.4108	0.2
6.568	0.2
6.6584	0.1
6.8364	0.2
6.9956	0.2
7.1028	0.1
7.3076	0.2
7.554	0.2
7.6952	0.1
7.8472	0.2
7.9756	0.2
8.0512	0.1
8.21	0.2
8.4296	0.2
8.5372	0.1
8.776	0.2
8.9464	0.2
9.0292	0.1
9.226	0.2
9.4	0.2
9.5328	0.1
9.7096	0.2
9.9608	0.2
10.0572	0.1
10.1984	0.2
10.4052	0.2
10.4852	0.1
10.6536	0.2
10.8508	0.2
10.9828	0.1
11.2536	0.2
11.566	0.2
11.7356	0.1
12.0152	0.2
12.176	0.2
12.3868	0.1
12.6112	0.2
12.772	0.2
12.8732	0.1
12.9736	0.2
13.108	0.2
13.1936	0.1
13.3496	0.2
13.576	0.2
13.708	0.1
13.8484	0.2
14.0284	0.2
14.1344	0.1
14.314	0.2
14.5432	0.2
14.6104	0.1
14.7768	0.2
14.964	0.2
15.0712	0.1
15.1624	0.1
15.3284	0.2
15.4512	0.1
15.5244	0.1
15.6924	0.1
15.9328	0.2
16.0236	0.1
16.1092	0.1
16.2456	0.1
16.5164	0.2
16.5644	0.1
16.7828	0.1
16.9904	0.1
17.1816	0.2
17.2396	0.1
17.2956	0.1
17.366	0.1
17.5268	0.2
17.686	0.1
17.7652	0.1
17.8256	0.1
17.9572	0.2
18.0568	0.1
18.1376	0.1
18.2204	0.1
18.4488	0.2
18.6716	0.1
18.9324	0.1
19.182	0.1
19.3544	0.2
19.4712	0.1
19.5764	0.1
19.6604	0.1
19.7424	0.2
19.8876	0.1
19.9416	0.1
20.0088	0.1
20.1208	0.2
20.2108	0.1
20.3132	0.1
20.3984	0.1
20.5616	0.2
20.6548	0.1
20.7344	0.1
20.8344	0.1
21.0276	0.2
21.12	0.1
21.1888	0.1
21.264	0.1
21.4476	0.2
21.5236	0.1
21.6152	0.1
21.722	0.1
21.946	0.2
22.1436	0.1
22.3588	0.1
22.4632	0.1
22.5392	0.2
22.7196	0.1
22.9496	0.1
23.2076	0.1
23.4056	0.2
23.47	0.1
23.5304	0.1
23.5768	0.1
23.6884	0.2
