Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x2008880
	Pos2dProxy:	0x200dca0
	Ranger:		0x200df80
	Map:		0x7ffcd72c5980

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	4.3
1.8888	0.1
2.2652	0.2
3.3756	0.1
3.7416	0.2
4.0964	0.2
4.5936	0.1
4.8424	0.2
5.1384	0.2
5.3492	0.1
5.552	0.2
5.7272	0.2
5.808	0.1
5.932	0.2
6.31	1
6.5184	0.2
6.6248	0.1
6.822	0.2
7.0916	0.2
7.382	0.2
7.6188	0.2
7.8204	0.2
7.9668	0.1
8.196	0.2
8.4192	0.2
8.556	0.1
8.7036	0.2
8.9632	0.2
9.1892	0.1
9.3512	0.2
9.4984	0.2
9.5704	0.1
9.7364	0.2
9.9352	0.2
10.0572	0.1
10.2604	0.2
10.4916	0.2
10.588	0.1
10.7824	0.2
11.0088	0.2
11.1212	0.1
11.2504	0.2
11.4376	0.2
11.5432	0.1
11.7544	0.2
11.9456	0.2
12.0656	0.1
12.3684	0.2
12.6772	0.2
12.8772	0.1
13.094	0.2
13.1668	0.2
13.2244	0.1
13.4144	0.2
13.672	0.2
13.8212	0.1
14.0284	0.2
14.1236	0.2
14.1928	0.1
14.3624	0.2
14.596	0.2
14.7188	0.1
14.8864	0.2
15.0784	0.2
15.1744	0.1
15.3572	0.2
15.4992	0.1
15.6592	0.2
15.8516	0.2
15.9588	0.1
16.2088	0.2
16.4776	0.2
16.6748	0.1
16.9892	0.2
17.0504	0.2
17.1568	0.1
17.2976	0.2
17.4688	0.2
17.606	0.1
17.8344	0.2
17.94	0.2
18.0436	0.1
18.2224	0.2
18.4124	0.2
18.5108	0.1
18.6892	0.2
18.8948	0.2
19.0548	0.1
19.2068	0.2
19.4128	0.2
19.5084	0.1
19.6728	0.2
19.9488	0.2
20.1748	0.1
20.3776	0.2
20.504	0.2
20.602	0.1
20.7572	0.2
20.9684	0.2
21.0848	0.1
21.2916	0.2
21.4456	0.2
21.5556	0.1
21.7188	0.2
21.8988	0.2
21.9988	0.1
22.2256	0.2
22.4048	0.2
22.4944	0.1
22.6396	0.2
22.8428	0.2
22.9436	0.1
23.122	0.2
23.3236	0.2
23.4556	0.1
23.642	0.2
23.942	0.2
24.24	0.1
24.4436	0.2
24.7028	0.2
24.838	0.1
24.9452	0.2
25.0428	0.2
25.1516	0.1
25.2984	0.2
25.5032	0.2
25.6928	0.1
25.8476	0.2
26.0252	0.2
26.1676	0.1
26.3656	0.2
26.4996	0.2
26.57	0.1
26.7588	0.2
26.9632	0.2
27.0976	0.1
27.2656	0.2
27.4396	0.2
27.5384	0.1
27.7428	0.2
27.9688	0.2
28.0596	0.1
28.2072	0.2
28.4364	0.2
28.6304	0.1
28.8932	0.2
28.9828	0.2
29.1092	0.1
29.264	0.2
29.4512	0.2
29.642	0.1
29.8072	0.2
29.9708	0.2
30.0704	0.1
30.2708	0.2
30.4912	0.2
30.6204	0.1
30.8432	0.2
31.0256	0.2
31.1072	0.1
31.2772	0.2
31.4772	0.2
31.5844	0.1
31.7188	0.1
31.9284	0.2
32.0088	0.1
32.23	0.1
32.4628	0.1
32.6648	0.2
32.7148	0.1
32.7964	0.1
32.968	0.1
33.2176	0.2
33.2632	0.1
33.3412	0.1
33.5012	0.1
33.6532	0.2
33.73	0.1
33.9844	0.2
34.19	0.2
34.29	0.1
34.3656	0.1
34.476	0.1
34.6756	0.2
34.7564	0.1
34.8804	0.2
35.0564	0.2
35.2392	0.1
35.436	0.1
35.52	0.1
35.6432	0.2
35.7588	0.1
36.0004	0.2
36.2036	0.2
36.288	0.1
36.4012	0.1
36.4772	0.1
36.6212	0.2
36.776	0.1
36.8836	0.2
37.068	0.2
37.1552	0.1
37.2652	0.1
37.3744	0.1
37.588	0.2
37.734	0.1
37.8324	0.2
38.022	0.2
38.2784	0.1
38.5388	0.1
38.6312	0.1
38.778	0.2
38.8228	0.1
38.9908	0.2
39.2216	0.2
39.2792	0.1
39.338	0.1
39.3852	0.1
39.5292	0.2
39.692	0.1
39.8308	0.2
40.0132	0.2
40.0924	0.1
40.1676	0.1
40.3488	0.1
40.6264	0.2
40.8108	0.1
41.0936	0.2
41.2564	0.2
41.3484	0.1
41.4548	0.1
41.6136	0.1
41.892	0.2
41.988	0.1
42.0508	0.2
42.1612	0.2
42.278	0.1
42.44	0.1
42.4964	0.1
42.6112	0.2
42.818	0.1
43.0464	0.2
43.2568	0.2
43.3176	0.1
43.3636	0.1
43.4196	0.1
43.5892	0.2
43.7488	0.1
43.9432	0.2
44.0828	0.2
44.2256	0.1
44.3868	0.1
44.6024	0.1
44.8416	0.2
44.93	0.1
45.0344	0.2
45.1428	0.2
45.2448	0.1
45.3616	0.1
45.4368	0.1
45.5988	0.2
45.7772	0.1
46.022	0.2
46.2188	0.2
46.4364	0.1
46.586	0.1
46.7612	0.1
46.9008	0.2
47.0144	0.1
47.164	0.2
47.2652	0.2
47.39	0.1
47.4968	0.1
47.626	0.1
47.7192	0.2
47.8028	0.1
47.91	0.2
47.9836	0.2
48.0604	0.1
48.1356	0.1
48.1812	0.1
48.296	0.2
48.3212	0.1
48.3736	0.2
48.4276	0.2
48.4992	0.1
48.5532	0.1
48.6196	0.1
48.6536	0.2
48.6996	0.1
