Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1b02880
	Pos2dProxy:	0x1b07ca0
	Ranger:		0x1b07f80
	Map:		0x7fff800dd5c0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1b082d0
	Pos2dProxy:	0x1b06620
	Ranger:		0x1b06900
	Map:		0x7fff800dd620

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1b06a90
	Pos2dProxy:	0x1b08440
	Ranger:		0x1b08720
	Map:		0x7fff800dd680

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1b088b0
	Pos2dProxy:	0x1b08c60
	Ranger:		0x1b08f40
	Map:		0x7fff800dd6e0

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1b090d0
	Pos2dProxy:	0x1b09440
	Ranger:		0x1b09720
	Map:		0x7fff800dd740

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x1b098b0
	Pos2dProxy:	0x1b09c20
	Ranger:		0x1b09f00
	Map:		0x7fff800dd7a0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1b0a090
	Pos2dProxy:	0x1b0a400
	Ranger:		0x1b0a6e0
	Map:		0x7fff800dd800

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1b0a870
	Pos2dProxy:	0x1b0abe0
	Ranger:		0x1b0aec0
	Map:		0x7fff800dd860

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1b0b050
	Pos2dProxy:	0x1b0b3c0
	Ranger:		0x1b0b6a0
	Map:		0x7fff800dd8c0

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1b0b830
	Pos2dProxy:	0x1b0bba0
	Ranger:		0x1b0be80
	Map:		0x7fff800dd920

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	4.4
7.0316	0.2
8.1284	0.1
8.65	0.2
8.9904	0.3
9.274	0.2
9.5344	0.2
9.7584	0.3
10.0496	0.2
10.28	0.1
10.5808	0.2
10.9072	0.3
11.1684	0.2
11.4732	0.2
11.7968	0.1
12.1196	0.2
12.4216	0.3
12.6812	0.2
12.952	0.2
13.1804	0.2
13.4052	0.2
13.6136	0.2
13.8476	0.1
14.1728	0.2
14.554	0.3
14.8884	0.2
15.1464	0.2
15.4136	0.1
15.8112	0.2
16.144	0.3
16.4552	0.2
16.7232	0.3
17.0136	0.2
17.3828	0.2
17.7512	0.1
18.0196	0.2
18.3264	0.3
18.6912	0.2
19.1012	0.2
19.4236	0.1
19.8268	0.2
20.2564	0.3
20.644	0.2
20.9208	0.2
21.2428	0.1
21.6148	0.2
21.9584	0.3
22.2932	0.2
22.7048	0.2
23.1172	0.1
23.6824	0.2
24.2684	0.3
24.728	0.2
25.0732	0.2
25.424	0.1
25.7932	0.2
26.2576	0.2
26.6936	0.1
27.102	0.3
27.5844	0.2
28.0092	0.2
28.3332	0.1
28.5772	0.2
28.8452	0.3
29.3632	0.2
29.7896	0.2
30.2068	0.1
30.546	0.2
30.8044	0.3
31.2996	0.2
31.6572	0.2
31.9232	0.1
32.146	0.2
32.432	0.3
32.8192	0.2
33.3636	0.3
33.786	0.2
34.0624	0.2
34.386	0.1
34.7092	0.2
34.9864	0.3
35.2972	0.2
35.6236	0.2
35.8812	0.1
36.208	0.2
36.5776	0.3
36.9772	0.2
37.2004	0.2
37.4428	0.1
37.8392	0.2
38.0988	0.3
38.5032	0.2
38.9304	0.2
39.3508	0.1
39.7452	0.2
40.2036	0.3
40.6748	0.2
41.1556	0.2
41.5644	0.1
42.0068	0.2
42.4832	0.3
43.0856	0.2
43.5544	0.2
43.9532	0.1
44.4304	0.2
44.9692	0.3
45.372	0.2
45.6356	0.2
45.9328	0.1
46.4028	0.2
46.9396	0.3
47.3528	0.2
47.7832	0.2
48.1612	0.1
48.6272	0.2
49.1116	0.3
49.5512	0.2
49.988	0.2
50.2584	0.1
50.6164	0.2
50.9468	0.3
51.226	0.2
