Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x127d880
	Pos2dProxy:	0x1282ca0
	Ranger:		0x1282f80
	Map:		0x7ffe2248bb90

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x12832d0
	Pos2dProxy:	0x1281620
	Ranger:		0x1281900
	Map:		0x7ffe2248bbf0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1281a90
	Pos2dProxy:	0x1283440
	Ranger:		0x1283720
	Map:		0x7ffe2248bc50

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x12838b0
	Pos2dProxy:	0x1283c60
	Ranger:		0x1283f40
	Map:		0x7ffe2248bcb0

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x12840d0
	Pos2dProxy:	0x1284440
	Ranger:		0x1284720
	Map:		0x7ffe2248bd10

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x12848b0
	Pos2dProxy:	0x1284c20
	Ranger:		0x1284f00
	Map:		0x7ffe2248bd70

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1285090
	Pos2dProxy:	0x1285400
	Ranger:		0x12856e0
	Map:		0x7ffe2248bdd0

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1285870
	Pos2dProxy:	0x1285be0
	Ranger:		0x1285ec0
	Map:		0x7ffe2248be30

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1286050
	Pos2dProxy:	0x12863c0
	Ranger:		0x12866a0
	Map:		0x7ffe2248be90

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1286830
	Pos2dProxy:	0x1286ba0
	Ranger:		0x1286e80
	Map:		0x7ffe2248bef0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	13.8
6.988	0.2
8.01	0.2
8.5176	0.1
8.998	0.2
9.2484	0.3
9.488	0.2
9.7628	0.2
9.97	0.1
10.2044	0.2
10.3856	0.3
10.654	0.2
10.9564	0.1
11.2932	0.2
11.5	0.3
11.8264	0.2
12.2272	0.2
12.4812	0.1
12.714	0.2
12.9536	0.3
13.2224	0.2
13.5092	0.2
13.7056	0.1
13.9516	0.2
14.2024	0.3
14.5004	0.2
14.8676	0.2
15.0764	0.1
15.3812	0.2
15.7684	0.3
16.0152	0.2
16.4144	0.3
16.7472	0.2
17.2256	0.2
17.7836	0.1
18.174	0.2
18.6296	0.3
18.9264	0.2
19.3296	0.2
19.6948	0.1
19.9732	0.2
20.3688	0.3
20.6952	0.2
21.0128	0.2
21.32	0.1
21.6304	0.2
22.0712	0.3
22.4204	0.2
22.904	0.2
23.2628	0.1
23.6596	0.2
24.2748	0.3
24.8308	0.2
25.3308	0.2
25.6668	0.1
26.002	0.2
26.4692	0.2
26.9052	0.1
27.2996	0.2
27.618	0.3
27.9884	0.2
28.5008	0.2
28.9916	0.1
29.5676	0.2
30.0184	0.3
30.612	0.2
31.1092	0.2
31.4828	0.1
31.9156	0.2
32.272	0.3
32.7696	0.2
33.1088	0.2
33.5864	0.1
34.34	0.2
34.9932	0.3
35.5044	0.2
35.888	0.2
36.3464	0.1
36.8952	0.2
37.246	0.3
37.6128	0.2
37.808	0.3
38.2344	0.2
38.9104	0.2
39.4716	0.1
40.0628	0.2
40.5028	0.3
41.11	0.2
41.844	0.2
42.6428	0.1
43.572	0.2
44.284	0.3
44.9396	0.1
45.434	0.3
45.908	0.2
46.3832	0.2
46.7192	0.2
47.2944	0.1
47.8948	0.3
