Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x711880
	Pos2dProxy:	0x716ca0
	Ranger:		0x716f80
	Map:		0x7ffcfe1c8f60

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x7172d0
	Pos2dProxy:	0x715620
	Ranger:		0x715900
	Map:		0x7ffcfe1c8fc0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	47
2.9916	0.1
4.224	0.1
4.9932	0.2
5.3692	0.1
5.7376	0.1
5.8564	0.1
6.1352	0.2
6.3152	0.1
6.4688	0.1
6.5668	0.1
6.6924	0.2
6.7544	0.1
6.822	0.1
6.8808	0.1
6.9988	0.2
7.09	0.1
7.1968	0.1
7.3288	0.1
7.5244	0.2
7.6084	0.1
7.6796	0.1
7.7592	0.1
7.9068	0.2
8.0132	0.1
8.1392	0.1
8.226	0.1
8.3608	0.2
8.462	0.1
8.5592	0.1
8.6504	0.1
8.8272	0.2
8.978	0.1
9.1228	0.1
9.3468	0.1
9.5708	0.2
9.7192	0.1
9.8612	0.2
10.0256	0.2
10.1156	0.1
10.2656	0.1
10.4936	0.1
10.726	0.2
10.8784	0.1
11.1288	0.2
11.4272	0.2
11.7284	0.2
12.0324	0.1
12.302	0.3
12.464	0.2
12.7772	0.2
13.0764	0.2
13.2676	0.1
13.5456	0.3
13.7676	0.2
14.0828	0.2
14.3524	0.2
14.576	0.1
14.9004	0.3
15.0752	0.2
15.3544	0.2
15.6564	0.2
15.898	0.1
16.1828	0.3
16.3836	0.2
16.7552	0.2
17.2192	0.2
17.5016	0.1
17.8436	0.3
18.0464	0.2
18.3268	0.2
18.5388	0.2
18.7692	0.1
19.1024	0.3
19.3484	0.2
19.6224	0.2
19.8584	0.2
20.0572	0.1
20.4032	0.3
20.7688	0.2
21.1304	0.2
21.4032	0.2
21.5872	0.1
21.9016	0.3
22.2688	0.2
22.598	0.2
22.8356	0.2
23.2216	0.1
23.6452	0.3
23.7632	0.2
24.0492	0.2
24.45	0.2
24.87	0.1
25.318	0.3
25.6152	0.2
25.9652	0.2
26.314	0.2
26.614	0.1
27.0504	0.3
27.168	0.2
27.4124	0.2
27.6388	0.1
28.0612	0.2
28.3912	0.2
28.7552	0.3
29.1252	0.2
29.3256	0.2
29.6384	0.1
29.9452	0.2
30.2488	0.3
30.5316	0.2
30.9924	0.2
31.3748	0.1
31.7104	0.2
31.8876	0.3
32.2636	0.2
32.7332	0.2
33.092	0.1
33.5592	0.2
33.9652	0.3
34.3844	0.2
34.7504	0.2
35.1128	0.1
35.4524	0.2
35.6536	0.3
36.0472	0.2
36.4756	0.2
36.6744	0.1
36.9832	0.2
37.3748	0.3
37.8188	0.2
38.3812	0.2
38.6804	0.1
39.0904	0.2
39.3288	0.3
39.6996	0.2
40.1376	0.2
40.5228	0.1
41.014	0.2
41.3844	0.3
41.72	0.2
42.1292	0.2
42.3912	0.1
42.716	0.2
43.0672	0.3
43.5496	0.2
43.8728	0.2
44.1884	0.1
44.6172	0.2
44.9228	0.3
45.2528	0.2
45.6652	0.2
46.0492	0.1
46.458	0.2
46.9136	0.3
47.2056	0.2
47.7096	0.2
48.152	0.1
48.7016	0.2
49.086	0.3
49.394	0.2
49.8624	0.2
50.2768	0.1
50.6172	0.2
50.8788	0.3
51.2832	0.2
51.8636	0.2
