Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x2164880
	Pos2dProxy:	0x2169ca0
	Ranger:		0x2169f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x216a300
	Pos2dProxy:	0x2168620
	Ranger:		0x2168900
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	8.6
3.078	0.2
4.4936	0.2
5.1964	0.2
5.6372	0.1
5.89	0.2
6.1368	0.2
6.2832	0.1
6.4252	0.2
6.568	0.2
6.7096	0.1
6.8736	0.2
7.0596	0.2
7.1488	0.1
7.3332	0.2
7.5076	0.2
7.6012	0.1
7.7396	0.2
7.9176	0.2
8.018	0.1
8.2628	0.2
8.5376	0.2
8.666	0.1
8.8904	0.2
9.0548	0.2
9.1576	0.1
9.3596	0.2
9.566	0.2
9.6896	0.1
9.9228	0.2
10.1488	0.2
10.2632	0.1
10.4864	0.2
10.7328	0.2
10.8788	0.1
11.1848	0.2
11.452	0.2
11.5772	0.1
11.8208	0.2
12.1244	0.2
12.2988	0.1
12.5464	0.2
12.8568	0.2
13.0196	0.1
13.1584	0.2
13.2244	0.1
13.4348	0.2
13.7704	0.2
14.0252	0.1
14.288	0.2
14.5144	0.2
14.6756	0.1
14.912	0.2
15.184	0.2
15.2884	0.1
15.5476	0.2
15.83	0.2
15.9632	0.1
16.0988	0.2
16.3516	0.2
16.5644	0.1
16.7864	0.2
17.1376	0.2
17.364	0.1
17.7108	0.2
18.0128	0.2
18.1392	0.1
18.3192	0.2
18.592	0.2
18.8364	0.1
19.1116	0.2
19.2888	0.2
19.3932	0.1
19.6544	0.2
19.924	0.2
20.0548	0.1
20.3132	0.2
20.7188	0.2
20.9116	0.1
21.2004	0.2
21.6044	0.2
21.86	0.1
22.2064	0.2
22.5672	0.2
22.7652	0.1
23.048	0.2
23.4104	0.2
23.7488	0.1
24.0784	0.2
24.3408	0.2
24.5052	0.1
24.7712	0.2
25.0452	0.2
25.2236	0.1
25.4156	0.2
25.66	0.2
25.8132	0.1
26.2052	0.2
26.6188	0.2
26.852	0.1
27.1288	0.2
27.426	0.2
27.634	0.1
27.8852	0.2
28.2272	0.2
28.502	0.1
28.818	0.2
29.1092	0.2
29.2736	0.1
29.5148	0.2
29.8088	0.2
29.994	0.1
30.4272	0.2
30.8012	0.2
30.9796	0.1
31.2884	0.2
31.738	0.2
32.0864	0.1
32.4112	0.2
32.7544	0.2
33.0064	0.1
33.3104	0.2
33.5428	0.2
33.7016	0.1
34.022	0.2
34.3732	0.2
34.6136	0.1
34.8848	0.2
35.278	0.2
35.5216	0.1
35.7868	0.2
36.096	0.2
36.2708	0.1
36.6	0.2
36.996	0.2
37.2228	0.1
37.594	0.2
38.0548	0.2
38.3936	0.1
38.7164	0.2
39.1696	0.2
39.4628	0.1
39.5804	0.1
39.87	0.2
40.036	0.1
40.3324	0.1
40.5676	0.1
40.8816	0.2
41.1556	0.1
41.3468	0.1
41.498	0.1
41.7808	0.2
41.9544	0.1
42.146	0.1
42.3276	0.1
42.6584	0.2
42.8984	0.1
43.1936	0.1
43.3332	0.1
43.6156	0.2
43.8456	0.1
44.0332	0.1
44.2608	0.1
44.7276	0.2
45.0308	0.1
45.1504	0.1
45.2496	0.1
45.4936	0.2
45.6496	0.1
45.9292	0.1
46.32	0.1
46.8532	0.2
47.1528	0.1
47.3976	0.1
47.8084	0.1
48.1908	0.2
48.5376	0.1
48.7664	0.1
49.1184	0.1
49.4356	0.2
49.6012	0.1
49.7772	0.1
49.9388	0.1
50.2188	0.2
50.3884	0.1
50.532	0.1
50.6424	0.1
50.8376	0.2
50.9828	0.1
51.1252	0.1
51.2392	0.1
51.554	0.2
51.734	0.1
51.9716	0.1
52.13	0.1
52.4188	0.2
52.628	0.1
52.8448	0.1
52.9836	0.1
53.3268	0.2
53.5104	0.1
53.6604	0.1
53.8004	0.1
54.096	0.2
54.2856	0.1
54.4836	0.1
54.7896	0.1
55.0124	0.2
55.1616	0.1
55.3536	0.1
55.5844	0.1
55.9632	0.2
56.232	0.1
56.3432	0.1
56.582	0.1
56.9556	0.2
57.1512	0.1
57.2876	0.1
57.4952	0.1
57.872	0.2
58.1788	0.1
58.3212	0.1
58.474	0.1
58.7	0.2
58.914	0.1
59.0628	0.1
59.2808	0.1
59.6756	0.2
59.8548	0.1
60.0608	0.1
60.3116	0.1
60.5776	0.2
60.7512	0.1
60.8844	0.1
61.1688	0.1
61.5004	0.2
61.7548	0.1
62.0008	0.1
62.398	0.1
62.804	0.2
63.0548	0.1
63.1528	0.1
63.3112	0.1
63.5456	0.2
63.6764	0.1
63.8384	0.1
63.9416	0.1
64.1476	0.2
64.2948	0.1
64.434	0.1
64.5392	0.1
64.778	0.2
64.9196	0.1
65.0632	0.1
65.2252	0.1
65.3748	0.2
65.48	0.1
65.5796	0.1
65.678	0.1
65.8388	0.2
65.984	0.1
66.082	0.1
66.1992	0.1
66.4884	0.2
66.6112	0.1
66.8144	0.1
66.9912	0.1
67.2368	0.2
67.3356	0.1
67.534	0.1
67.7972	0.1
68.112	0.2
68.3036	0.1
68.3696	0.1
68.4484	0.1
68.5248	0.2
68.5872	0.1
68.6536	0.1
68.7604	0.1
68.8992	0.2
68.9984	0.1
69.1088	0.1
69.2472	0.1
69.4272	0.2
69.5996	0.1
69.6836	0.1
69.7952	0.1
69.9812	0.2
