Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xad6880
	Pos2dProxy:	0xadbca0
	Ranger:		0xadbf80
	Map:		0x7ffeed58f500

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xadc2d0
	Pos2dProxy:	0xada620
	Ranger:		0xada900
	Map:		0x7ffeed58f560

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	7.1
2.9916	0.1
4.39	0.2
4.9548	0.2
5.4964	0.1
5.6208	0.2
5.9368	0.2
6.1312	0.2
6.4116	0.2
6.5564	0.2
6.6548	0.1
6.8228	0.2
7.022	0.2
7.124	0.1
7.2576	0.2
7.4208	0.2
7.5228	0.1
7.7028	0.2
7.9	0.2
8.0372	0.1
8.2676	0.2
8.472	0.2
8.5936	0.1
8.7996	0.2
8.9728	0.2
9.0832	0.1
9.2676	0.2
9.4352	0.2
9.5184	0.1
9.7244	0.2
9.9912	0.2
10.1544	0.1
10.3876	0.2
10.6584	0.2
10.7948	0.1
11.0504	0.2
11.34	0.2
11.5084	0.1
11.762	0.2
11.9364	0.2
12.0268	0.1
12.236	0.2
12.472	0.2
12.5632	0.1
12.7972	0.2
13.0856	0.2
13.2212	0.1
13.4472	0.2
13.7504	0.2
13.85	0.1
14.1924	0.2
14.478	0.2
14.6092	0.1
14.8732	0.2
15.0812	0.1
15.3252	0.2
15.5852	0.2
15.7048	0.1
15.9704	0.2
16.298	0.2
16.5348	0.1
16.8812	0.2
17.2424	0.2
17.4216	0.1
17.5992	0.2
17.9004	0.2
18.0528	0.1
18.376	0.2
18.7336	0.2
18.9496	0.1
19.266	0.2
19.5708	0.2
19.7784	0.1
20.1084	0.2
20.4704	0.2
20.6736	0.1
21.066	0.2
21.516	0.2
21.7316	0.1
22.162	0.2
22.4992	0.2
22.72	0.1
23.0936	0.2
23.6492	0.2
23.9612	0.1
24.3016	0.2
24.6932	0.2
25.0904	0.1
25.4216	0.2
25.6268	0.2
25.7872	0.1
26.0828	0.2
26.406	0.2
26.6828	0.1
26.9672	0.2
27.3588	0.2
27.7036	0.1
27.9864	0.2
28.43	0.2
28.7148	0.1
28.9316	0.2
29.2168	0.2
29.4848	0.1
29.9584	0.2
30.4532	0.2
30.8716	0.1
31.2676	0.2
31.6668	0.2
32.0388	0.1
32.2308	0.2
32.636	0.2
33.1108	0.1
33.4152	0.2
33.802	0.2
34.1528	0.1
34.426	0.2
34.658	0.2
34.966	0.1
35.3244	0.2
35.5812	0.2
35.9408	0.1
36.2012	0.2
36.502	0.2
36.7804	0.1
37.1044	0.2
37.4744	0.2
37.8244	0.1
38.0636	0.2
38.4172	0.2
38.652	0.1
38.9776	0.2
39.3252	0.2
39.6196	0.1
39.8292	0.2
39.9864	0.2
40.3852	0.1
40.6828	0.2
40.9452	0.2
41.248	0.1
41.4472	0.2
41.7308	0.2
42.0184	0.1
42.3188	0.2
42.6224	0.2
42.852	0.1
43.1068	0.2
43.4896	0.2
43.7464	0.1
44.024	0.2
44.3324	0.2
44.586	0.1
44.942	0.1
45.1116	0.2
45.3688	0.1
45.5864	0.1
45.742	0.1
45.9732	0.2
46.1696	0.1
46.3536	0.1
46.5932	0.1
46.7236	0.2
46.9588	0.1
47.1836	0.1
47.436	0.1
47.628	0.2
47.8024	0.1
48.0412	0.1
48.2552	0.1
48.4792	0.2
48.6748	0.1
48.9204	0.1
49.1288	0.1
49.32	0.2
49.5348	0.1
49.7064	0.1
49.8744	0.1
50.1244	0.2
50.3176	0.1
50.5044	0.1
50.7348	0.1
50.8652	0.2
51.0936	0.1
51.3	0.1
51.4528	0.1
51.64	0.2
51.828	0.1
52.056	0.1
52.2664	0.1
52.4764	0.2
52.63	0.1
52.7636	0.1
52.9044	0.1
53.1444	0.2
53.35	0.1
53.5796	0.1
53.8092	0.1
53.9616	0.2
54.202	0.1
54.3224	0.1
54.5692	0.1
54.7764	0.2
54.96	0.1
55.13	0.1
55.314	0.1
55.5068	0.2
55.6976	0.1
55.8292	0.1
55.9564	0.1
56.0972	0.2
56.3468	0.1
56.5892	0.1
56.7996	0.1
56.876	0.2
57.0044	0.1
57.1732	0.1
57.2892	0.1
57.4076	0.2
57.5664	0.1
57.7156	0.1
57.7988	0.1
57.9516	0.2
58.0716	0.1
58.1904	0.1
58.3028	0.1
58.4104	0.2
58.5288	0.1
58.6348	0.1
58.7504	0.1
58.8596	0.2
58.9416	0.1
59.0696	0.1
59.1624	0.1
59.2756	0.2
59.3788	0.1
59.4572	0.1
59.5896	0.1
59.6968	0.2
59.7868	0.1
59.8884	0.1
59.9664	0.1
60.0476	0.2
60.0984	0.1
60.1596	0.1
60.2296	0.1
60.354	0.2
60.4436	0.1
60.5524	0.1
60.5828	0.1
60.6964	0.2
60.7584	0.1
60.788	0.1
60.8752	0.1
60.922	0.2
60.9888	0.1
61.0096	0.1
61.0564	0.1
61.0808	0.2
61.1	0.1
61.1248	0.1
61.1836	0.1
61.2156	0.2
61.2504	0.1
61.2724	0.1
61.2864	0.1
61.3044	0.2
61.3244	0.1
61.3372	0.1
61.348	0.1
61.3532	0.2
61.354	0.1
61.3544	0.1
61.3552	0.1
61.3556	0.2
61.3584	0.1
61.3604	0.1
61.3604	0.1
61.3604	0.2
61.3608	0.1
61.3608	0.1
61.3612	0.1
61.362	0.2
61.362	0.1
61.3644	0.1
61.3664	0.1
61.3712	0.2
61.3764	0.1
61.382	0.1
61.392	0.1
61.4108	0.2
61.428	0.1
61.444	0.1
61.4644	0.1
61.4744	0.2
61.4884	0.1
61.5104	0.1
61.514	0.1
61.5236	0.2
61.5248	0.1
61.5368	0.1
61.5448	0.1
61.5456	0.2
61.5468	0.1
61.5492	0.1
61.5508	0.1
61.5592	0.2
61.5612	0.1
61.562	0.1
61.5628	0.1
61.5636	0.2
61.5652	0.1
61.566	0.1
61.566	0.1
61.5664	0.2
61.5668	0.1
61.5668	0.1
61.5668	0.1
61.5668	0.2
61.5668	0.1
61.5668	0.1
61.5668	0.1
61.5668	0.2
61.5668	0.1
61.5668	0.1
61.5676	0.1
61.5748	0.2
61.5808	0.1
61.5872	0.1
61.5928	0.1
61.6092	0.2
61.6156	0.1
61.6276	0.1
61.6344	0.1
61.6416	0.2
61.6436	0.1
61.6496	0.1
61.6528	0.1
61.6568	0.2
61.658	0.1
61.6588	0.1
61.6596	0.1
61.66	0.2
61.6612	0.1
61.6612	0.1
61.662	0.1
61.662	0.2
61.6624	0.1
61.6624	0.1
61.6624	0.1
61.6624	0.2
61.6624	0.1
61.6624	0.1
61.6628	0.1
61.6628	0.2
61.6628	0.1
61.6628	0.1
61.6628	0.1
61.6628	0.2
61.6628	0.1
61.6628	0.1
61.6628	0.1
61.6628	0.2
61.6628	0.1
61.6628	0.1
61.664	0.1
61.6716	0.2
61.6736	0.1
61.678	0.1
61.6796	0.1
61.6876	0.2
61.6928	0.1
61.696	0.1
61.702	0.1
61.7024	0.2
61.7048	0.1
61.7068	0.1
61.7072	0.1
61.7076	0.2
61.71	0.1
61.7112	0.1
61.7112	0.1
61.7156	0.2
61.7184	0.1
61.7196	0.1
61.7204	0.1
61.7204	0.2
61.7204	0.1
61.7204	0.1
61.7204	0.1
61.7208	0.2
61.7212	0.1
61.7212	0.1
61.7212	0.1
61.7212	0.2
61.7212	0.1
61.7212	0.1
61.7212	0.1
61.7212	0.2
61.7212	0.1
61.7212	0.1
61.7212	0.1
61.7212	0.2
61.7212	0.1
61.7212	0.1
61.722	0.1
61.7248	0.2
61.726	0.1
61.7276	0.2
61.728	0.2
61.7292	0.2
61.7308	0.1
61.7316	0.2
61.7328	0.2
61.7328	0.1
61.7332	0.2
61.734	0.2
