Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1ded880
	Pos2dProxy:	0x1df2ca0
	Ranger:		0x1df2f80
	Map:		0x7ffdd4b29050

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1df32d0
	Pos2dProxy:	0x1df1620
	Ranger:		0x1df1900
	Map:		0x7ffdd4b290b0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1df1a90
	Pos2dProxy:	0x1df3440
	Ranger:		0x1df3720
	Map:		0x7ffdd4b29110

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1df38b0
	Pos2dProxy:	0x1df3c60
	Ranger:		0x1df3f40
	Map:		0x7ffdd4b29170

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1df40d0
	Pos2dProxy:	0x1df4440
	Ranger:		0x1df4720
	Map:		0x7ffdd4b291d0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	7.8
4.9496	0.1
6.0368	0.2
6.5764	0.2
7.022	0.2
7.274	0.2
7.4592	0.1
7.6412	0.2
7.8812	0.2
8.0904	0.1
8.2732	0.2
8.4648	0.2
8.6592	0.1
8.9064	0.2
9.1648	0.2
9.4632	0.1
9.8096	0.2
10.0512	0.2
10.3216	0.1
10.602	0.2
10.7672	0.2
11.0044	0.1
11.2376	0.2
11.3872	0.2
11.6132	0.1
11.7892	0.2
11.8792	0.2
12.0164	0.1
12.2016	0.2
12.3148	0.3
12.562	0.2
12.8996	0.2
13.1492	0.1
13.3968	0.2
13.6072	0.2
13.8432	0.1
14.1396	0.2
14.2652	0.2
14.5508	0.1
14.8952	0.2
15.0588	0.2
15.2964	0.1
15.5136	0.2
15.6496	0.2
15.874	0.1
16.1852	0.2
16.31	0.2
16.6968	0.1
16.894	0.2
17.3064	0.1
17.6856	0.2
17.9092	0.2
18.2124	0.1
18.4724	0.2
18.694	0.2
18.9952	0.1
19.3724	0.2
19.5812	0.3
19.9356	0.2
20.3216	0.2
20.5544	0.1
20.8832	0.2
21.1824	0.2
21.5048	0.1
21.8892	0.2
22.1876	0.2
22.6056	0.1
23.0376	0.2
23.3852	0.2
23.8128	0.1
24.222	0.2
24.4832	0.2
24.8432	0.1
25.1708	0.2
25.4192	0.2
25.8232	0.1
26.2612	0.2
26.4752	0.3
26.86	0.2
27.3436	0.2
27.6268	0.1
28.0644	0.2
28.48	0.2
28.842	0.1
29.3108	0.2
29.6816	0.2
30.0524	0.1
30.55	0.2
30.8104	0.2
31.1776	0.1
31.648	0.2
32.0276	0.2
32.4908	0.1
32.9308	0.2
33.1828	0.2
33.6364	0.1
34.112	0.2
34.374	0.3
34.8328	0.2
35.3552	0.2
35.6956	0.1
36.208	0.2
36.586	0.2
36.94	0.1
37.4996	0.2
37.9084	0.2
38.2796	0.1
38.834	0.2
39.2076	0.2
39.6396	0.1
40.0948	0.2
40.5708	0.2
41.06	0.1
41.6088	0.2
41.9768	0.2
42.5104	0.1
43.0476	0.2
