Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1d7c880
	Pos2dProxy:	0x1d81ca0
	Ranger:		0x1d81f80
	Map:		0x7fff9627d280

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1d822d0
	Pos2dProxy:	0x1d80620
	Ranger:		0x1d80900
	Map:		0x7fff9627d2e0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1d80a90
	Pos2dProxy:	0x1d82440
	Ranger:		0x1d82720
	Map:		0x7fff9627d340

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1d828b0
	Pos2dProxy:	0x1d82c60
	Ranger:		0x1d82f40
	Map:		0x7fff9627d3a0

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1d830d0
	Pos2dProxy:	0x1d83440
	Ranger:		0x1d83720
	Map:		0x7fff9627d400

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	12
5.1344	0.2
6.2932	0.1
6.7124	0.2
7.0504	0.2
7.2852	0.1
7.554	0.2
7.7296	0.2
7.9492	0.1
8.1196	0.2
8.274	0.3
8.5156	0.2
8.7544	0.2
9.0244	0.1
9.3148	0.2
9.6452	0.2
9.94	0.1
10.184	0.2
10.3192	0.2
10.4712	0.1
10.6524	0.2
10.8036	0.3
10.9932	0.2
11.2168	0.1
11.4696	0.2
11.6344	0.2
11.8692	0.1
12.1008	0.2
12.2552	0.2
12.5264	0.1
12.7388	0.2
12.8488	0.3
13.11	0.2
13.472	0.2
13.6912	0.1
13.9524	0.2
14.2572	0.2
14.5804	0.1
14.7684	0.2
14.9784	0.2
15.254	0.1
15.51	0.2
15.6992	0.3
16.002	0.2
16.3932	0.2
16.6	0.1
16.8376	0.2
17.1248	0.2
17.412	0.1
17.7188	0.2
17.9016	0.2
18.3368	0.1
18.752	0.2
19.0484	0.3
19.2036	0.2
19.514	0.2
19.7896	0.1
20.0524	0.2
20.222	0.2
20.6192	0.1
21.0424	0.2
21.2876	0.3
21.6704	0.2
22.0588	0.2
22.3552	0.1
22.5884	0.2
22.8408	0.2
23.1436	0.1
23.4708	0.2
23.7352	0.2
