Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xb35880
	Pos2dProxy:	0xb3aca0
	Ranger:		0xb3af80
	Map:		0x7ffcf2535df0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xb3b2d0
	Pos2dProxy:	0xb39620
	Ranger:		0xb39900
	Map:		0x7ffcf2535e50

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0xb39a90
	Pos2dProxy:	0xb3b440
	Ranger:		0xb3b720
	Map:		0x7ffcf2535eb0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0xb3b8b0
	Pos2dProxy:	0xb3bc60
	Ranger:		0xb3bf40
	Map:		0x7ffcf2535f10

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0xb3c0d0
	Pos2dProxy:	0xb3c440
	Ranger:		0xb3c720
	Map:		0x7ffcf2535f70

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0xb3c8b0
	Pos2dProxy:	0xb3cc20
	Ranger:		0xb3cf00
	Map:		0x7ffcf2535fd0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0xb3d090
	Pos2dProxy:	0xb3d400
	Ranger:		0xb3d6e0
	Map:		0x7ffcf2536030

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0xb3d870
	Pos2dProxy:	0xb3dbe0
	Ranger:		0xb3dec0
	Map:		0x7ffcf2536090

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0xb3e050
	Pos2dProxy:	0xb3e3c0
	Ranger:		0xb3e6a0
	Map:		0x7ffcf25360f0

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0xb3e830
	Pos2dProxy:	0xb3eba0
	Ranger:		0xb3ee80
	Map:		0x7ffcf2536150

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	5
6.988	0.2
8.1692	0.2
8.5676	0.2
8.8788	0.1
9.2024	0.2
9.4628	0.2
9.6152	0.1
9.778	0.2
9.9544	0.2
10.11	0.1
10.3148	0.2
10.5696	0.2
10.6912	0.1
10.9436	0.2
11.2456	0.2
11.4376	0.1
11.8024	0.2
12.096	0.2
12.3412	0.2
12.5928	0.2
12.8412	0.2
12.9772	0.1
13.2684	0.2
13.6092	0.2
13.7852	0.1
14.006	0.2
14.2328	0.2
14.3764	0.1
14.6056	0.2
14.8952	0.2
15.0912	0.1
15.3808	0.2
15.7468	0.2
15.9188	0.1
16.1932	0.2
16.5008	0.2
16.6688	0.1
16.9824	0.2
17.2752	0.2
17.4632	0.1
17.848	0.2
18.224	0.2
18.3892	0.1
18.6796	0.2
19.046	0.2
19.2444	0.1
19.6616	0.2
20.0812	0.2
20.276	0.1
20.654	0.2
20.9828	0.2
21.162	0.1
21.506	0.2
21.8104	0.2
21.9708	0.1
22.298	0.2
22.6432	0.2
22.8236	0.1
23.1936	0.2
23.582	0.2
23.796	0.1
24.2288	0.2
24.6432	0.2
24.8784	0.1
25.3052	0.2
25.5616	0.1
26.0112	0.2
26.4748	0.2
26.7428	0.1
27.1856	0.2
27.6164	0.2
27.8388	0.1
28.2856	0.2
28.6652	0.2
28.9056	0.1
29.35	0.2
29.7968	0.2
30.0116	0.1
30.4012	0.2
30.8184	0.2
31.042	0.1
31.4528	0.2
31.8744	0.2
32.1404	0.1
32.5456	0.2
33.032	0.2
33.3144	0.1
33.8192	0.2
34.3484	0.2
34.6288	0.1
35.144	0.2
35.64	0.2
35.9288	0.1
36.3832	0.2
36.84	0.2
37.0896	0.1
37.5644	0.2
38.0988	0.2
38.3768	0.1
38.8988	0.2
39.3992	0.2
39.6892	0.1
40.2928	0.2
40.8556	0.2
41.1692	0.1
41.7588	0.2
42.2796	0.2
42.6268	0.1
43.1284	0.2
43.6784	0.2
43.9516	0.1
44.528	0.2
45.0676	0.2
45.3584	0.1
45.8776	0.2
46.4936	0.2
46.7476	0.1
47.2892	0.2
47.854	0.2
48.172	0.1
48.7252	0.2
49.4088	0.2
49.6456	0.1
50.2584	0.2
50.878	0.2
51.192	0.1
51.8092	0.2
52.4132	0.2
52.7476	0.1
53.322	0.2
53.9772	0.2
54.3124	0.1
54.9616	0.2
55.6088	0.2
55.9548	0.1
56.5792	0.2
57.1964	0.2
57.5244	0.1
58.23	0.2
58.8216	0.2
59.19	0.1
59.8476	0.2
60.4804	0.2
60.86	0.1
61.442	0.2
62.1348	0.2
62.4788	0.1
63.1796	0.2
63.9064	0.2
64.2932	0.1
64.9684	0.2
65.6784	0.2
66.07	0.1
66.6724	0.2
67.4424	0.2
67.822	0.1
68.5088	0.2
69.2756	0.2
69.7424	0.1
70.388	0.2
71.3548	0.2
71.9352	0.2
72.8124	0.2
73.302	0.3
74.1876	0.2
74.8352	0.2
75.4744	0.3
76.432	0.2
77.1852	0.1
78.0252	0.4
78.802	0.1
79.4312	0.3
80.0724	0.2
80.898	0.2
81.6272	0.1
82.1584	0.2
82.5408	0.2
83.2588	0.2
83.914	0.1
84.2776	0.2
84.7588	0.2
85.2352	0.1
85.7832	0.2
86.2472	0.2
86.7432	0.1
87.2448	0.3
87.4812	0.1
87.8424	0.1
88.1412	0.3
88.324	0.2
88.8056	0.2
89.1212	0.1
89.4492	0.2
89.7064	0.2
89.996	0.2
90.3172	0.1
90.5456	0.2
90.754	0.2
90.9004	0.1
91.1692	0.2
91.4344	0.1
91.6108	0.1
91.8812	0.1
92.0992	0.3
92.2252	0.2
92.6244	0.3
92.87	0.2
93.0552	0.2
93.376	0.1
93.6048	0.1
93.876	0.1
94.0228	0.2
94.2248	0.2
94.4524	0.1
94.6256	0.3
94.7484	0.1
95.0076	0.1
95.204	0.3
95.3224	0.2
95.6252	0.3
95.7956	0.2
96.0144	0.2
96.2216	0.1
96.434	0.2
96.6136	0.2
96.8404	0.2
97.092	0.1
97.2692	0.2
97.3976	0.2
97.6056	0.1
97.7632	0.2
97.8612	0.2
97.9688	0.1
98.0536	0.2
98.1052	0.1
98.1564	0.1
98.2656	0.1
98.336	0.3
98.3656	0.2
98.4684	0.3
98.4792	0.2
98.5272	0.2
98.544	0.1
98.5884	0.2
98.6476	0.2
98.6684	0.1
98.6884	0.1
98.6952	0.1
98.7176	0.2
98.7328	0.2
98.7524	0.1
98.7552	0.3
98.7616	0.1
98.7788	0.1
98.7968	0.3
98.8024	0.2
98.8112	0.2
98.8228	0.2
98.8268	0.1
98.8288	0.2
98.8456	0.2
98.8552	0.1
98.8608	0.3
98.8652	0.2
98.8728	0.3
98.8768	0.2
98.8808	0.2
