Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x150f880
	Pos2dProxy:	0x1514ca0
	Ranger:		0x1514f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1515300
	Pos2dProxy:	0x1513620
	Ranger:		0x1513900
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	23
3.1928	0.1
4.4276	0.2
5.2784	0.2
5.718	0.1
5.9936	0.2
6.178	0.2
6.3604	0.1
6.49	0.2
6.7064	0.3
6.9312	0.2
7.1048	0.2
7.2912	0.1
7.4416	0.2
7.53	0.3
7.666	0.2
7.8704	0.2
7.9924	0.1
8.2192	0.2
8.3632	0.2
8.4492	0.1
8.6428	0.2
8.8484	0.3
8.96	0.2
9.1568	0.2
9.3536	0.1
9.544	0.2
9.742	0.3
9.806	0.2
9.9652	0.2
10.1944	0.1
10.3648	0.2
10.606	0.3
10.8	0.2
11.106	0.2
11.416	0.1
11.6844	0.2
12.0548	0.2
12.4004	0.1
12.6084	0.2
12.7172	0.3
13.0172	0.2
13.2868	0.2
13.5352	0.1
13.6508	0.2
13.7784	0.3
13.988	0.2
14.2268	0.2
14.3364	0.2
14.564	0.2
14.7912	0.2
15.0004	0.1
15.1628	0.3
15.27	0.2
15.4932	0.2
15.6932	0.2
15.8304	0.1
15.9776	0.3
16.0504	0.2
16.2164	0.2
16.4428	0.2
16.6804	0.1
16.83	0.3
16.9028	0.2
17.014	0.2
17.1212	0.2
17.2444	0.1
17.422	0.3
17.6428	0.2
17.8084	0.2
17.9636	0.2
18.2096	0.1
18.33	0.3
18.4	0.2
18.5144	0.2
18.6636	0.2
18.7828	0.1
18.9392	0.2
19.0948	0.1
19.3464	0.2
19.552	0.2
19.6344	0.2
19.8004	0.1
19.9852	0.3
20.18	0.2
20.422	0.2
20.5776	0.2
20.816	0.1
21.0508	0.3
21.2208	0.2
21.4608	0.2
21.6372	0.2
21.814	0.1
22.0116	0.3
22.194	0.2
22.4892	0.2
22.7004	0.2
22.9416	0.1
23.1032	0.3
23.3156	0.2
23.468	0.2
23.6884	0.2
23.9672	0.1
24.1696	0.3
24.5036	0.2
24.9332	0.2
25.2976	0.2
25.5344	0.1
25.876	0.3
26.1332	0.2
26.414	0.2
26.7084	0.2
26.9372	0.1
27.2256	0.2
27.456	0.2
27.5772	0.1
27.8312	0.2
28.1028	0.2
28.3272	0.1
28.5232	0.3
28.8124	0.2
29.0856	0.3
29.3084	0.2
29.6416	0.2
29.8848	0.2
30.078	0.1
30.3452	0.3
30.568	0.2
30.8512	0.2
31.2152	0.1
31.6268	0.1
32.0404	0.1
32.3676	0.2
32.6792	0.2
32.8812	0.1
33.18	0.3
33.482	0.2
33.8256	0.2
34.136	0.2
34.4964	0.1
34.8088	0.2
35.0716	0.2
35.1924	0.1
35.5264	0.2
35.9044	0.2
36.1768	0.1
36.4184	0.3
36.646	0.2
36.8604	0.2
37.0492	0.2
37.3184	0.1
37.5972	0.2
37.8556	0.2
38.2652	0.1
38.4972	0.3
38.8808	0.2
39.1304	0.2
39.4376	0.2
39.7852	0.1
39.994	0.3
40.2424	0.2
40.5476	0.3
40.8932	0.2
41.0588	0.2
41.3028	0.1
41.6236	0.2
41.9272	0.2
42.2056	0.1
42.4092	0.1
42.6132	0.1
42.8772	0.3
43.1452	0.2
43.4536	0.3
43.8024	0.2
44.1376	0.2
44.2732	0.1
44.5	0.2
44.66	0.2
44.8292	0.1
45.0984	0.1
45.3748	0.1
45.7056	0.3
45.9156	0.2
46.1356	0.3
46.416	0.2
46.7568	0.2
47.142	0.1
47.3404	0.2
47.5492	0.2
47.8224	0.1
48.0412	0.1
48.222	0.1
48.4116	0.3
48.5192	0.2
48.7424	0.3
48.9296	0.2
49.09	0.2
49.1872	0.1
49.3344	0.2
49.4756	0.2
49.5888	0.1
49.716	0.1
49.8288	0.1
49.9024	0.3
50.004	0.2
50.0888	0.3
50.2028	0.2
50.3672	0.2
50.4768	0.1
50.6104	0.2
50.7344	0.2
50.7972	0.1
50.8256	0.1
50.8572	0.1
50.9068	0.3
50.9744	0.2
51.0712	0.3
51.1836	0.2
51.2536	0.2
51.316	0.2
51.3588	0.1
51.474	0.2
51.5916	0.2
51.6856	0.1
51.9152	0.2
52.142	0.2
52.2952	0.1
52.4408	0.2
52.5612	0.2
52.6488	0.1
52.7312	0.2
52.8284	0.2
52.9092	0.1
53.0376	0.2
53.172	0.3
53.3016	0.2
53.4096	0.2
53.6716	0.1
53.8096	0.2
53.9932	0.3
54.1096	0.2
54.1892	0.2
54.2964	0.1
54.4452	0.2
54.5752	0.3
54.7304	0.2
54.8676	0.2
54.9956	0.1
55.0888	0.2
55.1776	0.3
55.3444	0.2
55.4764	0.2
55.5492	0.1
55.6228	0.2
55.6992	0.3
55.774	0.2
55.8544	0.2
55.9384	0.1
56.0504	0.2
56.1492	0.3
56.2452	0.2
56.3564	0.2
56.4564	0.1
56.568	0.2
56.694	0.3
56.7356	0.2
56.8584	0.2
56.9832	0.1
57.1444	0.2
57.2908	0.3
57.448	0.2
57.56	0.2
57.6572	0.1
57.8364	0.2
57.9092	0.3
58.1508	0.2
