Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xd0c630
	Pos2dProxy:	0xd13d20
	Ranger:		0xd13fc0
	Map:		0x7ffe96791010

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xd14350
	Pos2dProxy:	0xd126a0
	Ranger:		0xd12980
	Map:		0x7ffe96791070

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0xd12b50
	Pos2dProxy:	0xd144c0
	Ranger:		0xd147a0
	Map:		0x7ffe967910d0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0xd14970
	Pos2dProxy:	0xd14ca0
	Ranger:		0xd14f80
	Map:		0x7ffe96791130

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0xd15150
	Pos2dProxy:	0xd15480
	Ranger:		0xd15760
	Map:		0x7ffe96791190

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0xd15930
	Pos2dProxy:	0xd15c60
	Ranger:		0xd15f40
	Map:		0x7ffe967911f0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0xd16110
	Pos2dProxy:	0xd16440
	Ranger:		0xd16720
	Map:		0x7ffe96791250

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0xd168f0
	Pos2dProxy:	0xd16c20
	Ranger:		0xd16f00
	Map:		0x7ffe967912b0

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0xd170d0
	Pos2dProxy:	0xd17400
	Ranger:		0xd176e0
	Map:		0x7ffe96791310

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0xd178b0
	Pos2dProxy:	0xd17be0
	Ranger:		0xd17ec0
	Map:		0x7ffe96791370

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	30.8
6.914	0.2
7.9988	0.1
8.4016	0.2
8.6796	0.2
8.8912	0.1
9.1492	0.2
9.3544	0.2
9.558	0.1
9.7772	0.1
10.0372	0.2
10.206	0.1
10.2968	0.1
10.418	0.1
10.6104	0.2
10.7608	0.1
10.9248	0.1
11.08	0.1
11.3748	0.2
11.5776	0.1
11.7836	0.1
11.9408	0.1
12.1784	0.2
12.3464	0.1
12.4668	0.1
12.6056	0.1
12.878	0.2
13.0568	0.1
13.1828	0.1
13.292	0.1
13.484	0.2
13.608	0.1
13.7296	0.1
13.878	0.1
14.1576	0.2
14.306	0.1
14.446	0.1
14.5832	0.1
14.8964	0.2
15.0664	0.1
15.2404	0.1
15.4296	0.1
15.7728	0.2
15.9496	0.1
16.1308	0.1
16.2772	0.1
16.5708	0.2
16.7164	0.1
16.8532	0.1
16.9588	0.1
17.2188	0.2
17.3572	0.1
17.5304	0.1
17.728	0.1
18.058	0.2
18.2028	0.1
18.3736	0.1
18.5548	0.1
18.8992	0.2
19.0772	0.1
19.254	0.1
19.4564	0.1
19.8104	0.2
20.0296	0.1
20.2272	0.1
20.4312	0.1
20.7256	0.2
20.8888	0.1
21.014	0.1
21.1112	0.1
21.3916	0.2
21.6064	0.1
21.7928	0.1
21.9432	0.1
22.236	0.2
22.472	0.1
22.606	0.1
22.8004	0.1
23.1684	0.2
23.324	0.1
23.5052	0.1
23.7132	0.1
24.1492	0.2
24.3272	0.1
24.518	0.1
24.742	0.1
25.0336	0.2
25.1888	0.1
25.3736	0.1
25.6184	0.1
26.1604	0.2
26.6544	0.1
27.0136	0.1
27.2544	0.1
27.6424	0.2
27.9088	0.1
28.0664	0.1
