Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xfd7880
	Pos2dProxy:	0xfdcca0
	Ranger:		0xfdcf80
	Map:		0x7fff7eea8c50

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xfdd2d0
	Pos2dProxy:	0xfdb620
	Ranger:		0xfdb900
	Map:		0x7fff7eea8cb0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	5.1
3.1928	0.1
4.4332	0.2
5.2852	0.2
5.6888	0.1
5.9896	0.2
6.1996	0.2
6.3456	0.1
6.456	0.2
6.5424	0.2
6.6992	0.1
6.9052	0.2
7.0852	0.3
7.3152	0.2
7.5444	0.2
7.6264	0.1
7.7252	0.2
7.8512	0.2
7.9696	0.2
8.0992	0.2
8.2816	0.2
8.3884	0.1
8.5888	0.2
8.792	0.2
8.9144	0.1
9.0836	0.2
9.284	0.2
9.386	0.1
9.5736	0.2
9.754	0.2
9.8944	0.1
10.0296	0.2
10.23	0.2
10.6212	0.1
10.8732	0.8
11.1668	0.2
11.384	0.2
11.6244	0.2
11.812	0.1
12.0712	0.2
12.232	0.3
12.4664	0.2
12.794	0.2
13.0436	0.1
13.4092	0.2
13.722	0.2
13.8248	0.1
13.9944	0.2
14.0984	0.2
14.3516	0.1
14.656	0.2
14.8384	0.2
15.0028	0.1
15.17	0.2
15.2588	0.3
15.4452	0.2
15.6112	0.2
15.7156	0.1
15.8572	0.2
15.9444	0.1
16.0944	0.2
16.3168	0.2
16.4932	0.1
16.6388	0.2
16.664	0.2
16.8332	0.1
16.9196	0.2
17.0456	0.2
17.3072	0.1
17.4376	0.2
17.6224	0.2
17.8636	0.1
17.9684	0.2
18.1248	0.2
18.2152	0.1
18.3016	0.2
18.3704	0.2
18.4	0.1
18.4468	0.2
18.486	0.3
18.594	0.2
18.6556	0.2
18.6848	0.1
18.8144	0.2
18.9088	0.2
18.964	0.1
19.0132	0.2
19.038	0.2
19.1504	0.1
19.212	0.2
19.2828	0.3
19.2912	0.2
19.3148	0.2
19.3524	0.1
19.38	0.2
19.3912	0.2
19.3968	0.1
19.42	0.2
19.4368	0.2
19.4464	0.1
19.4484	0.2
19.4488	0.2
19.4488	0.1
19.4504	0.2
19.4504	0.2
19.4516	0.1
19.4516	0.2
19.4568	0.2
19.4568	0.1
19.46	0.2
19.4684	0.2
19.4684	0.1
19.4684	0.2
19.4688	0.2
19.4688	0.1
19.4688	0.2
19.4692	0.2
19.4692	0.1
19.4708	0.2
19.4772	0.3
19.4772	0.2
19.4788	0.2
19.4844	0.1
19.4868	0.2
19.4884	0.2
19.4896	0.1
19.49	0.2
19.49	0.2
19.49	0.1
19.49	0.2
19.49	0.3
19.4904	0.2
19.4904	0.2
19.4904	0.1
19.4912	0.2
19.4912	0.2
19.4916	0.1
19.4924	0.2
19.4924	0.2
