Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xa61880
	Pos2dProxy:	0xa66ca0
	Ranger:		0xa66f80
	Map:		0x7ffcb8ebc540

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xa672d0
	Pos2dProxy:	0xa65620
	Ranger:		0xa65900
	Map:		0x7ffcb8ebc5a0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0xa65a90
	Pos2dProxy:	0xa67440
	Ranger:		0xa67720
	Map:		0x7ffcb8ebc600

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0xa678b0
	Pos2dProxy:	0xa67c60
	Ranger:		0xa67f40
	Map:		0x7ffcb8ebc660

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0xa680d0
	Pos2dProxy:	0xa68440
	Ranger:		0xa68720
	Map:		0x7ffcb8ebc6c0

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0xa688b0
	Pos2dProxy:	0xa68c20
	Ranger:		0xa68f00
	Map:		0x7ffcb8ebc720

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0xa69090
	Pos2dProxy:	0xa69400
	Ranger:		0xa696e0
	Map:		0x7ffcb8ebc780

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0xa69870
	Pos2dProxy:	0xa69be0
	Ranger:		0xa69ec0
	Map:		0x7ffcb8ebc7e0

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0xa6a050
	Pos2dProxy:	0xa6a3c0
	Ranger:		0xa6a6a0
	Map:		0x7ffcb8ebc840

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0xa6a830
	Pos2dProxy:	0xa6aba0
	Ranger:		0xa6ae80
	Map:		0x7ffcb8ebc8a0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	29.1
6.6676	0.2
7.7688	0.3
8.3104	0.2
8.7376	0.3
9.092	0.4
9.354	0.3
9.762	0.3
10.1168	0.4
10.4024	0.3
10.682	0.4
10.9212	0.3
11.1872	0.2
11.524	0.5
11.7972	0.3
11.9936	0.2
12.1532	0.4
12.3616	0.3
12.5732	0.3
12.7828	0.4
12.942	0.3
13.0628	0.3
13.2204	0.3
13.3592	0.2
13.4716	0.2
13.5848	0.3
13.6532	0.3
13.7576	0.2
13.846	0.4
13.9284	0.3
14.028	0.3
14.1332	0.4
14.2632	0.3
14.3624	0.3
14.4856	0.3
14.614	0.2
14.7268	0.5
14.806	0.3
15.0152	0.2
15.2012	0.4
15.3768	0.3
15.6348	0.3
15.8772	0.4
16.038	0.3
16.278	0.3
16.478	0.3
16.7056	0.2
16.8496	0.4
16.9776	0.3
17.1332	0.3
17.3464	0.4
17.5756	0.3
17.8828	0.3
18.1276	0.3
18.6964	0.4
19.122	0.3
19.3224	0.3
19.6488	0.2
19.8908	0.4
20.0852	0.3
20.366	0.3
20.6196	0.4
20.8504	0.3
21.2264	0.3
21.3596	0.3
21.6368	0.2
21.8084	0.5
22.1256	0.3
22.3768	0.2
22.5532	0.4
22.9112	0.3
23.1812	0.3
23.452	0.4
23.8704	0.3
24.616	0.3
25.074	0.3
25.4264	0.2
25.6344	0.4
25.9688	0.3
26.1412	0.3
26.382	0.3
26.604	0.2
26.88	0.4
27.114	0.3
27.45	0.3
27.7412	0.4
28.0036	0.3
28.1976	0.3
28.4092	0.3
28.6656	0.2
28.8648	0.4
29.178	0.3
29.468	0.3
29.8376	0.3
30.12	0.4
30.4244	0.3
30.6848	0.3
31.008	0.2
31.2804	0.5
31.5844	0.3
31.8812	0.2
32.1084	0.4
32.3264	0.3
32.4848	0.3
32.6716	0.3
32.8984	0.2
33.1164	0.4
33.2624	0.4
33.432	0.2
33.5504	0.4
33.6408	0.3
33.7836	0.3
33.9152	0.3
33.99	0.4
34.0888	0.3
34.1716	0.2
34.2492	0.3
34.3052	0.4
34.342	0.3
34.3844	0.3
34.442	0.2
34.502	0.5
34.5312	0.3
34.5496	0.2
34.5824	0.5
34.6152	0.3
34.6428	0.2
34.6568	0.3
34.698	0.4
34.7296	0.3
34.748	0.3
34.772	0.4
34.8076	0.3
34.82	0.3
34.8292	0.2
34.8544	0.3
34.8892	0.4
34.9156	0.3
34.9468	0.3
34.9968	0.2
35.0228	0.3
35.048	0.4
35.058	0.3
35.0644	0.3
35.0692	0.2
35.0896	0.5
35.1024	0.3
35.1264	0.2
35.1564	0.3
35.1724	0.4
35.1828	0.3
35.1836	0.3
35.188	0.2
35.1976	0.3
35.2024	0.4
35.22	0.3
35.2232	0.3
35.226	0.4
35.2456	0.3
35.274	0.3
35.3044	0.4
35.3108	0.3
35.3192	0.3
35.3204	0.2
35.3312	0.3
35.3392	0.4
35.346	0.3
35.3512	0.3
35.3536	0.4
35.356	0.3
35.366	0.3
35.3676	0.2
35.37	0.3
35.378	0.4
35.3848	0.3
35.3912	0.3
35.3932	0.2
35.3972	0.3
35.4172	0.4
35.4248	0.3
35.4332	0.3
35.442	0.4
35.4444	0.3
35.4588	0.3
35.4656	0.2
35.4656	0.3
35.4812	0.4
35.4928	0.3
35.5136	0.3
35.5288	0.2
35.5288	0.5
35.5408	0.3
35.5484	0.2
35.5484	0.3
35.5484	0.4
35.5496	0.3
35.5504	0.3
35.5516	0.2
35.5616	0.3
35.5664	0.4
35.5684	0.3
35.5748	0.3
35.58	0.2
35.5928	0.3
35.5996	0.4
35.6088	0.3
35.622	0.3
35.6328	0.4
35.6412	0.3
35.6416	0.3
35.6428	0.2
35.6444	0.3
35.646	0.4
35.648	0.3
35.65	0.3
35.676	0.2
35.6816	0.3
35.6856	0.4
35.6868	0.3
35.6884	0.3
35.6884	0.2
35.6948	0.3
35.6948	0.4
35.6964	0.3
35.6964	0.3
35.6964	0.4
35.6992	0.3
35.7068	0.3
35.7076	0.2
35.7084	0.3
35.7104	0.4
35.7196	0.3
35.7296	0.3
35.7424	0.4
35.7512	0.3
35.752	0.3
35.7528	0.2
35.762	0.3
35.7876	0.4
35.8584	0.3
35.8844	0.3
35.9292	0.2
35.94	0.3
35.9572	0.4
35.9696	0.3
35.9752	0.3
35.9828	0.2
35.9916	0.5
35.9944	0.3
36.0068	0.2
36.0096	0.3
36.0176	0.4
36.0408	0.3
36.0472	0.3
36.0892	0.2
36.136	0.3
36.2032	0.5
36.2788	0.2
36.3552	0.3
36.456	0.4
36.5936	0.3
36.6748	0.3
36.8268	0.2
36.9596	0.5
37.1104	0.3
37.2252	0.2
37.3612	0.3
37.5536	0.4
37.7124	0.3
37.9888	0.3
38.2236	0.2
38.5164	0.3
38.81	0.4
39.1424	0.3
39.4584	0.3
39.746	0.2
39.9492	0.3
40.2092	0.4
40.3864	0.3
40.5592	0.3
40.7232	0.2
40.8808	0.5
41.014	0.3
41.2464	0.2
41.49	0.3
41.5784	0.5
41.6756	0.2
41.8276	0.3
41.92	0.4
41.9504	0.3
41.9964	0.3
42.0704	0.2
42.1316	0.3
42.2528	0.4
42.3048	0.3
42.3416	0.3
42.4124	0.2
42.4904	0.3
42.5656	0.4
42.6076	0.3
42.6308	0.3
42.646	0.2
42.6896	0.3
42.7316	0.5
42.7668	0.2
42.77	0.3
42.7752	0.4
42.7832	0.3
42.8036	0.3
42.8676	0.2
42.9664	0.3
43.002	0.5
43.006	0.2
43.0628	0.3
43.092	0.4
43.1528	0.3
43.1812	0.3
43.2448	0.4
43.3076	0.3
43.3336	0.4
43.3476	0.2
43.3628	0.3
43.3748	0.4
43.4192	0.3
43.4272	0.3
43.4504	0.2
43.4572	0.5
43.4584	0.3
43.4616	0.2
43.4664	0.3
43.47	0.4
43.478	0.3
43.4848	0.3
43.4892	0.4
43.4896	0.3
43.5004	0.3
43.5016	0.2
43.51	0.3
43.5348	0.2
43.54	0.3
43.546	0.2
43.558	0.3
43.5776	0.2
43.6356	0.3
43.656	0.4
43.7436	0.3
43.872	0.3
44.0128	0.2
44.3628	0.3
44.7236	0.4
44.9504	0.3
45.1548	0.3
45.3972	0.2
45.5756	0.3
45.7924	0.4
45.936	0.3
46.0504	0.3
46.1668	0.2
46.41	0.5
46.6052	0.3
46.814	0.2
47.1116	0.3
47.4392	0.5
47.6928	0.2
48.0276	0.3
48.2484	0.4
48.522	0.3
48.8552	0.3
49.1476	0.2
49.3692	0.3
49.6544	0.4
49.9564	0.3
50.3344	0.3
50.6924	0.2
51.0072	0.3
51.2324	0.4
51.4472	0.3
51.6616	0.3
51.9216	0.2
52.174	0.3
52.3836	0.4
52.6176	0.3
52.802	0.3
53.04	0.2
53.3336	0.3
53.5328	0.4
53.7596	0.3
53.9184	0.3
54.0128	0.2
54.1232	0.3
54.2052	0.4
54.274	0.3
54.3356	0.3
54.3532	0.4
54.3736	0.3
54.3888	0.3
54.4164	0.2
54.4208	0.3
54.4432	0.5
54.456	0.2
54.4756	0.3
54.5084	0.4
54.5132	0.3
54.5136	0.3
54.5148	0.2
54.5368	0.3
54.5384	0.4
54.5388	0.3
54.54	0.3
54.542	0.4
54.542	0.3
54.5688	0.3
54.5788	0.2
54.5812	0.3
54.5884	0.4
