Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x22d4880
	Pos2dProxy:	0x22d9ca0
	Ranger:		0x22d9f80
	Map:		0x7ffef8ce2840

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.8
1.8888	0.1
2.2652	0.2
3.3756	0.1
3.7416	0.2
4.0964	0.2
4.5936	0.1
4.8864	0.2
5.174	0.2
5.4276	0.2
5.6252	0.2
5.76	0.2
5.8236	0.1
5.9672	0.2
6.158	0.2
6.266	0.1
6.4604	0.2
6.6168	0.2
6.716	0.1
6.8992	0.2
7.0856	0.2
7.2096	0.1
7.3724	0.2
7.5548	0.2
7.6608	0.1
7.7956	0.2
7.964	0.2
8.0908	0.1
8.2768	0.2
8.4752	0.2
8.5632	0.1
8.77	0.2
8.9544	0.2
9.0648	0.1
9.2732	0.2
9.4856	0.2
9.5744	0.1
9.7992	0.2
10.0948	0.2
10.232	0.1
10.3796	0.2
10.5128	0.2
10.6048	0.1
10.7744	0.2
10.9736	0.2
11.0924	0.1
11.3492	0.2
11.4944	0.2
11.6124	0.1
11.8076	0.2
11.994	0.2
12.1292	0.1
12.3044	0.2
12.4836	0.2
12.5936	0.1
12.8104	0.2
12.9032	0.1
13.082	0.2
13.2904	0.2
13.3888	0.1
13.562	0.2
13.7844	0.2
13.8788	0.1
14.0572	0.2
14.2892	0.2
14.4076	0.1
14.6888	0.2
14.9992	0.2
15.1556	0.1
15.2912	0.2
15.5756	0.2
15.7176	0.1
15.8044	0.2
15.9776	0.2
16.1152	0.1
16.2372	0.2
16.428	0.2
16.5272	0.1
16.7404	0.2
16.9736	0.2
17.0548	0.1
17.2044	0.2
17.4072	0.2
17.5368	0.1
17.7244	0.2
17.95	0.2
18.0432	0.1
18.1972	0.2
18.3696	0.2
18.4608	0.1
18.6572	0.2
18.8748	0.2
19.0268	0.1
19.2372	0.2
19.4672	0.2
19.5812	0.1
19.6976	0.2
19.882	0.2
19.98	0.1
20.1332	0.2
20.3036	0.2
20.436	0.1
20.7148	0.2
20.966	0.2
21.018	0.1
21.1428	0.2
21.3472	0.2
21.576	0.1
21.8564	0.2
22.0296	0.2
22.1336	0.1
22.2492	0.2
22.4432	0.2
22.5712	0.1
22.734	0.2
22.948	0.2
23.0832	0.1
23.2556	0.2
23.4388	0.2
23.5756	0.1
23.7856	0.2
24.0504	0.2
24.1776	0.1
24.3752	0.2
24.482	0.2
24.5492	0.1
24.7408	0.2
24.9476	0.2
25.0388	0.1
25.2884	0.2
25.5628	0.2
25.7388	0.1
26.0156	0.2
26.1552	0.2
26.2368	0.1
26.3996	0.2
26.5284	0.2
26.6196	0.1
26.7924	0.2
26.9968	0.2
27.1428	0.1
27.3136	0.2
27.5112	0.2
27.6744	0.1
27.7848	0.2
27.966	0.2
28.0496	0.1
28.2424	0.2
28.496	0.2
28.722	0.1
28.8044	0.2
28.9816	0.2
29.1228	0.1
29.2544	0.1
29.3832	0.2
29.4856	0.1
29.5932	0.1
29.7288	0.1
29.9864	0.2
30.2632	0.1
30.524	0.1
30.6968	0.1
30.8048	0.2
30.8436	0.1
30.9316	0.1
30.9912	0.1
31.1296	0.2
31.1932	0.1
31.324	0.1
31.4476	0.1
31.5996	0.2
31.6832	0.1
31.7812	0.1
31.8688	0.1
32.0292	0.2
32.1836	0.1
32.2276	0.1
32.356	0.1
32.5244	0.2
32.5976	0.1
32.7616	0.1
32.922	0.1
33.0208	0.2
33.1232	0.1
33.2256	0.1
33.2972	0.1
33.4772	0.2
33.6556	0.1
33.8056	0.1
33.8468	0.1
34.0916	0.2
34.33	0.1
34.4812	0.1
34.512	0.1
34.6332	0.2
34.732	0.1
34.8012	0.1
34.8552	0.1
35.0036	0.2
35.096	0.1
35.212	0.1
35.3468	0.1
35.5568	0.2
35.6292	0.1
35.6964	0.1
35.7932	0.1
36.0272	0.2
36.2144	0.1
36.4028	0.1
36.4696	0.1
36.5896	0.2
36.6528	0.1
36.7364	0.1
36.8208	0.1
36.9844	0.2
37.1016	0.1
37.1796	0.1
37.3272	0.1
37.52	0.2
37.6068	0.1
37.6912	0.1
37.7912	0.1
37.9616	0.2
38.0544	0.1
38.1536	0.1
38.3248	0.1
38.4812	0.2
38.578	0.1
38.7796	0.1
38.8452	0.1
39.0416	0.2
39.2776	0.1
39.488	0.1
39.5332	0.1
39.6808	0.2
39.8748	0.1
39.9432	0.1
39.9868	0.1
40.1336	0.2
40.2064	0.1
40.2888	0.1
40.3696	0.1
40.528	0.2
40.6712	0.1
40.8204	0.1
40.8908	0.1
41.0532	0.2
41.1376	0.1
41.2192	0.1
41.3648	0.1
41.6412	0.2
41.7804	0.1
41.8212	0.1
41.9928	0.1
42.1844	0.2
42.2388	0.1
42.2996	0.1
42.3812	0.1
42.5416	0.2
42.6808	0.1
42.7772	0.1
42.9944	0.1
43.1148	0.2
43.1864	0.1
43.2688	0.1
43.3612	0.1
43.542	0.2
43.6912	0.1
43.7732	0.1
43.9264	0.1
44.0276	0.2
44.116	0.1
44.3232	0.1
44.4844	0.1
44.6296	0.2
44.6624	0.1
44.7332	0.1
44.7684	0.1
45.0096	0.2
45.1648	0.1
45.3696	0.1
45.568	0.1
45.6632	0.2
45.7572	0.1
45.8544	0.1
45.9364	0.1
46.032	0.2
46.1228	0.1
46.1964	0.1
46.2956	0.1
46.4168	0.2
46.518	0.1
46.5984	0.1
46.694	0.1
46.806	0.2
46.9072	0.1
46.9636	0.1
47.0284	0.1
47.104	0.2
47.144	0.1
47.1972	0.1
47.2492	0.1
47.3816	0.2
47.4676	0.1
47.606	0.1
47.7104	0.1
47.8928	0.2
47.9628	0.1
48.0096	0.1
48.0448	0.1
48.1228	0.2
48.1792	0.1
48.264	0.1
48.3168	0.1
48.4548	0.2
48.576	0.1
48.7212	0.1
48.902	0.1
48.938	0.2
49.1072	0.1
49.1896	0.1
49.234	0.1
49.2656	0.2
49.3804	0.1
49.438	0.1
49.5332	0.1
49.588	0.2
49.638	0.1
49.7468	0.1
49.852	0.1
49.9404	0.2
49.9768	0.1
50.012	0.1
50.0544	0.1
50.138	0.2
50.2092	0.1
50.2544	0.1
50.2892	0.1
50.3284	0.2
50.3464	0.1
50.3644	0.1
50.41	0.1
50.4932	0.2
50.5468	0.1
50.5592	0.1
50.592	0.1
50.6392	0.2
50.6852	0.1
50.7252	0.1
50.76	0.1
50.944	0.2
51.0864	0.1
51.2396	0.1
51.3672	0.1
51.4296	0.2
51.4444	0.1
51.4804	0.1
51.5004	0.1
51.5504	0.2
51.5872	0.1
51.6148	0.1
51.6464	0.1
51.8028	0.2
51.9248	0.1
52.0732	0.1
52.152	0.1
52.1864	0.2
52.2072	0.1
52.2492	0.1
52.2832	0.1
52.3888	0.2
52.4076	0.1
52.4912	0.1
52.54	0.1
52.6872	0.2
52.774	0.1
52.8532	0.1
52.9032	0.1
52.9744	0.2
53.0052	0.1
53.058	0.1
53.1452	0.1
53.3428	0.2
53.5112	0.1
53.602	0.1
53.6316	0.1
53.6884	0.2
53.7284	0.1
53.8088	0.1
53.8828	0.1
53.954	0.2
53.9932	0.1
54.0552	0.1
54.1348	0.1
54.3088	0.2
54.4152	0.1
54.552	0.1
54.682	0.1
54.7628	0.2
54.794	0.1
54.8244	0.1
54.866	0.1
54.9468	0.2
54.9888	0.1
55.07	0.1
55.1192	0.1
55.2244	0.2
55.2876	0.1
55.4232	0.2
55.568	0.2
55.704	0.2
55.7764	0.1
56.0024	0.2
56.2256	0.2
56.3264	0.1
56.3916	0.2
56.5412	0.2
56.6204	0.1
56.7232	0.2
56.8932	0.2
56.9892	0.1
57.1512	0.2
57.3168	0.2
57.388	0.1
57.5588	0.2
57.6884	0.2
57.79	0.1
57.9572	0.2
58.12	0.2
58.2068	0.1
58.3696	0.2
58.5156	0.2
58.6352	0.1
58.8032	0.2
58.986	0.2
59.064	0.1
59.1948	0.2
59.4212	0.2
59.6304	0.1
59.7548	0.2
60.0204	0.2
60.2036	0.1
60.332	0.2
60.434	0.2
60.504	0.1
60.6492	0.2
60.8204	0.2
60.9224	0.1
61.1172	0.2
61.3088	0.2
61.3856	0.1
61.5604	0.2
61.7564	0.2
61.8608	0.1
62.068	0.2
62.2108	0.2
