Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x17a0880
	Pos2dProxy:	0x17a5ca0
	Ranger:		0x17a5f80
	Map:		0x7ffdc11236e0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x17a62d0
	Pos2dProxy:	0x17a4620
	Ranger:		0x17a4900
	Map:		0x7ffdc1123740

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	6.7
3.1052	0.2
4.5016	0.2
5.1588	0.1
5.6792	0.2
5.966	0.2
6.1396	0.1
6.3428	0.2
6.462	0.2
6.6288	0.2
6.8708	0.2
7.056	0.2
7.2264	0.1
7.4456	0.2
7.63	0.2
7.7136	0.1
7.8216	0.2
7.948	0.2
8.0204	0.1
8.1672	0.2
8.3432	0.2
8.4432	0.1
8.6652	0.2
8.8872	0.2
9.0252	0.1
9.2116	0.2
9.3124	0.2
9.4772	0.1
9.6604	0.2
9.8176	0.2
10.0052	0.1
10.1964	0.2
10.294	0.2
10.404	0.1
10.56	0.2
10.7348	0.3
10.8716	0.2
11.0824	0.2
11.2516	0.1
11.5288	0.2
11.826	0.2
12.002	0.1
12.2828	0.2
12.488	0.2
12.59	0.1
12.8052	0.2
12.9684	0.2
13.15	0.1
13.2984	0.2
13.4316	0.2
13.618	0.1
13.7428	0.2
13.8212	0.2
13.9576	0.1
14.1308	0.2
14.384	0.1
14.6068	0.2
14.7376	0.2
14.9028	0.1
15.0308	0.2
15.0892	0.3
15.232	0.2
15.4224	0.2
15.5264	0.1
15.6712	0.2
15.7992	0.2
15.8836	0.1
16.01	0.2
16.2056	0.2
16.388	0.1
16.5348	0.2
16.6544	0.2
16.7204	0.1
16.7856	0.2
16.8564	0.2
16.9136	0.1
17.0132	0.2
17.1156	0.2
17.2096	0.1
17.3948	0.2
17.5464	0.2
17.6068	0.1
17.71	0.2
17.7848	0.2
17.9164	0.1
17.9628	0.2
18.0208	0.2
18.2504	0.1
18.428	0.2
18.5376	0.2
18.65	0.1
18.7928	0.2
18.9016	0.2
19.0036	0.1
19.1372	0.2
19.2172	0.2
19.3196	0.1
19.4696	0.2
19.5412	0.2
19.5776	0.1
19.6588	0.2
19.78	0.2
19.8452	0.1
19.8852	0.2
19.9956	0.2
20.0536	0.1
20.1108	0.2
20.246	0.2
20.3632	0.1
20.4708	0.2
20.5824	0.2
20.694	0.1
20.7948	0.2
20.8648	0.2
20.9456	0.1
21.0176	0.2
21.0936	0.2
21.1544	0.1
21.2484	0.2
21.2928	0.2
21.382	0.1
