Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x18a7880
	Pos2dProxy:	0x18acca0
	Ranger:		0x18acf80
	Map:		0x7ffe46cfee00

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x18ad2d0
	Pos2dProxy:	0x18ab620
	Ranger:		0x18ab900
	Map:		0x7ffe46cfee60

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x18aba90
	Pos2dProxy:	0x18ad440
	Ranger:		0x18ad720
	Map:		0x7ffe46cfeec0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x18ad8b0
	Pos2dProxy:	0x18adc60
	Ranger:		0x18adf40
	Map:		0x7ffe46cfef20

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x18ae0d0
	Pos2dProxy:	0x18ae440
	Ranger:		0x18ae720
	Map:		0x7ffe46cfef80

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x18ae8b0
	Pos2dProxy:	0x18aec20
	Ranger:		0x18aef00
	Map:		0x7ffe46cfefe0

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x18af090
	Pos2dProxy:	0x18af400
	Ranger:		0x18af6e0
	Map:		0x7ffe46cff040

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x18af870
	Pos2dProxy:	0x18afbe0
	Ranger:		0x18afec0
	Map:		0x7ffe46cff0a0

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x18b0050
	Pos2dProxy:	0x18b03c0
	Ranger:		0x18b06a0
	Map:		0x7ffe46cff100

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x18b0830
	Pos2dProxy:	0x18b0ba0
	Ranger:		0x18b0e80
	Map:		0x7ffe46cff160

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	8.2
7.1684	0.1
8.2924	0.2
8.73	0.3
9.0876	0.5
9.3508	0.2
9.61	0.3
9.8776	0.4
10.1132	0.1
10.4432	0.2
10.7216	0.3
10.9036	0.2
11.0796	0.2
11.3312	0.1
11.5804	0.2
11.7996	0.3
12.0672	0.2
12.2712	0.3
12.3888	0.2
12.57	0.2
12.9264	0.1
13.198	0.2
13.398	0.3
13.5152	0.2
13.7496	0.2
14.0144	0.1
14.2476	0.2
14.5556	0.3
14.7268	0.2
14.9148	0.2
15.1632	0.1
15.4868	0.2
15.8548	0.3
16.1832	0.2
16.4416	0.2
16.6516	0.1
16.9108	0.3
17.1152	0.2
17.3032	0.2
17.5332	0.1
17.8408	0.2
18.0756	0.3
18.3308	0.2
18.5912	0.2
18.742	0.1
18.9904	0.2
19.2476	0.3
19.4636	0.2
19.678	0.2
19.8092	0.1
19.9628	0.2
20.1416	0.3
20.2444	0.2
20.3844	0.2
20.4848	0.1
20.598	0.2
20.7416	0.2
20.9516	0.1
21.1504	0.2
21.3736	0.3
21.5012	0.2
21.6776	0.2
21.9124	0.1
22.2028	0.2
22.4456	0.3
22.6884	0.2
22.8772	0.2
23.0324	0.1
23.2888	0.2
23.5512	0.3
23.682	0.2
23.786	0.2
24.0264	0.1
24.2644	0.2
24.5004	0.3
24.7032	0.2
25.0336	0.2
25.3804	0.1
25.7212	0.2
25.9256	0.3
26.0788	0.2
26.3932	0.2
26.7036	0.1
27.1216	0.2
27.448	0.3
27.784	0.2
28.0652	0.2
28.3956	0.1
28.75	0.2
28.97	0.3
29.2572	0.2
29.4956	0.2
29.7624	0.1
30.1068	0.2
30.3536	0.3
30.552	0.2
30.7204	0.2
31.012	0.1
31.33	0.2
31.5788	0.3
