Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1ee7880
	Pos2dProxy:	0x1eecca0
	Ranger:		0x1eecf80
	Map:		0x7ffcfe04a200

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1eed2d0
	Pos2dProxy:	0x1eeb620
	Ranger:		0x1eeb900
	Map:		0x7ffcfe04a260

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1eeba90
	Pos2dProxy:	0x1eed440
	Ranger:		0x1eed720
	Map:		0x7ffcfe04a2c0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1eed8b0
	Pos2dProxy:	0x1eedc60
	Ranger:		0x1eedf40
	Map:		0x7ffcfe04a320

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1eee0d0
	Pos2dProxy:	0x1eee440
	Ranger:		0x1eee720
	Map:		0x7ffcfe04a380

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	10.1
5.2576	0.2
6.4464	0.2
6.9852	0.2
7.2624	0.1
7.4764	0.2
7.7236	0.2
7.8308	0.1
8.0432	0.2
8.2072	0.2
8.3096	0.1
8.5044	0.2
8.7104	0.2
8.9148	0.1
9.1432	0.2
9.4428	0.2
9.5624	0.1
9.7804	0.2
10.0268	0.2
10.1724	0.1
10.3476	0.2
10.4812	0.2
10.5432	0.1
10.6832	0.2
10.8204	0.2
10.9112	0.1
11.0904	0.2
11.2852	0.2
11.3872	0.1
11.6	0.2
11.7472	0.2
11.846	0.1
12.0112	0.2
12.216	0.2
12.3184	0.1
12.4808	0.2
12.5868	0.1
12.7444	0.2
12.9396	0.2
13.0492	0.1
13.2748	0.2
13.5072	0.2
13.6368	0.1
13.7956	0.2
14.0112	0.2
14.134	0.1
14.4772	0.2
14.766	0.2
15.0376	0.1
15.3476	0.2
15.5416	0.2
15.7352	0.1
15.9664	0.2
16.252	0.2
16.5236	0.1
16.8204	0.2
17.1352	0.2
17.3364	0.1
17.576	0.2
17.814	0.2
17.9336	0.1
18.1048	0.2
18.2452	0.2
18.3424	0.1
18.5772	0.2
18.8568	0.2
19.0336	0.1
19.2376	0.2
19.5852	0.2
19.7712	0.1
19.9664	0.2
20.1896	0.2
20.2912	0.1
20.5516	0.2
20.7656	0.2
20.8988	0.1
21.0512	0.2
21.3004	0.2
21.5328	0.1
21.8496	0.2
22.0216	0.2
22.2192	0.1
22.5732	0.2
22.8272	0.2
22.9328	0.1
23.2576	0.2
23.5872	0.2
23.7784	0.1
24.1348	0.2
24.4284	0.2
24.6088	0.1
25.0592	0.2
25.4724	0.2
25.8108	0.1
26.2	0.2
26.548	0.2
26.696	0.1
26.9748	0.2
27.2868	0.2
27.5328	0.1
28.0552	0.2
28.624	0.2
28.9532	0.1
29.4204	0.2
29.7808	0.2
30.0216	0.1
30.3968	0.2
30.6928	0.2
30.9224	0.1
31.2732	0.2
31.624	0.2
31.8772	0.1
32.2324	0.2
32.5352	0.2
32.7476	0.1
33.0856	0.2
33.5232	0.2
33.728	0.1
33.9812	0.2
34.2704	0.2
34.512	0.1
34.8428	0.2
35.2216	0.2
35.4544	0.1
36.018	0.2
36.3464	0.2
36.5968	0.1
36.8264	0.2
37.112	0.2
37.254	0.1
37.5444	0.2
37.8128	0.2
38.0496	0.1
38.2412	0.1
38.5356	0.2
38.6464	0.1
38.7872	0.1
38.97	0.1
39.1976	0.2
39.3812	0.1
39.6256	0.1
39.8652	0.1
40.0628	0.2
40.206	0.1
40.342	0.1
40.4716	0.1
40.6036	0.2
40.7644	0.1
40.9412	0.1
41.1256	0.1
41.242	0.2
41.3696	0.1
41.5172	0.1
41.6564	0.1
41.786	0.2
41.9076	0.1
42.0008	0.1
42.092	0.1
42.176	0.2
42.2452	0.1
42.3156	0.1
42.4648	0.1
42.5824	0.2
42.6916	0.1
42.8484	0.1
43.1328	0.1
43.3064	0.2
43.506	0.1
43.6212	0.1
43.8588	0.1
43.9864	0.2
44.124	0.1
44.2648	0.1
44.5188	0.1
44.7284	0.2
44.9052	0.1
45.0624	0.1
45.3052	0.1
45.4832	0.2
45.5668	0.1
45.692	0.1
45.9296	0.1
46.1712	0.2
46.2676	0.1
46.4772	0.1
46.8016	0.1
47.046	0.2
47.2484	0.1
47.5	0.1
47.8012	0.1
48.0688	0.2
48.2756	0.1
48.4712	0.1
48.7068	0.1
48.8128	0.2
48.9336	0.1
49.0516	0.1
49.2724	0.1
49.4472	0.2
49.646	0.1
49.818	0.1
50.1504	0.1
50.3932	0.2
50.6344	0.1
50.8592	0.1
51.0184	0.1
51.1456	0.2
51.3088	0.1
51.4556	0.1
51.698	0.1
51.928	0.2
52.1372	0.1
52.3208	0.1
52.4836	0.1
52.61	0.2
52.6776	0.1
52.7256	0.1
52.8444	0.1
52.9688	0.2
53.0788	0.1
53.1608	0.1
53.23	0.1
53.3772	0.2
53.4568	0.1
53.5408	0.1
53.698	0.1
53.8344	0.2
54.0212	0.1
54.1788	0.1
54.3716	0.1
54.514	0.2
54.644	0.1
54.7836	0.1
54.8248	0.1
54.8976	0.2
54.9692	0.1
55.0732	0.1
55.1744	0.1
55.2556	0.2
55.3308	0.1
55.4516	0.1
55.532	0.1
55.6552	0.2
55.838	0.1
55.9568	0.1
56.1172	0.1
56.294	0.2
56.4724	0.1
56.5804	0.1
56.7076	0.1
56.7636	0.2
56.8428	0.1
56.908	0.1
56.968	0.1
57.0228	0.2
57.11	0.1
57.2	0.2
57.2624	0.2
57.3068	0.1
57.4376	0.1
57.5748	0.1
