Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x134a880
	Pos2dProxy:	0x134fca0
	Ranger:		0x134ff80
	Map:		0x7ffc12c1f570

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x13502d0
	Pos2dProxy:	0x134e620
	Ranger:		0x134e900
	Map:		0x7ffc12c1f5d0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x134ea90
	Pos2dProxy:	0x1350440
	Ranger:		0x1350720
	Map:		0x7ffc12c1f630

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x13508b0
	Pos2dProxy:	0x1350c60
	Ranger:		0x1350f40
	Map:		0x7ffc12c1f690

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x13510d0
	Pos2dProxy:	0x1351440
	Ranger:		0x1351720
	Map:		0x7ffc12c1f6f0

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x13518b0
	Pos2dProxy:	0x1351c20
	Ranger:		0x1351f00
	Map:		0x7ffc12c1f750

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1352090
	Pos2dProxy:	0x1352400
	Ranger:		0x13526e0
	Map:		0x7ffc12c1f7b0

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1352870
	Pos2dProxy:	0x1352be0
	Ranger:		0x1352ec0
	Map:		0x7ffc12c1f810

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1353050
	Pos2dProxy:	0x13533c0
	Ranger:		0x13536a0
	Map:		0x7ffc12c1f870

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1353830
	Pos2dProxy:	0x1353ba0
	Ranger:		0x1353e80
	Map:		0x7ffc12c1f8d0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	5.1
6.5452	0.1
7.622	0.4
8.246	0.1
8.6964	0.2
8.9228	0.3
9.1444	0.2
9.3452	0.3
9.5084	0.2
9.7496	0.2
9.9544	0.1
10.2028	0.4
10.3668	0.1
10.5436	0.2
10.7532	0.2
10.9576	0.2
11.1364	0.2
11.2732	0.2
11.45	0.1
11.6276	0.2
11.7504	0.3
11.8932	0.2
11.9832	0.2
12.1464	0.3
12.382	0.2
12.5672	0.1
12.6996	0.2
12.816	0.3
12.9092	0.2
12.9932	0.3
13.064	0.2
13.1692	0.2
13.2316	0.1
13.3516	0.2
13.4744	0.3
13.5756	0.2
13.6984	0.3
13.7784	0.2
13.8352	0.2
13.9032	0.3
13.9472	0.2
13.9796	0.1
14.0368	0.2
14.1124	0.3
14.1688	0.2
14.1996	0.3
14.3044	0.2
14.372	0.2
14.4196	0.3
14.4744	0.2
14.612	0.1
14.7884	0.3
14.9404	0.2
14.9956	0.3
15.0512	0.2
15.1604	0.2
15.3392	0.1
15.4744	0.2
15.584	0.3
15.8164	0.2
16.03	0.3
16.2104	0.2
16.2756	0.2
16.4216	0.1
16.4724	0.4
16.6	0.1
16.6192	0.2
16.72	0.3
16.756	0.2
16.9028	0.2
17.0716	0.3
17.1988	0.2
17.3588	0.1
17.4084	0.2
17.5196	0.3
17.6372	0.2
17.6864	0.3
17.6972	0.2
17.72	0.2
17.7652	0.1
17.784	0.2
17.7988	0.3
17.8804	0.2
17.9384	0.3
18.0788	0.2
18.1312	0.2
18.2668	0.1
18.45	0.4
18.6396	0.1
18.8824	0.2
19.0168	0.3
19.3472	0.2
19.5028	0.3
19.7592	0.2
19.9144	0.2
20.02	0.1
20.2428	0.2
20.4208	0.3
20.7672	0.2
21.0376	0.3
21.134	0.2
21.3056	0.2
21.4028	0.3
21.498	0.2
21.6112	0.1
21.7216	0.2
21.8216	0.3
21.9836	0.2
22.1356	0.3
22.2344	0.2
22.3172	0.2
22.4712	0.1
22.6108	0.2
22.7424	0.3
22.8684	0.2
22.9448	0.3
23.1224	0.2
23.3488	0.2
23.4068	0.1
23.488	0.2
23.6832	0.3
23.7124	0.2
23.7824	0.3
23.8604	0.2
23.9368	0.2
23.9784	0.2
24.0852	0.3
24.1024	0.2
24.1336	0.2
24.1392	0.3
24.1716	0.2
24.1796	0.2
24.1864	0.1
24.1936	0.3
24.1972	0.2
24.2032	0.3
24.2204	0.2
24.2448	0.2
24.2848	0.2
24.32	0.1
24.3364	0.4
24.3636	0.1
24.3956	0.3
24.4004	0.2
24.4136	0.2
24.4424	0.2
24.4636	0.3
24.4724	0.2
24.4736	0.1
24.4768	0.3
24.4768	0.2
24.4916	0.3
24.4948	0.2
24.5028	0.2
24.51	0.2
24.5112	0.1
24.5252	0.4
24.5388	0.1
24.5432	0.3
24.5492	0.2
24.5588	0.2
24.562	0.3
24.58	0.2
24.5812	0.2
24.588	0.1
24.6	0.3
24.602	0.2
24.61	0.3
24.6124	0.2
24.6188	0.2
24.6228	0.2
24.624	0.3
24.626	0.2
24.6344	0.1
24.6344	0.3
24.6344	0.2
24.6356	0.3
24.6368	0.2
24.6396	0.2
24.6484	0.2
24.6652	0.1
24.6756	0.3
24.6824	0.2
24.69	0.3
24.694	0.2
24.6964	0.2
24.6984	0.2
24.7	0.3
24.7072	0.2
24.7096	0.1
24.7148	0.3
24.7168	0.2
24.7176	0.2
24.722	0.3
24.7312	0.2
24.7372	0.2
24.7372	0.1
24.7396	0.4
24.7412	0.1
24.7536	0.3
24.7608	0.2
24.7716	0.2
24.7764	0.3
24.7784	0.2
24.788	0.2
24.788	0.1
24.7888	0.3
24.79	0.2
24.7904	0.3
24.7924	0.2
24.7924	0.2
24.7956	0.2
24.7972	0.3
24.798	0.2
24.8016	0.1
24.8184	0.3
24.8192	0.2
24.82	0.3
24.8608	0.2
24.8648	0.2
24.8676	0.2
24.87	0.1
24.8728	0.4
24.8732	0.1
24.8736	0.3
24.8736	0.2
24.8736	0.3
24.8752	0.2
24.876	0.4
24.876	0.3
24.876	0.1
24.876	0.2
24.8792	0.4
24.8792	0.3
24.8792	0.3
24.88	0.3
24.8876	0.4
24.9028	0.3
24.912	0.3
24.9172	0.4
24.922	0.3
24.922	0.3
24.9232	0.4
24.9232	0.3
24.9232	0.3
24.9232	0.2
24.9232	0.5
24.9236	0.3
24.9296	0.2
24.9308	0.4
24.9308	0.4
24.9332	0.2
24.9332	0.4
24.9332	0.4
24.9332	0.2
24.9352	0.4
24.9384	0.4
24.94	0.2
24.942	0.4
24.942	0.3
24.9424	0.3
24.9432	0.2
24.9436	0.5
24.944	0.3
24.9448	0.2
24.9536	0.5
24.954	0.3
24.9612	0.2
24.9612	0.3
24.9612	0.4
24.9612	0.3
24.9612	0.3
24.9612	0.4
24.9612	0.3
24.9616	0.3
24.9628	0.2
24.9652	0.3
24.966	0.5
24.966	0.2
24.9688	0.3
24.9716	0.5
24.9716	0.2
24.9732	0.3
24.9732	0.4
24.9736	0.3
24.9776	0.3
24.9784	0.2
24.98	0.3
24.98	0.5
24.9816	0.2
24.9824	0.3
24.9848	0.4
24.9876	0.3
24.9908	0.3
24.9916	0.4
24.9928	0.3
24.9968	0.3
24.998	0.4
24.998	0.3
24.9984	0.3
24.9984	0.2
24.9988	0.3
24.9988	0.5
25.0028	0.2
25.0028	0.3
25.022	0.5
25.022	0.2
25.0252	0.3
25.0268	0.5
25.0272	0.2
25.03	0.3
25.03	0.4
25.032	0.3
25.038	0.3
25.0432	0.4
25.0504	0.3
25.0536	0.3
25.0536	0.2
25.0536	0.5
25.0536	0.3
25.054	0.2
25.0552	0.5
25.0572	0.3
25.0728	0.2
25.09	0.3
25.1144	0.4
25.1284	0.3
25.1748	0.3
25.2188	0.4
25.2488	0.3
25.2948	0.3
25.3072	0.2
25.3348	0.5
25.344	0.3
25.4336	0.2
25.5872	0.5
25.7872	0.3
25.9108	0.2
26.0984	0.3
26.2548	0.4
26.2924	0.3
26.3292	0.3
26.3904	0.2
26.438	0.3
26.4584	0.5
26.4728	0.2
26.486	0.3
26.5292	0.5
26.6204	0.2
26.698	0.3
26.8056	0.4
26.9104	0.3
27.0788	0.3
27.1956	0.4
27.3112	0.3
27.456	0.3
27.5908	0.2
27.634	0.3
27.8316	0.4
28.04	0.3
28.1892	0.3
28.4184	0.4
28.6808	0.3
28.93	0.3
29.0924	0.4
29.3212	0.3
29.6116	0.3
29.9052	0.4
30.1284	0.3
30.3424	0.3
30.6256	0.2
30.8908	0.3
31.1644	0.5
31.4352	0.2
31.722	0.3
31.9788	0.5
32.2616	0.2
32.456	0.3
32.7664	0.4
32.9976	0.3
33.1524	0.3
33.3996	0.4
33.7176	0.3
33.8372	0.3
33.956	0.2
34.106	0.5
34.204	0.3
34.3832	0.2
34.4816	0.5
34.5748	0.3
34.6624	0.2
34.7348	0.3
34.7444	0.4
34.7524	0.3
34.7608	0.3
34.7724	0.4
34.7804	0.3
34.8096	0.3
34.8292	0.2
34.8428	0.5
34.8704	0.3
34.8772	0.2
34.8828	0.5
34.8904	0.3
34.8924	0.2
34.896	0.3
34.8992	0.4
34.9028	0.3
34.9044	0.3
34.9064	0.4
34.9096	0.3
34.91	0.3
34.9128	0.2
34.9204	0.3
34.922	0.5
34.9452	0.2
34.9468	0.3
34.9476	0.5
34.9484	0.2
34.9664	0.3
34.9676	0.4
34.9992	0.3
35.0096	0.3
35.0192	0.2
35.0348	0.3
35.0412	0.5
35.056	0.2
35.0804	0.3
35.0932	0.4
35.1192	0.3
35.1252	0.3
35.1532	0.4
35.1636	0.3
35.1876	0.3
35.1888	0.4
35.1912	0.3
35.2004	0.3
35.202	0.2
35.2024	0.3
35.2108	0.5
35.2128	0.2
35.2128	0.3
35.2132	0.5
35.2136	0.2
35.2292	0.3
35.2296	0.5
35.2308	0.2
35.2316	0.3
35.234	0.4
35.24	0.3
35.24	0.3
35.2404	0.4
35.2624	0.3
35.2628	0.3
35.2628	0.2
35.2808	0.5
35.2868	0.2
35.2976	0.4
35.302	0.3
35.3024	0.2
35.3032	0.5
35.3036	0.3
35.3148	0.2
35.3172	0.5
35.318	0.3
35.3196	0.2
35.3204	0.3
35.3232	0.5
35.3236	0.2
35.3248	0.3
35.3276	0.4
35.3296	0.3
35.3296	0.3
35.33	0.4
35.3324	0.3
35.3396	0.3
35.3524	0.4
35.3556	0.3
35.3636	0.3
35.3636	0.2
35.376	0.3
35.3768	0.5
35.3772	0.2
35.3772	0.3
35.3776	0.4
35.3776	0.3
35.3792	0.3
35.3792	0.4
35.3792	0.3
35.3804	0.3
35.3804	0.4
35.3836	0.3
35.3844	0.3
35.3844	0.2
35.3844	0.3
35.3844	0.4
35.3844	0.3
35.3884	0.3
35.3888	0.4
35.4036	0.3
35.404	0.3
35.4072	0.2
35.4072	0.5
35.4076	0.3
35.4084	0.2
35.4084	0.5
35.4092	0.3
35.4092	0.2
35.4092	0.3
35.4156	0.4
35.4168	0.3
35.4168	0.3
35.4168	0.2
35.42	0.3
35.4204	0.5
35.4212	0.2
35.4212	0.3
35.424	0.5
35.4384	0.2
35.4384	0.3
35.4384	0.4
35.4384	0.3
35.44	0.3
35.44	0.4
35.4424	0.3
35.4428	0.3
35.4428	0.2
35.4484	0.3
35.4484	0.5
35.4484	0.2
35.4504	0.3
35.4512	0.5
35.4564	0.2
35.4628	0.3
35.4628	0.4
35.4628	0.3
35.464	0.3
35.466	0.4
35.4664	0.3
35.4668	0.3
35.4672	0.2
35.4688	0.5
35.4688	0.3
35.4712	0.2
35.4712	0.5
35.4712	0.3
35.4712	0.2
35.4712	0.3
35.4728	0.4
35.4728	0.3
35.4728	0.3
35.4728	0.4
35.4728	0.3
35.4728	0.3
35.474	0.2
35.474	0.5
35.474	0.3
35.4744	0.2
35.4792	0.5
35.4796	0.3
35.48	0.2
35.4804	0.3
35.4804	0.4
35.4804	0.3
35.4804	0.3
35.4804	0.4
35.4804	0.3
35.4808	0.3
35.4808	0.2
35.4808	0.3
35.4808	0.5
35.4808	0.2
35.4812	0.3
35.4812	0.5
35.4812	0.2
35.482	0.3
35.482	0.4
35.4836	0.3
35.4836	0.3
35.4836	0.2
35.4836	0.3
35.484	0.5
35.484	0.2
35.484	0.3
35.488	0.4
35.488	0.3
35.488	0.3
35.488	0.4
35.4884	0.3
35.4884	0.3
35.4884	0.4
35.4884	0.3
35.4884	0.3
35.4884	0.2
35.4884	0.3
35.4888	0.5
35.4888	0.2
35.4888	0.3
35.4936	0.4
35.4936	0.3
35.4936	0.3
35.4936	0.4
35.4936	0.3
35.4936	0.3
35.4936	0.4
35.4936	0.3
35.4936	0.3
35.4936	0.2
35.4936	0.3
35.4936	0.5
35.4936	0.2
35.4944	0.3
35.4944	0.5
35.4944	0.2
35.4964	0.3
35.4964	0.4
35.4964	0.3
35.4972	0.3
35.4972	0.4
35.4992	0.3
35.4996	0.3
35.5016	0.2
35.5024	0.3
35.5024	0.5
35.5024	0.2
35.5024	0.3
35.5032	0.5
35.5032	0.2
35.5032	0.3
35.5032	0.4
35.5032	0.3
35.5032	0.3
35.5032	0.4
35.5044	0.3
35.5048	0.3
35.5048	0.2
35.5048	0.3
35.5064	0.5
35.5064	0.2
35.5076	0.3
35.5076	0.5
35.508	0.2
35.508	0.3
35.5084	0.4
35.5084	0.3
35.5084	0.3
35.5084	0.4
35.5104	0.3
35.5104	0.3
35.5116	0.2
35.5116	0.3
35.5116	0.4
35.512	0.3
35.5124	0.3
35.5124	0.4
35.5148	0.3
35.5148	0.3
35.5148	0.4
35.5148	0.3
35.5152	0.3
35.5152	0.4
35.5152	0.3
35.5156	0.3
35.5156	0.2
35.5156	0.3
35.5156	0.5
35.5156	0.2
35.5156	0.3
35.5156	0.5
35.5156	0.2
35.5156	0.3
35.5156	0.4
35.516	0.3
35.516	0.3
35.516	0.4
35.516	0.3
35.516	0.3
35.5168	0.2
35.5168	0.3
35.5168	0.5
35.5168	0.2
35.5168	0.3
35.5168	0.5
35.5168	0.2
35.5168	0.3
35.5168	0.4
35.5168	0.3
35.5168	0.3
35.5172	0.4
35.5172	0.3
35.5172	0.3
35.5176	0.2
35.5176	0.3
35.5176	0.5
35.5176	0.2
35.5176	0.3
35.5176	0.5
35.5176	0.2
35.5176	0.3
35.5176	0.4
35.5176	0.3
35.5176	0.3
35.5176	0.2
35.5176	0.3
35.5176	0.5
35.5176	0.2
35.5184	0.3
35.5184	0.4
35.5184	0.3
35.5192	0.3
35.5192	0.4
35.5192	0.3
35.522	0.3
35.522	0.4
35.5224	0.3
35.5224	0.3
35.5232	0.2
35.5232	0.3
35.5232	0.4
35.5232	0.3
35.5232	0.3
35.5236	0.4
35.5236	0.3
35.5236	0.3
35.5236	0.4
35.524	0.3
35.5248	0.3
35.5248	0.2
35.5248	0.5
35.5248	0.3
35.5248	0.2
35.5248	0.3
35.5248	0.4
35.5248	0.3
35.5248	0.3
35.5252	0.4
35.5252	0.3
35.5252	0.3
35.5256	0.4
35.5256	0.3
35.5256	0.3
35.5256	0.2
35.526	0.5
35.526	0.3
35.526	0.2
35.526	0.3
35.526	0.4
35.5264	0.3
35.5264	0.3
35.5268	0.4
35.5268	0.3
35.5268	0.3
35.5276	0.4
35.5276	0.3
35.5276	0.3
35.5276	0.2
35.532	0.3
35.532	0.5
35.532	0.2
35.532	0.3
35.532	0.4
35.532	0.3
35.532	0.3
35.532	0.4
35.532	0.3
35.532	0.3
35.5324	0.4
35.5324	0.3
35.5324	0.3
35.5324	0.2
35.5324	0.3
35.5324	0.4
35.5324	0.3
35.5324	0.3
35.5324	0.4
35.5324	0.3
35.5324	0.3
35.5324	0.4
35.5328	0.3
35.5328	0.3
35.5328	0.4
35.5328	0.3
35.5328	0.3
35.5328	0.2
35.5328	0.3
35.5328	0.4
35.5328	0.3
35.5328	0.3
35.5328	0.4
35.5356	0.3
35.5364	0.3
35.5364	0.4
35.5364	0.3
35.5364	0.3
35.5368	0.2
35.5368	0.5
35.5368	0.3
35.5368	0.2
35.5368	0.3
35.5368	0.4
35.5368	0.3
35.5368	0.3
35.5376	0.4
35.54	0.3
35.54	0.3
35.5416	0.4
35.5416	0.3
35.5484	0.3
35.5484	0.2
35.5484	0.5
35.5484	0.3
35.5484	0.2
35.5484	0.3
35.5484	0.4
35.5488	0.3
35.5492	0.3
35.5504	0.4
35.5504	0.3
35.5504	0.3
35.5504	0.4
35.5504	0.3
35.5504	0.3
35.5504	0.2
35.5504	0.3
35.5504	0.5
35.5504	0.2
35.5504	0.3
35.5504	0.4
35.5508	0.3
35.5508	0.3
35.5532	0.4
35.5532	0.3
35.5536	0.3
35.556	0.4
35.556	0.3
