Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1cf7880
	Pos2dProxy:	0x1cfcca0
	Ranger:		0x1cfcf80
	Map:		0x7ffe8afd2760

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1cfd2d0
	Pos2dProxy:	0x1cfb620
	Ranger:		0x1cfb900
	Map:		0x7ffe8afd27c0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1cfba90
	Pos2dProxy:	0x1cfd440
	Ranger:		0x1cfd720
	Map:		0x7ffe8afd2820

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1cfd8b0
	Pos2dProxy:	0x1cfdc60
	Ranger:		0x1cfdf40
	Map:		0x7ffe8afd2880

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1cfe0d0
	Pos2dProxy:	0x1cfe440
	Ranger:		0x1cfe720
	Map:		0x7ffe8afd28e0

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x1cfe8b0
	Pos2dProxy:	0x1cfec20
	Ranger:		0x1cfef00
	Map:		0x7ffe8afd2940

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1cff090
	Pos2dProxy:	0x1cff400
	Ranger:		0x1cff6e0
	Map:		0x7ffe8afd29a0

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1cff870
	Pos2dProxy:	0x1cffbe0
	Ranger:		0x1cffec0
	Map:		0x7ffe8afd2a00

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1d00050
	Pos2dProxy:	0x1d003c0
	Ranger:		0x1d006a0
	Map:		0x7ffe8afd2a60

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1d00830
	Pos2dProxy:	0x1d00ba0
	Ranger:		0x1d00e80
	Map:		0x7ffe8afd2ac0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	8.2
6.5968	0.1
7.8268	0.5
8.3412	0.4
8.684	0.5
9.0012	0.3
9.3864	0.5
9.7988	0.3
10.268	0.5
10.6688	0.4
10.9648	0.3
11.3424	0.2
11.6072	0.3
11.9	0.5
12.1616	0.5
12.4436	0.5
12.7392	0.5
12.9896	0.5
13.2712	0.3
13.4748	0.5
13.6024	0.3
13.7608	0.5
13.9064	0.2
13.9952	0.5
14.1612	0.3
14.2608	0.2
14.3324	0.5
14.3916	0.3
14.4448	0.4
14.552	0.3
14.6092	0.3
14.7368	0.4
14.9572	0.3
15.2232	0.3
15.4852	0.5
15.71	0.2
15.9488	0.3
16.134	0.5
16.46	0.4
16.7768	0.3
17.0488	0.3
17.2996	0.4
17.638	0.3
18.0312	0.3
18.3068	0.5
18.4876	0.2
18.6636	0.3
18.9144	0.5
19.252	0.2
19.5252	0.5
19.7668	0.3
20.0296	0.4
20.3192	0.3
20.4916	0.3
20.6756	0.5
20.7784	0.2
20.9252	0.5
21.1592	0.3
21.3828	0.2
21.5936	0.5
21.7572	0.3
22.0004	0.4
22.1816	0.3
22.4144	0.3
22.654	0.5
22.8612	0.4
23.0228	0.5
23.242	0.4
23.5052	0.5
24.0764	0.3
24.2784	0.5
24.628	0.5
24.9008	0.5
25.1292	0.5
25.3032	0.4
25.4672	0.3
25.6144	0.3
25.7996	0.5
26.0888	0.3
26.3576	0.4
26.6136	0.3
26.8444	0.4
27.148	0.3
27.332	0.3
27.638	0.4
27.8932	0.3
28.204	0.3
28.4636	0.4
28.6988	0.4
28.9632	0.2
29.2336	0.4
29.5772	0.4
29.8744	0.2
30.1916	0.5
30.4944	0.3
30.7856	0.4
31.0756	0.3
31.442	0.3
31.7084	0.4
32.0492	0.3
32.3048	0.4
32.5068	0.3
32.7192	0.3
32.97	0.3
33.2184	0.2
33.4344	0.4
33.5896	0.3
33.8596	0.2
34.0212	0.3
34.146	0.3
34.2196	0.4
34.264	0.3
34.3016	0.3
34.37	0.3
34.4244	0.2
34.4524	0.3
34.476	0.2
34.4956	0.4
34.5116	0.1
34.5288	0.4
34.54	0.3
34.542	0.2
34.5496	0.3
34.5656	0.3
34.5672	0.3
34.5704	0.2
34.5752	0.4
34.5788	0.1
34.6064	0.4
34.6144	0.3
34.6352	0.3
34.6572	0.2
34.6736	0.3
34.6964	0.3
34.7064	0.2
34.7144	0.3
34.7348	0.2
34.7636	0.4
34.7744	0.1
34.7984	0.4
34.8228	0.1
34.8228	0.4
34.856	0.3
34.8588	0.3
34.8596	0.2
34.866	0.3
34.8724	0.3
34.8724	0.2
34.8764	0.4
34.8768	0.1
34.8952	0.4
34.918	0.3
34.932	0.3
34.9516	0.2
34.9636	0.3
34.9676	0.3
34.9728	0.2
34.9804	0.3
34.9924	0.2
34.9992	0.3
35.0084	0.2
35.0288	0.4
35.0316	0.1
35.0404	0.4
35.0408	0.3
35.0412	0.3
35.0564	0.3
35.0612	0.2
35.0804	0.3
35.0884	0.2
35.1056	0.2
35.1412	0.3
35.1572	0.4
35.1888	0.3
35.2072	0.2
35.2456	0.3
35.258	0.2
35.278	0.3
35.3164	0.3
35.3432	0.2
35.3668	0.3
35.3788	0.2
35.3868	0.3
35.3976	0.2
35.4032	0.3
35.4056	0.4
35.4112	0.1
35.438	0.4
35.44	0.3
35.4416	0.2
35.4492	0.3
35.4568	0.3
35.488	0.2
35.5224	0.3
35.5296	0.2
35.5296	0.3
35.5384	0.4
35.5564	0.1
35.5752	0.4
35.5764	0.3
35.5972	0.2
35.6124	0.3
35.6208	0.3
35.6208	0.2
35.6228	0.3
35.6244	0.2
35.628	0.3
35.6368	0.2
35.638	0.3
35.638	0.4
35.64	0.1
35.6408	0.4
35.6412	0.3
35.648	0.2
35.6536	0.3
35.656	0.3
35.6644	0.2
35.6864	0.3
35.6976	0.5
35.7152	0.5
35.7208	0.4
35.742	0.5
35.7584	0.3
35.7632	0.5
35.788	0.5
35.8	0.5
35.8012	0.5
35.8028	0.5
35.8128	0.3
35.8264	0.5
35.8264	0.5
35.8264	0.5
35.8264	0.5
35.8336	0.5
35.8368	0.5
35.8504	0.5
35.8588	0.5
35.868	0.4
35.8784	0.3
35.8852	0.5
35.8928	0.5
35.9	0.5
35.9116	0.5
35.9152	0.5
35.9152	0.5
35.9396	0.3
35.9424	0.5
35.9424	0.5
35.9424	0.5
35.9456	0.5
35.9464	0.4
35.9488	0.5
35.9572	0.5
35.9672	0.5
35.9772	0.3
35.9788	0.5
35.9972	0.5
35.998	0.5
35.9984	0.5
36	0.5
36.0048	0.5
36.0096	0.5
36.0248	0.3
36.044	0.5
36.0588	0.5
36.0628	0.5
36.068	0.5
36.0772	0.5
36.0796	0.5
36.0808	0.5
36.088	0.5
36.0924	0.5
36.1076	0.4
36.1096	0.5
36.1172	0.5
36.1392	0.5
36.2212	0.3
36.262	0.5
36.302	0.5
36.366	0.5
36.3952	0.5
36.4316	0.5
36.4636	0.5
36.5296	0.5
36.6012	0.3
36.7024	0.5
36.7956	0.5
36.9428	0.5
37.0704	0.5
37.1944	0.4
37.3476	0.5
37.4712	0.5
37.5804	0.5
37.6652	0.3
37.7844	0.5
37.86	0.5
38.0292	0.5
38.1656	0.5
38.2844	0.5
38.3924	0.5
38.4528	0.3
38.6432	0.5
38.7652	0.5
38.8964	0.5
39.1856	0.5
39.5536	0.5
39.8792	0.4
40.1628	0.5
40.3312	0.5
40.586	0.5
40.8672	0.3
41.0216	0.5
41.23	0.5
41.4684	0.5
41.66	0.5
41.7244	0.5
41.8148	0.3
41.9452	0.5
42.048	0.5
42.108	0.5
42.2148	0.5
42.31	0.4
42.38	0.5
42.484	0.5
42.5368	0.3
42.6324	0.5
42.752	0.6
42.8032	0.3
42.8528	0.5
42.9232	0.5
43.0548	0.5
43.1544	0.5
43.272	0.5
43.4408	0.4
43.6228	0.5
43.8452	0.5
43.9628	0.5
44.1576	0.3
44.2604	0.5
44.3404	0.5
44.412	0.5
44.4388	0.5
44.4584	0.5
44.4644	0.5
44.4784	0.3
44.4896	0.5
44.5492	0.5
44.5968	0.5
44.6432	0.5
44.6972	0.5
45.33	0.5
45.838	0.5
46.5116	0.5
46.9284	0.4
47.3896	0.5
47.8696	0.3
48.2432	0.5
48.6384	0.5
48.9988	0.5
49.4764	0.5
49.816	0.5
50.376	0.5
50.888	0.5
51.2772	0.5
51.7916	0.3
52.2604	0.5
52.8	0.5
53.3152	0.5
53.7672	0.5
54.2196	0.5
54.7552	0.4
55.14	0.5
55.5364	0.3
55.8304	0.5
56.3084	0.5
56.6464	0.5
56.882	0.5
57.1556	0.5
57.478	0.3
57.81	0.5
58.1372	0.5
58.5184	0.5
58.7772	0.5
59.082	0.5
59.4012	0.5
59.6932	0.5
60.0664	0.5
60.4456	0.4
60.7664	0.3
61.1604	0.5
61.3748	0.5
61.7836	0.5
62.0428	0.5
62.254	0.5
62.4416	0.5
62.516	0.3
62.6056	0.5
62.6892	0.5
62.7888	0.5
62.8416	0.5
62.8984	0.4
62.9324	0.5
62.9808	0.5
63.0132	0.5
63.018	0.3
63.0316	0.5
63.0388	0.5
63.0532	0.5
63.0556	0.5
63.0732	0.5
63.0864	0.5
63.0872	0.5
63.088	0.3
63.088	0.5
63.0884	0.5
63.0908	0.5
63.1032	0.5
63.1032	0.5
63.1036	0.5
63.1036	0.5
63.1036	0.5
63.1036	0.4
63.1044	0.3
63.1096	0.5
63.128	0.5
63.1308	0.5
63.1312	0.5
63.132	0.5
63.1344	0.5
63.1536	0.3
63.1792	0.5
63.2048	0.5
63.2548	0.5
63.2876	0.5
63.3228	0.5
63.3272	0.5
63.3304	0.5
63.3316	0.4
63.35	0.3
63.3556	0.5
63.3644	0.5
63.3712	0.5
63.38	0.5
63.3928	0.5
63.396	0.5
63.396	0.3
63.396	0.5
63.3992	0.5
63.4008	0.5
63.4036	0.5
63.4192	0.5
63.4272	0.5
63.4324	0.4
63.4356	0.5
63.4456	0.3
63.4608	0.5
63.4608	0.5
63.4788	0.5
63.4812	0.5
63.4812	0.5
63.4812	0.5
63.4848	0.3
63.4876	0.5
63.488	0.5
63.5256	0.5
63.54	0.5
63.5504	0.5
63.568	0.4
63.5684	0.5
63.5708	0.5
63.5712	0.5
63.5736	0.3
63.5736	0.5
63.5764	0.5
63.5888	0.5
63.59	0.5
63.5976	0.5
63.61	0.3
63.6268	0.5
63.6324	0.5
63.6348	0.5
63.6432	0.5
63.644	0.5
63.6456	0.5
63.6484	0.5
63.6484	0.5
63.6544	0.5
63.6596	0.5
63.664	0.4
63.6732	0.5
63.6768	0.5
63.6856	0.5
63.6896	0.5
63.744	0.3
63.7748	0.5
63.7896	0.5
63.8152	0.5
63.8388	0.5
63.8576	0.5
63.8948	0.3
63.9312	0.5
63.9648	0.5
63.9772	0.5
63.984	0.5
64.0024	0.5
64.0144	0.5
64.0156	0.5
64.0244	0.5
64.0304	0.5
64.0324	0.5
64.034	0.4
64.0388	0.3
64.042	0.5
64.0508	0.5
64.0512	0.5
64.0572	0.5
64.0636	0.5
64.0668	0.5
64.0684	0.3
64.0688	0.5
64.0688	0.5
64.0688	0.5
64.0736	0.5
64.074	0.4
64.074	0.5
64.0744	0.5
64.0784	0.5
64.0812	0.3
64.084	0.5
64.0856	0.5
64.0884	0.5
64.0892	0.5
64.0916	0.5
64.0916	0.5
64.0916	0.3
64.0916	0.5
64.092	0.5
64.094	0.5
64.0956	0.5
64.0968	0.5
64.1104	0.4
64.114	0.5
64.1148	0.5
64.116	0.5
64.1216	0.3
64.1292	0.5
64.1388	0.5
64.1392	0.5
64.1572	0.5
64.1644	0.5
64.1992	0.3
64.2512	0.5
64.2948	0.5
