Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x145e880
	Pos2dProxy:	0x1463ca0
	Ranger:		0x1463f80
	Map:		0x7ffde82f8d00

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x14642d0
	Pos2dProxy:	0x1462620
	Ranger:		0x1462900
	Map:		0x7ffde82f8d60

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	5.8
2.7688	0.1
4.144	0.2
4.7916	0.1
5.0168	0.2
5.3108	0.2
5.6388	0.1
5.8644	0.2
6.0564	0.2
6.18	0.1
6.2924	0.2
6.3968	0.2
6.4896	0.1
6.6488	0.2
6.8008	0.2
7.02	0.2
7.218	0.2
7.444	0.2
7.576	0.1
7.7436	0.2
7.9696	0.2
8.0568	0.1
8.2144	0.2
8.3468	0.2
8.44	0.1
8.5648	0.2
8.7188	0.2
8.836	0.1
8.9788	0.2
9.116	0.2
9.2068	0.1
9.3712	0.2
9.5208	0.2
9.5888	0.1
9.7292	0.2
9.8684	0.2
9.9352	0.1
10.0868	0.2
10.2648	0.2
10.3708	0.1
10.4996	0.2
10.6712	0.2
10.78	0.1
10.8868	0.2
11.0848	0.2
11.2264	0.1
11.416	0.2
11.5608	0.2
11.6816	0.1
11.8612	0.2
11.9724	0.2
12.0752	0.1
12.1904	0.2
12.3216	0.2
12.368	0.1
12.4548	0.2
12.5748	0.2
12.7008	0.1
12.766	0.2
12.8272	0.2
12.8916	0.1
12.964	0.2
12.9784	0.1
13.0208	0.2
13.0628	0.2
13.1164	0.1
13.194	0.2
13.316	0.2
13.4112	0.1
13.452	0.2
13.4948	0.2
13.5856	0.1
13.6188	0.2
13.6348	0.2
13.6892	0.1
13.7116	0.2
13.742	0.2
13.8176	0.1
13.8684	0.2
13.924	0.2
14.0216	0.1
14.0808	0.2
14.1664	0.2
14.2208	0.1
14.254	0.2
14.298	0.2
14.3216	0.1
14.348	0.2
14.3788	0.2
14.3888	0.1
14.4312	0.2
14.4572	0.2
14.4672	0.1
14.4928	0.2
14.5056	0.2
14.53	0.1
14.5544	0.2
14.56	0.2
14.5668	0.1
14.574	0.2
14.5752	0.2
14.5792	0.1
14.5832	0.2
14.5896	0.2
14.5896	0.1
14.6204	0.2
14.6232	0.2
14.6232	0.1
14.6236	0.2
14.6244	0.2
14.628	0.1
14.6308	0.2
14.6308	0.2
14.6308	0.1
14.6316	0.2
14.6316	0.2
14.6348	0.1
14.6348	0.2
14.638	0.2
14.6416	0.1
14.6452	0.2
14.6504	0.2
14.6524	0.1
14.6524	0.2
14.6532	0.2
14.6548	0.1
14.656	0.2
14.6608	0.2
14.6644	0.1
14.6664	0.2
14.6684	0.2
14.6732	0.1
14.6732	0.2
14.674	0.2
14.674	0.1
14.6752	0.2
14.6756	0.2
14.6764	0.1
14.6768	0.2
14.6776	0.2
14.6836	0.1
14.694	0.2
14.694	0.2
14.6952	0.1
14.6952	0.2
14.696	0.2
14.6968	0.1
14.6972	0.2
14.6992	0.2
14.7	0.1
14.7008	0.2
14.7008	0.2
14.7012	0.1
14.7012	0.2
14.7016	0.2
14.702	0.1
14.7028	0.2
14.7036	0.2
14.704	0.1
14.7048	0.1
14.706	0.2
14.7068	0.1
14.7076	0.1
14.7084	0.1
14.7084	0.2
14.7084	0.1
14.7084	0.1
14.7084	0.1
14.7088	0.2
14.7088	0.1
14.7088	0.1
14.7088	0.1
14.7096	0.2
14.71	0.1
14.7112	0.1
14.7112	0.1
14.712	0.2
14.7132	0.1
14.7144	0.1
14.7148	0.1
14.716	0.2
14.7164	0.1
14.7164	0.1
14.7164	0.1
14.7164	0.2
14.7164	0.1
14.7164	0.1
14.7164	0.1
14.7168	0.2
14.7168	0.1
14.7168	0.1
14.7168	0.1
14.7176	0.2
14.7176	0.1
14.7176	0.1
14.7192	0.1
14.7196	0.2
14.7196	0.1
14.72	0.1
14.7216	0.1
14.7216	0.2
14.7216	0.1
14.722	0.1
14.722	0.1
14.722	0.2
14.722	0.1
14.722	0.1
14.7224	0.1
14.724	0.2
14.724	0.1
14.7248	0.1
14.7252	0.1
14.7256	0.2
14.7264	0.1
14.7264	0.1
14.7268	0.1
14.7272	0.2
14.7272	0.1
14.7272	0.1
14.7272	0.1
14.7272	0.2
14.7272	0.1
14.7272	0.1
14.7272	0.1
14.7272	0.2
14.7272	0.1
14.7276	0.1
14.7276	0.1
14.7276	0.2
14.7276	0.1
14.7348	0.1
14.7368	0.1
14.7376	0.2
14.7404	0.1
14.7404	0.1
14.7404	0.1
14.7416	0.2
14.742	0.1
14.742	0.1
14.7468	0.1
14.7472	0.2
14.7476	0.1
14.7492	0.1
14.756	0.1
14.7572	0.2
14.7584	0.1
14.7588	0.1
14.7588	0.1
14.7588	0.2
14.7596	0.1
14.76	0.1
14.7664	0.1
14.7664	0.2
14.7664	0.1
14.7664	0.1
14.7664	0.1
14.7664	0.2
14.7668	0.1
14.7672	0.1
14.7672	0.1
14.7672	0.2
14.7672	0.1
14.7672	0.1
14.7672	0.1
14.768	0.2
14.7688	0.1
14.7688	0.1
14.7688	0.1
14.7688	0.2
14.7692	0.1
14.7692	0.1
14.7692	0.1
14.7696	0.2
14.7696	0.1
14.7696	0.1
14.7708	0.1
14.7708	0.2
14.7708	0.1
14.7708	0.1
14.7708	0.1
14.7708	0.2
14.7708	0.1
14.7716	0.1
14.7716	0.1
14.7812	0.2
14.7992	0.1
14.8016	0.1
14.8292	0.1
14.8336	0.2
14.8576	0.1
14.8716	0.1
14.9364	0.1
14.9464	0.2
14.9536	0.1
14.9648	0.1
14.9828	0.1
14.9896	0.2
15.006	0.1
15.0288	0.1
15.0428	0.1
15.0784	0.2
15.1192	0.1
15.1564	0.1
15.1572	0.1
15.1612	0.2
15.1628	0.1
15.1676	0.1
15.172	0.1
15.174	0.2
15.1808	0.1
15.1816	0.1
15.1816	0.1
15.1816	0.2
15.1816	0.1
15.1828	0.1
15.184	0.1
15.1856	0.2
15.186	0.1
15.1864	0.1
15.1872	0.1
15.1876	0.2
15.188	0.1
15.1884	0.1
15.1884	0.1
15.1892	0.2
15.1892	0.1
15.1908	0.1
15.1912	0.1
15.192	0.2
15.1924	0.1
15.1928	0.1
15.1932	0.1
