Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1c84880
	Pos2dProxy:	0x1c89ca0
	Ranger:		0x1c89f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1c8a300
	Pos2dProxy:	0x1c88620
	Ranger:		0x1c88900
Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1c8ab90
	Pos2dProxy:	0x1c8a3d0
	Ranger:		0x1c8a690
Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1c8b420
	Pos2dProxy:	0x1c8a910
	Ranger:		0x1c8ae60
Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1c8bac0
	Pos2dProxy:	0x1c8b540
	Ranger:		0x1c8b7c0
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	10
4.76	0.2
6.0344	0.1
6.5716	0.2
6.9208	0.2
7.1764	0.1
7.4464	0.2
7.652	0.3
7.8212	0.2
8.0576	0.2
8.2932	0.1
8.4804	0.2
8.6624	0.2
8.8504	0.1
9.0108	0.2
9.11	0.3
9.2948	0.2
9.4196	0.2
9.5172	0.1
9.7224	0.2
9.9532	0.2
10.1368	0.1
10.2496	0.2
10.328	0.2
10.5676	0.1
10.7756	0.2
10.8488	0.3
11.0468	0.2
11.2852	0.2
11.5	0.1
11.6964	0.2
11.7964	0.2
11.9556	0.1
12.0444	0.2
12.1472	0.1
12.2728	0.2
12.342	0.3
12.4788	0.2
12.5736	0.2
12.6076	0.1
12.7056	0.2
12.844	0.2
12.9792	0.1
13.122	0.2
13.1948	0.2
13.2768	0.1
13.3036	0.2
13.3532	0.3
13.4348	0.2
13.4904	0.2
13.5424	0.1
13.5924	0.2
13.664	0.2
13.7824	0.1
13.864	0.2
13.8852	0.3
13.9668	0.2
14.0828	0.2
14.1464	0.1
14.238	0.2
14.3072	0.2
14.3736	0.1
14.4336	0.2
14.4892	0.2
14.5632	0.1
14.6272	0.2
14.6992	0.2
14.7744	0.1
14.876	0.2
14.9564	0.3
15.0084	0.2
15.0556	0.2
15.2036	0.1
15.3084	0.2
15.3856	0.2
15.4648	0.1
15.5216	0.2
15.6036	0.3
15.6332	0.2
15.7788	0.2
15.8352	0.1
15.8836	0.2
15.9816	0.2
16.1372	0.1
16.2592	0.2
16.3664	0.2
16.5044	0.1
16.5768	0.2
16.7588	0.3
16.9528	0.2
17.1136	0.2
17.3036	0.1
17.488	0.2
17.6944	0.2
17.7488	0.1
17.888	0.2
18.2068	0.2
18.452	0.1
18.7988	0.2
19.1836	0.3
19.6148	0.2
19.812	0.2
19.9284	0.1
20.1924	0.2
20.3528	0.2
20.4732	0.1
20.664	0.2
20.7716	0.2
20.8244	0.1
20.9208	0.2
21.162	0.2
21.276	0.1
21.3412	0.2
21.3956	0.3
21.4804	0.2
21.5332	0.2
21.5528	0.1
21.63	0.2
21.808	0.2
21.95	0.1
22.038	0.2
22.088	0.2
22.1896	0.2
22.4144	0.2
22.6956	0.2
22.9596	0.1
23.1484	0.2
23.366	0.1
23.4876	0.1
23.7224	0.1
24.0428	0.3
24.19	0.2
24.3528	0.3
24.5264	0.1
24.7296	0.1
24.9872	0.3
25.1868	0.2
25.3224	0.2
25.5984	0.1
25.806	0.1
26.0332	0.1
26.2044	0.2
26.4216	0.2
26.5616	0.1
26.7288	0.2
26.9456	0.2
27.0932	0.1
27.2472	0.3
27.4388	0.1
27.5344	0.1
27.5812	0.3
27.682	0.1
27.7764	0.1
27.8256	0.3
28.0028	0.2
28.2276	0.2
28.4932	0.2
28.7068	0.1
28.8892	0.2
29.0656	0.3
29.1232	0.2
29.2768	0.1
29.3952	0.1
29.5196	0.1
29.6076	0.3
29.6456	0.2
29.7456	0.3
29.8408	0.1
29.8864	0.1
30.0204	0.3
30.1764	0.2
30.2824	0.2
30.4376	0.1
30.5152	0.2
30.6488	0.2
30.8896	0.1
31.0708	0.1
31.2568	0.1
31.3252	0.2
31.3928	0.2
31.6332	0.1
31.8556	0.2
32.0884	0.2
32.2224	0.1
32.2764	0.2
32.4568	0.2
32.6328	0.1
32.684	0.2
32.7084	0.2
32.7948	0.1
32.8636	0.3
32.9852	0.2
33.0608	0.3
33.074	0.2
33.1656	0.2
33.2104	0.1
33.2476	0.2
33.268	0.2
33.2788	0.1
33.3008	0.1
33.3296	0.1
33.3404	0.2
33.3464	0.2
33.398	0.1
33.4548	0.2
33.4952	0.2
33.5132	0.1
33.552	0.2
33.5824	0.2
33.6036	0.1
33.626	0.2
33.6376	0.2
33.6716	0.1
33.7012	0.3
33.708	0.2
33.7336	0.3
33.7396	0.1
33.7448	0.1
33.7568	0.3
33.7656	0.1
33.7836	0.1
33.7964	0.3
33.8152	0.2
33.8356	0.2
33.866	0.1
33.9048	0.2
33.9292	0.2
33.9324	0.2
33.9384	0.1
33.9476	0.2
33.9724	0.2
34.0412	0.1
34.0712	0.2
34.1168	0.2
34.156	0.1
34.2136	0.2
34.2752	0.1
34.3092	0.1
34.3272	0.1
34.4016	0.3
34.4688	0.1
34.5148	0.1
34.548	0.3
34.6352	0.2
34.7032	0.3
34.7236	0.1
34.752	0.1
34.8532	0.3
34.9792	0.1
35.0296	0.1
35.1	0.2
35.2212	0.2
35.298	0.1
35.4228	0.2
35.5268	0.2
35.6952	0.1
35.85	0.2
35.9	0.2
36.0396	0.1
36.2488	0.2
36.43	0.2
36.526	0.1
36.6212	0.2
36.7832	0.2
37.0416	0.1
37.244	0.2
37.576	0.2
37.8416	0.1
38.002	0.3
38.268	0.2
38.4628	0.2
38.5328	0.1
38.6284	0.2
38.8396	0.3
38.9924	0.2
39.1528	0.2
39.2968	0.1
39.4132	0.2
39.5396	0.2
39.6308	0.1
39.7848	0.2
39.8976	0.2
40.0228	0.1
40.18	0.1
40.2448	0.1
40.2796	0.2
40.344	0.2
40.3696	0.1
40.4464	0.2
40.5076	0.2
40.5784	0.1
40.6556	0.2
40.6948	0.2
40.7552	0.1
40.9676	0.2
41.256	0.2
41.6228	0.1
41.9652	0.3
42.0848	0.2
42.2604	0.3
42.3632	0.2
42.4812	0.2
42.522	0.1
42.6636	0.2
42.7488	0.2
42.8332	0.1
42.9116	0.2
42.982	0.2
43.022	0.2
43.106	0.1
43.1952	0.2
43.2792	0.2
43.3584	0.1
43.4672	0.2
43.504	0.2
43.566	0.1
43.6136	0.2
43.684	0.3
43.7344	0.2
43.7424	0.2
43.7444	0.1
43.8304	0.2
43.8512	0.2
43.8684	0.1
43.8912	0.2
43.8976	0.2
43.9072	0.1
43.9708	0.2
44.0104	0.2
44.0304	0.1
44.0472	0.2
44.058	0.3
44.0608	0.2
44.0784	0.2
44.1196	0.1
44.2068	0.2
44.2752	0.2
44.346	0.1
44.4448	0.2
44.5256	0.3
44.5968	0.2
44.6624	0.2
44.7012	0.1
44.7288	0.2
44.75	0.2
44.7744	0.1
44.8088	0.2
44.8416	0.3
44.8488	0.2
44.8504	0.2
44.8512	0.1
44.8544	0.2
44.8576	0.2
44.8624	0.1
44.8652	0.2
44.8732	0.3
44.8772	0.2
44.8848	0.2
44.886	0.1
44.8888	0.2
44.8924	0.2
44.9196	0.1
44.9344	0.2
44.9432	0.3
44.9688	0.2
44.9768	0.2
44.98	0.1
44.9944	0.2
45.004	0.2
45.0056	0.1
45.0092	0.2
45.0124	0.2
45.0192	0.1
45.0236	0.2
45.024	0.2
45.024	0.1
46.1736	0.2
46.9368	0.3
47.2248	0.2
47.4096	0.2
47.846	0.1
48.0576	0.2
48.3372	0.2
48.4356	0.1
48.536	0.2
48.5852	0.2
48.682	0.1
48.8684	0.2
49.1096	0.2
49.242	0.1
49.3912	0.2
49.5276	0.3
49.59	0.2
49.6292	0.2
49.654	0.1
49.6912	0.2
49.7664	0.2
49.8384	0.1
50.0204	0.2
50.1688	0.2
50.2884	0.1
50.3996	0.2
50.5492	0.2
50.64	0.1
50.7272	0.2
50.7912	0.3
50.9252	0.2
51.0432	0.2
51.1412	0.1
51.2592	0.2
51.3404	0.2
51.4204	0.1
51.5364	0.2
51.6056	0.2
51.6996	0.1
51.8276	0.2
51.9464	0.3
52.0664	0.2
52.2292	0.2
52.3432	0.1
52.4732	0.2
52.5876	0.2
52.724	0.1
52.8456	0.2
52.9536	0.3
53.0508	0.2
53.102	0.2
53.1504	0.1
53.2472	0.2
53.3764	0.3
53.4908	0.2
53.604	0.2
53.6548	0.1
53.7584	0.2
53.9116	0.2
53.9684	0.1
54.0756	0.2
54.3252	0.3
54.5456	0.2
54.5988	0.2
54.6464	0.1
54.71	0.2
54.8256	0.2
54.8784	0.1
55.0232	0.2
55.0992	0.2
55.1148	0.1
55.2752	0.2
55.3056	0.3
55.404	0.2
55.4356	0.2
55.5016	0.1
55.5628	0.2
55.5788	0.2
55.5996	0.1
55.6424	0.2
55.6512	0.2
55.6536	0.1
55.6848	0.2
55.706	0.2
55.7148	0.1
55.7196	0.2
55.7216	0.3
55.7548	0.2
55.7772	0.2
55.7816	0.1
55.7908	0.2
55.7988	0.2
55.8024	0.1
55.8036	0.2
55.8052	0.2
55.8088	0.1
55.8108	0.2
55.8128	0.2
55.8132	0.1
55.8132	0.2
55.8148	0.3
55.8188	0.2
55.8192	0.2
55.8192	0.1
55.82	0.2
55.8208	0.2
55.8232	0.1
55.824	0.2
55.8244	0.2
55.8252	0.1
55.8268	0.2
55.83	0.2
55.844	0.1
55.852	0.2
55.8556	0.3
55.8576	0.2
55.858	0.2
55.8588	0.1
55.8612	0.2
55.8616	0.2
55.862	0.1
55.862	0.2
55.8636	0.3
55.864	0.2
55.8656	0.2
55.8656	0.1
55.8656	0.2
55.8668	0.2
55.8672	0.1
55.8676	0.2
55.8676	0.3
55.868	0.2
55.8684	0.2
55.8764	0.1
55.9052	0.2
55.9124	0.3
55.9496	0.2
55.9664	0.2
55.972	0.1
55.992	0.2
56.0028	0.2
56.0052	0.1
56.0052	0.2
56.0052	0.3
56.006	0.2
56.006	0.2
56.0112	0.1
56.0112	0.2
56.0124	0.2
56.014	0.1
56.0144	0.2
56.0144	0.2
56.0148	0.1
56.0156	0.2
56.016	0.3
56.0176	0.2
56.0184	0.2
56.0192	0.1
56.0192	0.2
56.0216	0.2
56.0216	0.1
56.0228	0.2
56.0232	0.2
56.0232	0.1
56.0232	0.2
56.024	0.2
56.0244	0.1
56.0248	0.2
56.0256	0.3
56.0256	0.2
56.0256	0.2
56.026	0.1
56.0264	0.2
56.0264	0.2
56.0268	0.1
56.0268	0.2
56.0272	0.2
56.0272	0.1
56.0288	0.2
56.0308	0.2
56.0312	0.1
56.034	0.2
56.034	0.3
56.0356	0.2
56.0356	0.2
56.0356	0.1
56.036	0.2
56.036	0.2
56.036	0.1
56.036	0.2
56.036	0.2
56.036	0.1
56.0424	0.2
56.0424	0.2
56.0424	0.1
56.0424	0.2
56.0424	0.3
56.0424	0.2
56.0428	0.2
56.0432	0.1
56.0432	0.2
56.0432	0.2
56.0432	0.1
56.0452	0.2
56.0456	0.2
56.046	0.1
56.046	0.2
56.0464	0.3
56.0468	0.2
56.0468	0.2
56.0468	0.1
56.0472	0.2
56.0472	0.2
56.0472	0.1
56.0472	0.2
56.0472	0.3
56.0476	0.2
56.0488	0.2
56.0488	0.1
56.0488	0.2
56.0488	0.2
56.0488	0.1
56.0488	0.2
56.0488	0.3
56.0492	0.2
56.0492	0.2
56.0492	0.1
56.0492	0.2
56.0492	0.2
56.0492	0.1
56.0496	0.2
56.0496	0.2
56.0496	0.1
56.0508	0.2
56.0516	0.3
56.0532	0.2
56.0532	0.2
56.0536	0.1
56.0604	0.2
56.0604	0.2
56.0604	0.1
56.0604	0.2
56.0612	0.2
56.0616	0.1
56.0616	0.2
56.0628	0.2
56.0628	0.1
56.0628	0.2
56.0628	0.3
56.0632	0.2
56.0632	0.2
56.0636	0.1
56.0716	0.2
56.0768	0.2
56.078	0.1
56.0784	0.2
56.0784	0.2
56.0784	0.1
56.0788	0.2
56.08	0.2
56.082	0.1
56.084	0.2
56.086	0.3
56.086	0.2
56.0864	0.2
56.0864	0.1
56.0868	0.2
56.0868	0.2
56.0868	0.1
56.0872	0.2
56.0924	0.2
56.0952	0.1
56.096	0.2
56.0988	0.2
56.0988	0.1
56.0996	0.2
56.1032	0.3
56.1076	0.2
56.1092	0.2
56.1096	0.1
56.1096	0.2
56.1104	0.2
56.1104	0.2
56.1108	0.2
56.1108	0.2
56.1108	0.1
56.1108	0.2
56.1112	0.3
56.1116	0.2
56.1144	0.2
56.1144	0.1
56.1144	0.2
56.1192	0.2
56.1192	0.1
56.1192	0.2
56.1196	0.2
56.1196	0.1
56.1196	0.2
56.1196	0.3
56.1196	0.2
56.1196	0.2
56.1196	0.1
56.1196	0.2
56.1196	0.2
56.12	0.1
56.12	0.2
56.1216	0.3
56.1216	0.2
56.122	0.2
56.122	0.1
56.122	0.2
56.122	0.2
56.122	0.1
56.1228	0.2
56.1236	0.2
56.126	0.1
56.126	0.2
56.126	0.3
56.1284	0.2
56.1328	0.2
56.1372	0.1
56.1404	0.2
56.1444	0.2
56.152	0.1
56.1604	0.2
56.1636	0.2
56.1644	0.1
56.1644	0.2
56.1664	0.2
56.1664	0.1
56.1668	0.2
56.1716	0.3
56.1716	0.2
56.1764	0.2
56.1784	0.1
56.1804	0.2
56.1808	0.2
56.1828	0.1
56.2012	0.2
56.2052	0.2
56.2208	0.1
56.2268	0.2
56.2332	0.2
56.2504	0.1
56.274	0.2
56.3	0.3
56.3092	0.2
56.3244	0.2
56.3564	0.1
56.378	0.2
56.406	0.2
56.416	0.1
56.4272	0.2
56.4308	0.3
56.4368	0.2
56.4424	0.2
56.4488	0.1
56.4524	0.2
56.4524	0.2
56.4524	0.1
56.4524	0.2
56.4528	0.2
56.4528	0.1
56.4528	0.2
56.4528	0.3
56.4528	0.2
56.4528	0.2
56.4528	0.1
56.4528	0.2
56.4532	0.2
56.4532	0.1
56.4532	0.2
56.4532	0.3
56.454	0.2
56.454	0.2
56.4548	0.1
56.4548	0.2
56.4548	0.2
56.4548	0.1
56.466	0.2
56.4728	0.2
56.4776	0.1
56.4788	0.2
56.4836	0.3
56.4944	0.2
56.4992	0.2
56.512	0.1
56.5204	0.2
56.53	0.2
56.5364	0.1
56.54	0.2
56.5412	0.2
56.5432	0.1
56.544	0.2
56.544	0.3
56.5448	0.2
56.5468	0.2
56.5472	0.1
56.548	0.2
56.5488	0.2
56.5504	0.1
56.5532	0.2
56.5548	0.2
56.5572	0.1
56.5588	0.2
56.562	0.2
56.562	0.1
56.5652	0.2
56.5692	0.3
56.5712	0.2
56.5724	0.2
56.5724	0.1
56.5728	0.2
56.5732	0.2
56.5748	0.1
56.5784	0.2
56.5792	0.2
56.58	0.1
56.58	0.2
56.5964	0.2
56.5964	0.1
57.226	0.2
57.3432	0.3
57.6748	0.2
58.0948	0.2
58.2936	0.1
58.5776	0.2
58.7392	0.2
58.7876	0.1
58.8516	0.2
58.8836	0.2
58.9936	0.1
59.0856	0.2
59.1536	0.3
59.2564	0.2
59.3984	0.2
59.4856	0.1
59.5404	0.2
59.564	0.2
59.6136	0.1
59.6716	0.2
59.6908	0.3
59.7596	0.2
59.8892	0.2
60.0136	0.1
60.1024	0.2
60.1308	0.2
60.2764	0.1
60.3672	0.2
60.4316	0.2
60.4608	0.1
60.4968	0.2
60.5676	0.3
60.6144	0.2
60.6376	0.2
60.6656	0.1
60.6932	0.2
60.7076	0.2
60.734	0.1
60.7584	0.2
60.7832	0.2
60.8016	0.1
60.8084	0.2
60.8136	0.3
60.8148	0.2
60.8204	0.2
60.826	0.1
60.8296	0.2
60.8332	0.2
60.8348	0.1
60.836	0.2
60.8388	0.3
60.8404	0.2
60.8428	0.2
60.8528	0.1
60.856	0.2
60.8724	0.2
60.876	0.1
60.876	0.2
60.876	0.2
60.876	0.1
60.8892	0.2
60.8916	0.3
60.91	0.2
60.91	0.2
60.91	0.1
60.91	0.2
60.91	0.2
60.91	0.1
60.91	0.2
60.91	0.2
60.9108	0.1
60.9108	0.2
60.9108	0.2
60.9108	0.1
60.922	0.2
60.922	0.3
60.922	0.2
60.9224	0.2
60.9236	0.1
60.9236	0.2
60.924	0.2
60.9244	0.1
60.9244	0.2
60.9264	0.2
60.9276	0.1
60.9276	0.2
60.9276	0.2
60.9292	0.1
60.9336	0.2
60.936	0.3
60.9388	0.2
60.9404	0.2
60.9476	0.1
60.9524	0.2
60.9556	0.2
60.962	0.1
60.9652	0.2
60.97	0.3
60.9732	0.2
60.9816	0.2
60.9868	0.1
60.9868	0.2
60.9872	0.2
60.9872	0.1
60.9872	0.2
60.9872	0.2
60.988	0.1
60.988	0.2
60.9904	0.2
60.9904	0.1
60.9916	0.2
60.9916	0.3
60.9916	0.2
60.9916	0.2
60.996	0.1
60.996	0.2
60.996	0.2
60.996	0.1
61.0072	0.2
61.0128	0.3
61.0344	0.2
61.0492	0.2
61.0536	0.1
61.0656	0.2
61.0712	0.2
61.0784	0.1
61.0972	0.2
61.1176	0.3
61.1256	0.2
61.1348	0.2
61.1396	0.1
61.1444	0.2
61.152	0.2
61.1604	0.1
61.172	0.2
61.1816	0.2
61.1832	0.1
61.184	0.2
61.186	0.3
61.1904	0.2
61.1952	0.2
61.2152	0.1
61.216	0.2
61.2168	0.2
61.2176	0.1
61.2188	0.2
61.2224	0.2
61.2376	0.1
