Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x648880
	Pos2dProxy:	0x64dca0
	Ranger:		0x64df80
	Map:		0x7ffe89289fe0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x64e2d0
	Pos2dProxy:	0x64c620
	Ranger:		0x64c900
	Map:		0x7ffe8928a040

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x64ca90
	Pos2dProxy:	0x64e440
	Ranger:		0x64e720
	Map:		0x7ffe8928a0a0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x64e8b0
	Pos2dProxy:	0x64ec60
	Ranger:		0x64ef40
	Map:		0x7ffe8928a100

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x64f0d0
	Pos2dProxy:	0x64f440
	Ranger:		0x64f720
	Map:		0x7ffe8928a160

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	21.3
4.8588	0.2
6.076	0.1
6.4628	0.2
6.8096	0.2
7.1276	0.1
7.4008	0.2
7.5672	0.2
7.7132	0.1
7.9176	0.2
8.0952	0.2
8.202	0.1
8.3464	0.2
8.478	0.2
8.776	0.1
9.048	0.2
9.246	0.2
9.4536	0.1
9.6388	0.2
9.7648	0.2
9.8984	0.1
10.0504	0.2
10.1716	0.3
10.3112	0.2
10.4052	0.2
10.4756	0.1
10.6148	0.2
10.7888	0.2
10.9572	0.1
11.1488	0.2
11.3272	0.2
11.4076	0.1
11.552	0.2
11.646	0.2
11.688	0.1
11.7888	0.2
11.914	0.2
12.0152	0.1
12.1352	0.2
12.218	0.2
12.3504	0.1
12.5156	0.2
12.6224	0.2
12.7836	0.1
12.8696	0.2
12.9196	0.2
12.9848	0.1
13.09	0.2
13.1808	0.2
13.3688	0.1
13.5052	0.2
13.5852	0.2
13.6556	0.1
13.7316	0.2
13.7848	0.3
13.8424	0.2
13.896	0.2
13.9324	0.1
13.9888	0.2
14.0556	0.2
14.1084	0.1
14.1328	0.2
14.1696	0.2
14.2072	0.1
14.2868	0.1
14.3168	0.3
14.3388	0.1
14.3936	0.1
14.4708	0.2
14.4972	0.2
14.594	0.1
14.7428	0.2
14.8504	0.1
14.8948	0.1
14.9904	0.1
15.076	0.3
15.1392	0.1
15.19	0.1
