Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1335880
	Pos2dProxy:	0x133aca0
	Ranger:		0x133af80
	Map:		0x7ffd31d7e910

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x133b2d0
	Pos2dProxy:	0x1339620
	Ranger:		0x1339900
	Map:		0x7ffd31d7e970

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1339a90
	Pos2dProxy:	0x133b440
	Ranger:		0x133b720
	Map:		0x7ffd31d7e9d0

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x133b8b0
	Pos2dProxy:	0x133bc60
	Ranger:		0x133bf40
	Map:		0x7ffd31d7ea30

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x133c0d0
	Pos2dProxy:	0x133c440
	Ranger:		0x133c720
	Map:		0x7ffd31d7ea90

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	17
4.6628	0.1
5.8984	0.2
6.5236	0.2
6.8688	0.1
7.1528	0.2
7.374	0.2
7.59	0.1
7.7308	0.2
7.8368	0.2
8.0244	0.1
8.2116	0.2
8.3448	0.2
8.5768	0.1
8.8076	0.2
8.9316	0.2
9.0724	0.1
9.2036	0.2
9.332	0.2
9.5472	0.1
9.698	0.2
9.7928	0.2
9.8984	0.1
10.0492	0.2
10.1616	0.3
10.3064	0.2
10.4916	0.2
10.6016	0.1
10.7812	0.2
10.9252	0.2
11.0136	0.1
11.1796	0.2
11.3604	0.2
11.4792	0.1
11.6612	0.2
11.864	0.2
12.0144	0.1
12.1828	0.2
12.3312	0.2
12.4132	0.1
12.516	0.2
12.6004	0.2
12.7768	0.1
12.9012	0.2
12.9664	0.3
13.0448	0.2
13.1116	0.2
13.1396	0.1
13.1816	0.2
13.2604	0.2
13.3244	0.1
13.36	0.2
13.3988	0.2
13.4916	0.1
13.5432	0.2
13.5732	0.2
13.6308	0.1
13.6592	0.2
13.7176	0.3
13.7972	0.2
13.8492	0.2
13.9104	0.1
13.9608	0.2
14.0548	0.2
14.1044	0.1
14.1268	0.2
14.1812	0.2
14.2636	0.1
14.3712	0.2
14.4536	0.2
14.5292	0.1
14.6544	0.2
14.7328	0.2
14.7796	0.1
14.8508	0.2
14.914	0.3
14.9992	0.2
15.0744	0.2
15.1504	0.1
15.3928	0.2
15.5076	0.2
15.586	0.1
15.6852	0.2
15.8252	0.2
15.892	0.1
16.0868	0.2
16.3416	0.2
16.384	0.2
16.4524	0.2
16.674	0.1
16.8576	0.1
16.9736	0.1
17.2112	0.2
17.3748	0.2
17.6448	0.1
17.9	0.2
18.1952	0.1
18.4796	0.1
18.9464	0.1
19.1484	0.3
19.4772	0.1
19.6576	0.1
19.92	0.2
20.068	0.2
20.186	0.1
20.2704	0.2
20.4316	0.1
20.464	0.2
20.4872	0.2
20.5684	0.1
20.8292	0.1
20.9216	0.1
21.0148	0.2
21.092	0.2
21.1404	0.1
21.188	0.2
21.2244	0.2
21.3252	0.1
21.4264	0.2
21.4788	0.1
21.5656	0.1
21.6068	0.1
21.708	0.3
21.784	0.1
21.8204	0.1
22.016	0.2
22.2612	0.2
22.4484	0.1
22.5524	0.2
22.7636	0.1
22.9456	0.2
23.074	0.2
23.222	0.1
23.4492	0.1
23.7076	0.1
23.7972	0.2
23.8552	0.2
24.0924	0.1
24.316	0.2
24.5484	0.1
24.7092	0.1
24.8824	0.1
25.0936	0.3
25.1676	0.1
25.3052	0.1
25.4064	0.2
25.5716	0.2
25.7704	0.1
25.8748	0.2
25.9432	0.1
26.0352	0.1
26.2432	0.1
26.352	0.3
26.5228	0.1
26.7088	0.1
26.946	0.2
27.1792	0.2
27.4096	0.1
27.64	0.2
27.8004	0.1
27.9184	0.1
28.0668	0.1
28.134	0.3
28.29	0.1
28.4148	0.1
28.4788	0.2
28.5368	0.1
28.6072	0.2
28.8	0.2
28.9064	0.1
28.9716	0.1
29.0884	0.1
29.2604	0.2
29.46	0.1
29.674	0.1
29.7872	0.1
29.9896	0.2
30.1744	0.2
30.3152	0.1
30.4044	0.3
30.5576	0.1
30.6916	0.1
30.8056	0.2
30.9156	0.1
31.0328	0.2
31.1848	0.2
31.3092	0.1
31.4136	0.1
31.528	0.1
31.6176	0.2
31.7076	0.2
31.766	0.1
31.8892	0.2
32.0052	0.1
32.0932	0.2
32.2352	0.2
32.3396	0.1
32.4524	0.1
32.6816	0.1
32.8212	0.2
32.8972	0.1
32.9348	0.2
33.1288	0.2
33.2592	0.1
33.3772	0.1
33.502	0.1
33.5944	0.2
33.6388	0.2
33.7144	0.1
33.7788	0.2
33.8104	0.1
33.8544	0.2
33.9452	0.2
34.0148	0.1
34.072	0.1
34.0936	0.1
34.1196	0.3
34.1328	0.1
34.1436	0.1
34.162	0.2
34.172	0.1
34.1844	0.2
34.1952	0.2
34.2052	0.1
34.2088	0.1
34.214	0.1
34.2184	0.2
34.2192	0.2
34.2204	0.1
34.234	0.2
34.2516	0.1
34.276	0.1
34.2916	0.1
34.308	0.3
34.3276	0.1
34.3488	0.1
34.3628	0.2
34.3644	0.2
34.3652	0.1
34.3676	0.2
34.3684	0.2
34.3688	0.1
34.3752	0.2
34.378	0.1
34.3816	0.1
34.382	0.1
34.3844	0.3
34.3912	0.1
34.402	0.1
34.404	0.2
34.404	0.1
34.4088	0.2
34.4128	0.2
34.4192	0.1
34.4252	0.1
34.4268	0.1
34.4352	0.3
34.4416	0.1
34.4648	0.1
34.4728	0.2
34.4816	0.1
34.4888	0.1
34.4944	0.1
34.504	0.2
34.5056	0.1
34.51	0.1
34.522	0.1
34.5308	0.2
34.538	0.2
34.5472	0.1
34.5568	0.2
34.5672	0.1
34.58	0.2
34.5904	0.3
34.6076	0.1
34.6188	0.1
34.6364	0.2
34.6444	0.2
34.648	0.1
34.662	0.2
34.6788	0.1
34.6816	0.2
34.6856	0.2
34.6868	0.1
34.6896	0.1
34.6912	0.1
34.6928	0.2
34.6948	0.1
34.7048	0.1
34.71	0.1
34.7128	0.2
34.716	0.1
34.7204	0.2
34.7208	0.3
34.7212	0.1
34.7236	0.1
34.7244	0.2
34.7292	0.2
34.732	0.1
34.7336	0.2
34.7336	0.1
34.7336	0.2
34.7336	0.2
34.7344	0.2
34.7424	0.1
34.7552	0.2
34.7584	0.3
34.782	0.2
34.7928	0.2
34.8036	0.1
34.8064	0.2
34.8108	0.2
34.8108	0.1
34.8128	0.2
34.8128	0.2
34.814	0.1
34.82	0.2
34.82	0.2
34.8248	0.1
34.8248	0.2
34.8264	0.2
34.8264	0.1
34.8272	0.2
34.828	0.2
34.8292	0.1
34.844	0.2
34.844	0.3
34.8752	0.2
34.8928	0.2
34.9112	0.1
34.9264	0.2
34.9496	0.2
34.9648	0.1
34.988	0.2
35.0032	0.2
35.0156	0.1
35.028	0.2
35.048	0.2
35.052	0.1
35.0576	0.2
35.0576	0.2
35.0576	0.1
35.058	0.2
35.062	0.2
35.0776	0.1
35.0864	0.2
35.0864	0.3
35.0916	0.2
35.1012	0.2
35.102	0.1
35.1044	0.2
35.1044	0.2
35.1044	0.1
35.1044	0.2
35.1064	0.2
35.1084	0.1
35.1088	0.2
35.1088	0.2
35.1108	0.1
35.1132	0.2
35.1132	0.3
35.1132	0.2
35.1132	0.2
35.1132	0.1
35.1212	0.2
35.1228	0.2
35.1236	0.1
35.1252	0.2
35.1256	0.2
35.128	0.1
35.1308	0.2
35.1308	0.2
35.1308	0.1
35.1312	0.2
35.1316	0.3
35.132	0.2
35.1324	0.2
35.1336	0.1
35.1344	0.2
35.1348	0.2
35.1352	0.1
35.1352	0.2
35.1352	0.2
35.1352	0.1
35.1356	0.2
35.1356	0.2
35.1356	0.1
35.1356	0.2
35.1356	0.2
35.1364	0.1
35.1364	0.2
35.1364	0.3
35.1364	0.2
35.1364	0.2
35.1364	0.1
35.1364	0.2
35.1372	0.2
35.138	0.1
35.1404	0.2
35.1408	0.2
35.1416	0.1
35.1432	0.2
35.1432	0.2
35.144	0.1
35.144	0.2
35.1452	0.2
35.1456	0.1
35.1468	0.2
35.1496	0.2
35.1496	0.1
35.1524	0.2
35.1524	0.2
35.1552	0.1
35.156	0.2
35.1752	0.3
35.18	0.2
35.18	0.2
35.18	0.1
35.18	0.2
35.1804	0.2
35.1804	0.1
35.1804	0.2
35.1804	0.2
35.1804	0.1
35.1812	0.2
35.1832	0.2
35.1868	0.1
35.1868	0.2
35.1868	0.3
35.196	0.2
35.2108	0.2
35.2148	0.1
35.2208	0.2
35.2212	0.2
35.2212	0.1
35.2212	0.2
35.2476	0.2
35.2476	0.1
35.2476	0.2
35.2476	0.2
35.2476	0.1
35.2496	0.2
35.25	0.3
35.2504	0.2
35.2568	0.2
35.2608	0.1
35.2648	0.2
35.2684	0.2
35.2772	0.1
35.2812	0.2
35.2848	0.2
35.2872	0.1
35.2896	0.2
35.2908	0.2
35.2908	0.1
35.2908	0.2
35.292	0.2
35.292	0.1
35.3032	0.2
35.3032	0.2
35.3032	0.1
35.3084	0.2
35.3132	0.3
35.33	0.2
35.3668	0.2
35.4056	0.1
35.4296	0.2
35.454	0.2
35.468	0.1
35.5252	0.2
35.6224	0.2
35.7032	0.1
35.7348	0.2
35.7536	0.2
35.8564	0.1
35.9244	0.2
35.966	0.2
36.0712	0.1
36.1548	0.2
36.2236	0.2
36.4028	0.1
36.5236	0.2
36.5912	0.3
36.8004	0.2
36.9784	0.2
37.208	0.1
37.4164	0.2
37.6536	0.2
37.8532	0.1
38.024	0.2
38.1648	0.2
38.3704	0.1
38.5508	0.2
38.6312	0.2
38.9164	0.1
39.108	0.2
39.3256	0.3
39.4536	0.2
39.6252	0.2
39.9496	0.1
40.2272	0.2
40.3164	0.2
40.492	0.1
40.598	0.2
40.7612	0.2
40.8244	0.1
40.8684	0.2
40.9924	0.2
41.1264	0.1
41.3492	0.2
41.424	0.3
41.5204	0.2
41.6016	0.2
41.6756	0.1
41.7208	0.2
41.7544	0.2
41.8108	0.1
41.8596	0.2
41.9144	0.2
41.996	0.1
42.0584	0.2
42.084	0.2
42.1636	0.1
42.2236	0.2
42.268	0.3
42.3512	0.2
42.4624	0.2
42.5532	0.1
42.6916	0.2
42.7528	0.2
42.8568	0.1
42.968	0.2
43.0592	0.2
43.1268	0.1
43.2188	0.2
43.374	0.2
43.5132	0.1
43.6064	0.2
43.6948	0.2
43.762	0.1
43.8996	0.2
44.094	0.2
44.148	0.1
44.3404	0.2
44.43	0.3
44.5948	0.2
44.654	0.2
44.8064	0.1
44.8864	0.2
44.9468	0.2
45.1264	0.1
45.284	0.2
45.4368	0.2
45.5448	0.1
45.6452	0.2
45.7616	0.2
45.8776	0.1
46.0752	0.2
46.236	0.2
46.4204	0.1
46.6156	0.2
46.776	0.3
46.9824	0.2
47.1432	0.2
47.2156	0.1
47.3224	0.2
47.4724	0.2
47.6068	0.1
47.8072	0.2
47.9612	0.2
48.098	0.1
48.212	0.2
48.3412	0.2
48.492	0.1
48.6704	0.2
48.7824	0.3
48.8896	0.2
48.9916	0.2
49.0792	0.1
49.2188	0.2
49.3672	0.2
49.4704	0.1
49.632	0.2
49.7776	0.2
49.8744	0.1
49.938	0.2
49.9676	0.2
50.052	0.1
50.2176	0.2
50.3648	0.3
50.5496	0.2
50.6752	0.2
50.714	0.1
50.8396	0.2
50.914	0.2
51.0052	0.1
51.04	0.2
51.09	0.2
51.1448	0.1
51.1564	0.2
51.1644	0.2
51.194	0.1
51.1964	0.2
51.1992	0.2
51.202	0.1
51.2032	0.2
