Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x2324880
	Pos2dProxy:	0x2329ca0
	Ranger:		0x2329f80
	Map:		0x7ffe8d56a9e0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	7.4
1.9176	0.2
2.2832	0.1
2.7628	0.2
3.1872	0.2
3.7148	0.2
4.2676	0.2
4.7476	0.2
5.088	0.1
5.404	0.2
5.6044	0.2
5.7236	0.1
5.8788	0.2
6.0456	0.2
6.1372	0.1
6.3224	0.2
6.5288	0.2
6.6092	0.1
6.8256	0.2
7.0148	0.2
7.1424	0.1
7.3192	0.2
7.4572	0.2
7.5436	0.1
7.7064	0.2
7.8704	0.2
7.98	0.1
8.1468	0.2
8.3388	0.2
8.4612	0.1
8.6392	0.2
8.8296	0.2
8.9312	0.1
9.1332	0.2
9.3024	0.2
9.4076	0.1
9.6064	0.2
9.8256	0.2
9.9288	0.1
10.1124	0.2
10.2904	0.2
10.3952	0.1
10.6056	0.2
10.7896	0.2
10.898	0.1
11.1184	0.2
11.3716	0.2
11.4804	0.1
11.6532	0.2
11.856	0.2
11.9636	0.1
12.212	0.2
12.448	0.1
12.574	0.2
12.6932	0.2
12.8144	0.1
12.896	0.2
12.9972	0.2
13.0788	0.1
13.2008	0.2
13.3316	0.2
13.3988	0.1
13.5212	0.2
13.6448	0.2
13.7228	0.1
13.8364	0.2
13.9652	0.2
14.0444	0.1
14.1592	0.2
14.27	0.2
14.3292	0.1
14.4384	0.2
14.5528	0.2
14.6224	0.1
14.7232	0.2
14.8536	0.2
14.9192	0.1
15.0232	0.2
15.134	0.2
15.2032	0.1
15.3128	0.2
15.4344	0.2
15.5068	0.1
15.622	0.2
15.734	0.2
15.816	0.1
15.9272	0.2
16.0284	0.2
16.0916	0.1
16.2072	0.2
16.3204	0.2
16.3972	0.1
16.5096	0.2
16.6256	0.2
16.7012	0.1
16.816	0.2
16.9316	0.2
16.9868	0.1
17.1012	0.2
17.2184	0.2
17.268	0.1
17.38	0.2
17.5188	0.2
17.5892	0.1
17.7016	0.2
17.8168	0.2
17.8804	0.1
17.986	0.2
18.1012	0.2
18.1628	0.1
18.2796	0.2
18.4048	0.2
18.4816	0.1
18.598	0.2
18.7108	0.2
18.786	0.1
18.8844	0.2
19.0056	0.2
19.08	0.1
19.2052	0.2
19.3284	0.2
19.4004	0.1
19.5084	0.2
19.6192	0.2
19.6764	0.1
19.8036	0.2
19.9128	0.2
19.9836	0.1
20.1088	0.2
20.2344	0.2
20.306	0.1
20.4084	0.2
20.5352	0.2
20.5908	0.1
20.6956	0.2
20.808	0.2
20.898	0.1
21.014	0.2
21.1344	0.2
21.2108	0.1
21.3188	0.2
21.4344	0.2
21.5056	0.1
21.6204	0.2
21.7456	0.2
21.8148	0.1
21.9304	0.2
22.0464	0.2
22.1136	0.1
22.1576	0.1
22.2724	0.2
22.3512	0.1
22.4072	0.1
22.4736	0.1
22.5916	0.2
22.6764	0.1
22.7316	0.1
22.7948	0.1
22.9076	0.2
22.9656	0.1
23.0188	0.1
23.0748	0.1
23.19	0.2
23.2572	0.1
23.3192	0.1
23.3856	0.1
23.5	0.2
23.5816	0.1
23.646	0.1
23.7068	0.1
23.8176	0.2
23.8796	0.1
23.9412	0.1
23.9924	0.1
24.1096	0.2
24.1668	0.1
24.2352	0.1
24.282	0.1
24.4068	0.2
24.4796	0.1
24.56	0.1
24.612	0.1
24.7296	0.2
24.7908	0.1
24.8508	0.1
24.912	0.1
25.0136	0.2
25.0828	0.1
25.142	0.1
25.214	0.1
25.3212	0.2
25.4064	0.1
25.4636	0.1
25.5256	0.1
25.6364	0.2
25.7092	0.1
25.7596	0.1
25.8276	0.1
25.9264	0.2
25.9884	0.1
26.0572	0.1
26.1228	0.1
26.25	0.2
26.316	0.1
26.3788	0.1
26.4444	0.1
26.5516	0.2
26.6056	0.1
26.6708	0.1
26.7256	0.1
26.8496	0.2
26.8988	0.1
26.9752	0.1
27.03	0.1
27.1536	0.2
27.2288	0.1
27.2844	0.1
27.35	0.1
27.4524	0.2
27.5208	0.1
27.5888	0.1
27.6392	0.1
27.7408	0.2
27.8076	0.1
27.8688	0.1
27.9472	0.1
28.0644	0.2
28.14	0.1
28.1904	0.1
28.256	0.1
28.362	0.2
28.4244	0.1
28.4904	0.1
28.548	0.1
28.6648	0.2
28.7372	0.1
28.8044	0.1
28.8596	0.1
28.9744	0.2
29.034	0.1
29.0892	0.1
29.1672	0.1
29.2736	0.2
29.3312	0.1
29.3988	0.1
29.4608	0.1
29.5732	0.2
29.652	0.1
29.7204	0.1
29.7768	0.1
29.8912	0.2
29.9544	0.1
30.0076	0.1
30.0612	0.1
30.1676	0.2
30.2344	0.1
30.3092	0.1
30.364	0.1
30.4696	0.2
30.5464	0.1
30.6196	0.1
30.6904	0.1
30.7952	0.2
30.8672	0.1
30.9156	0.1
30.9768	0.1
31.0836	0.2
31.1536	0.1
31.2032	0.1
31.2728	0.1
31.3976	0.2
31.472	0.1
31.5324	0.1
31.6024	0.1
31.694	0.2
31.7688	0.1
31.8276	0.1
31.888	0.1
32.0076	0.2
32.068	0.1
32.1208	0.1
32.1804	0.1
32.3124	0.2
32.3684	0.1
32.4412	0.1
32.498	0.1
32.6	0.2
32.6784	0.1
32.7448	0.1
32.796	0.1
32.9168	0.2
32.9896	0.1
33.032	0.1
33.0972	0.1
33.2156	0.2
33.288	0.1
33.3528	0.1
33.4164	0.1
33.51	0.2
33.5956	0.1
33.6456	0.1
33.7108	0.1
33.824	0.2
33.9044	0.1
33.9404	0.1
34.0156	0.1
34.1284	0.2
34.206	0.1
34.268	0.1
34.3236	0.1
34.4348	0.2
34.504	0.1
34.5624	0.1
34.6288	0.1
34.732	0.2
34.7968	0.1
34.8672	0.1
34.9392	0.1
35.0548	0.2
35.1068	0.1
35.1796	0.1
35.2324	0.1
35.3428	0.2
35.4152	0.1
35.4668	0.1
35.5328	0.1
35.6364	0.2
35.7156	0.1
35.7804	0.1
35.8436	0.1
35.9492	0.2
36.0236	0.1
36.0796	0.1
36.132	0.1
36.2436	0.2
36.3248	0.1
36.3812	0.1
36.4432	0.1
36.5504	0.2
36.6244	0.1
36.6952	0.1
36.7632	0.1
36.8756	0.2
36.9416	0.1
36.9932	0.1
37.0456	0.1
37.1604	0.2
37.2216	0.1
37.2812	0.1
37.3576	0.1
37.472	0.2
37.5472	0.1
37.61	0.1
37.6676	0.1
37.7856	0.2
37.852	0.1
37.912	0.1
37.9604	0.1
38.0752	0.2
38.1388	0.1
38.1992	0.1
38.2496	0.1
38.3644	0.2
38.4444	0.1
38.5196	0.1
38.5784	0.1
38.6936	0.2
38.7576	0.1
38.8136	0.1
38.8744	0.1
38.9796	0.2
39.0572	0.1
39.1192	0.1
39.166	0.1
39.2808	0.2
39.3588	0.1
39.4136	0.1
39.4852	0.1
39.6008	0.2
39.6736	0.1
39.724	0.1
39.7888	0.1
39.89	0.2
39.9636	0.1
40.0336	0.1
40.0748	0.1
40.2076	0.2
40.2704	0.1
40.3388	0.1
40.4044	0.1
40.5164	0.2
40.5704	0.1
40.6352	0.1
40.688	0.1
40.806	0.2
40.866	0.1
40.9412	0.1
40.9952	0.1
41.1192	0.2
41.192	0.1
41.2504	0.1
41.316	0.1
41.4176	0.2
41.4828	0.1
41.588	0.2
41.704	0.2
41.8164	0.2
41.9052	0.1
42.0208	0.2
42.14	0.2
42.2156	0.1
42.3224	0.2
42.4376	0.2
42.5088	0.1
42.6232	0.2
42.7356	0.2
42.808	0.1
42.9232	0.2
43.046	0.2
43.114	0.1
43.2296	0.2
43.3404	0.2
43.4048	0.1
43.5256	0.2
43.6468	0.2
43.7244	0.1
43.8352	0.2
43.9552	0.2
44.0148	0.1
44.1184	0.2
44.2392	0.2
44.2996	0.1
44.4204	0.2
44.5592	0.2
44.6316	0.1
44.744	0.2
44.8468	0.2
44.9284	0.1
45.0404	0.2
45.1448	0.2
45.2232	0.1
45.3368	0.2
45.4612	0.2
45.5388	0.1
45.6488	0.2
45.7556	0.2
45.836	0.1
45.9484	0.2
46.06	0.2
46.1364	0.1
46.484	0.2
46.7928	0.2
47.0024	0.1
47.1032	0.2
47.246	0.2
47.286	0.1
47.4508	0.2
47.5832	0.2
47.6284	0.1
47.696	0.2
47.7624	0.2
47.8044	0.1
47.8484	0.2
47.8728	0.2
47.8836	0.1
47.8872	0.2
47.9044	0.2
47.9052	0.1
47.9072	0.2
47.912	0.2
47.9128	0.1
47.9128	0.2
47.9128	0.2
47.9128	0.1
47.9144	0.2
47.9144	0.2
47.9144	0.1
47.9144	0.2
47.9148	0.2
47.9148	0.1
47.9148	0.2
47.9148	0.2
47.9148	0.1
47.9156	0.2
47.9176	0.2
47.9184	0.1
47.9216	0.2
47.9244	0.2
47.9276	0.1
47.9332	0.2
47.9408	0.2
47.9436	0.1
47.9524	0.2
47.9608	0.2
47.9656	0.1
47.9792	0.2
47.994	0.2
48	0.1
48.0144	0.2
48.0284	0.2
48.0368	0.1
48.0548	0.2
48.074	0.2
48.0816	0.1
48.102	0.2
48.1196	0.2
48.1304	0.1
48.1476	0.2
48.174	0.2
48.18	0.1
48.204	0.2
48.222	0.2
48.2376	0.1
48.2592	0.2
48.2856	0.2
48.2944	0.1
48.32	0.2
48.3444	0.2
48.3564	0.1
48.3824	0.2
48.41	0.2
48.4264	0.1
48.4532	0.2
48.4812	0.2
48.4968	0.1
48.5256	0.2
48.5568	0.2
48.564	0.1
48.6016	0.2
48.6256	0.2
48.6452	0.1
48.672	0.2
48.714	0.2
48.7216	0.1
48.7596	0.2
48.788	0.2
48.8036	0.1
48.8364	0.2
48.8788	0.2
48.89	0.1
48.9228	0.2
48.958	0.2
48.98	0.1
49.0144	0.2
49.0536	0.2
49.074	0.1
49.1064	0.2
49.1472	0.2
49.1652	0.1
49.1976	0.2
49.2456	0.2
49.2612	0.1
49.3048	0.2
49.3352	0.2
49.3628	0.1
49.3984	0.2
49.4452	0.2
49.458	0.1
49.5092	0.2
49.5364	0.2
49.5656	0.1
49.6036	0.2
49.652	0.2
49.6712	0.1
49.7204	0.2
49.7572	0.2
49.7748	0.1
49.8276	0.2
49.8696	0.2
49.8896	0.1
49.9376	0.2
49.988	0.2
50.0104	0.1
50.0532	0.2
50.1012	0.2
50.1216	0.1
50.1768	0.2
50.2228	0.2
50.2524	0.1
50.2828	0.2
50.3476	0.2
50.3592	0.1
50.418	0.2
50.4568	0.2
50.494	0.1
50.536	0.2
50.588	0.2
50.6204	0.1
50.6664	0.2
50.716	0.2
50.7388	0.1
50.8032	0.2
50.8344	0.2
50.8664	0.1
50.9232	0.2
50.9752	0.2
51.0076	0.1
51.0548	0.2
51.1068	0.2
51.1224	0.1
51.1992	0.2
51.2376	0.2
51.2736	0.1
51.3188	0.2
51.394	0.2
51.4096	0.1
51.4676	0.2
51.5196	0.2
51.5504	0.1
51.6096	0.2
51.6648	0.2
51.708	0.1
51.7456	0.2
51.8168	0.2
51.8404	0.1
51.8932	0.2
51.9424	0.2
51.9804	0.1
52.0408	0.2
52.0864	0.2
52.136	0.1
52.1752	0.2
52.2408	0.2
52.2608	0.1
52.3432	0.2
52.3728	0.2
52.4136	0.1
52.4672	0.2
52.5256	0.2
52.5628	0.1
52.6196	0.2
52.6772	0.2
52.7028	0.1
