Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1349880
	Pos2dProxy:	0x134eca0
	Ranger:		0x134ef80
	Map:		0x7fffabc6f670

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	21.9
1.9176	0.1
2.2832	0.1
2.7764	0.2
3.1936	0.2
3.9752	0.1
4.5168	0.2
4.7916	0.2
5.064	0.1
5.304	0.2
5.5408	0.2
5.6372	0.1
5.7532	0.2
5.9632	0.2
6.1596	0.1
6.3212	0.2
6.4736	0.2
6.5736	0.1
6.7292	0.2
6.902	0.2
6.9904	0.1
7.1812	0.2
7.3556	0.2
7.4364	0.1
7.5964	0.2
7.7668	0.2
7.8692	0.1
8.0644	0.2
8.3024	0.2
8.4288	0.1
8.5736	0.2
8.7776	0.2
8.9104	0.1
9.0356	0.2
9.2308	0.2
9.3096	0.1
9.5108	0.2
9.7512	0.2
9.8528	0.1
10.056	0.2
10.2488	0.2
10.3864	0.1
10.5952	0.2
10.8328	0.2
10.9124	0.1
11.0948	0.2
11.2848	0.2
11.464	0.1
11.6068	0.2
11.7932	0.2
11.8768	0.1
12.1292	0.2
12.4388	0.2
12.5932	0.1
12.6932	0.2
12.942	0.2
13.1024	0.1
13.3128	0.2
13.5244	0.2
13.6532	0.1
13.9	0.2
14.1052	0.2
14.3712	0.1
14.5452	0.1
14.664	0.2
14.8236	0.1
15.008	0.1
15.2072	0.1
15.3372	0.2
15.4392	0.1
15.5216	0.1
15.5904	0.1
15.6764	0.2
15.76	0.1
15.8344	0.1
15.8968	0.1
16.0212	0.2
16.1096	0.1
16.1924	0.1
16.2608	0.1
16.4272	0.2
16.516	0.1
16.6384	0.1
16.8448	0.1
17.0304	0.2
17.1456	0.1
17.1984	0.1
17.238	0.1
17.3696	0.2
17.4872	0.1
17.57	0.1
17.704	0.1
17.8568	0.2
17.9404	0.1
18.0756	0.1
18.148	0.1
18.3068	0.2
18.3968	0.1
18.4824	0.1
18.7012	0.1
18.9108	0.2
19.01	0.1
19.056	0.1
19.2636	0.1
19.3464	0.2
19.4232	0.1
19.5356	0.1
19.8028	0.1
20.01	0.2
20.0768	0.1
20.1496	0.1
20.2064	0.1
20.3328	0.2
20.4244	0.1
20.4948	0.1
20.5936	0.1
20.8084	0.2
21.0392	0.1
21.2044	0.1
21.262	0.1
21.4636	0.2
21.6972	0.1
21.766	0.1
21.8932	0.1
21.9576	0.2
22.0888	0.1
22.2912	0.1
22.402	0.1
22.5024	0.2
22.6708	0.1
22.7284	0.1
22.8564	0.1
22.9692	0.2
23.0584	0.1
23.146	0.1
23.2664	0.1
23.438	0.2
23.592	0.1
23.6336	0.1
23.7732	0.1
23.9032	0.2
24.0416	0.1
24.1864	0.1
24.258	0.1
24.3956	0.2
24.488	0.1
24.5568	0.1
24.688	0.1
24.894	0.2
25.0952	0.1
25.244	0.1
25.3064	0.1
25.432	0.2
25.4988	0.1
25.602	0.1
25.7016	0.1
25.852	0.2
26.0208	0.1
26.0688	0.1
26.1956	0.1
26.3852	0.2
26.568	0.1
26.6812	0.1
26.7392	0.1
26.894	0.2
26.9876	0.1
27.1416	0.1
27.2624	0.1
27.4264	0.2
27.5212	0.1
27.5996	0.1
27.81	0.1
28.0448	0.2
28.1072	0.1
28.1724	0.1
28.3628	0.1
28.4476	0.2
28.5136	0.1
28.5912	0.1
28.712	0.1
28.874	0.2
28.9856	0.1
29.0904	0.1
29.2448	0.1
29.3956	0.2
29.552	0.1
29.722	0.1
29.7616	0.1
29.994	0.2
30.1488	0.1
30.2596	0.1
30.3424	0.1
30.6632	0.2
30.8708	0.1
30.9924	0.1
31.0648	0.1
31.2304	0.2
31.3428	0.1
31.392	0.1
31.5176	0.1
31.6116	0.2
31.752	0.1
31.7916	0.1
31.8784	0.1
32.0332	0.2
32.126	0.1
32.2136	0.1
32.3384	0.1
32.524	0.2
32.5888	0.1
32.6656	0.1
32.7412	0.1
32.956	0.2
33.0156	0.1
33.1404	0.1
33.2152	0.1
33.3708	0.2
33.4728	0.1
33.5628	0.1
33.6564	0.1
33.8964	0.2
34.0148	0.1
34.2036	0.1
34.2848	0.1
34.4104	0.2
34.4956	0.1
34.5864	0.1
34.658	0.1
34.8744	0.2
35.0436	0.1
35.1168	0.1
35.252	0.1
35.5	0.2
35.6616	0.1
35.716	0.1
35.7556	0.1
35.9644	0.2
36.1056	0.1
36.1784	0.1
36.27	0.1
36.4128	0.2
36.5312	0.1
36.614	0.1
36.8568	0.1
37.1396	0.2
37.2376	0.1
37.2684	0.1
37.3268	0.1
37.4492	0.2
37.5296	0.1
37.646	0.1
37.7412	0.1
37.9236	0.2
38.0528	0.1
38.1436	0.1
38.2832	0.1
38.4348	0.2
38.5792	0.1
38.6468	0.1
38.8364	0.1
39.1188	0.2
39.26	0.1
39.302	0.1
39.3512	0.1
39.4756	0.2
39.5652	0.1
39.716	0.1
39.91	0.1
40.0636	0.2
40.14	0.1
40.2336	0.1
40.3124	0.1
40.4896	0.2
40.5904	0.1
40.6748	0.1
40.866	0.1
40.9988	0.2
41.1164	0.1
41.2044	0.1
41.2948	0.1
41.5408	0.2
41.7932	0.1
42.01	0.1
42.1776	0.1
42.3364	0.2
42.3832	0.1
42.4216	0.1
42.4728	0.1
42.5916	0.2
42.6752	0.1
42.764	0.1
42.9452	0.1
43.1424	0.2
43.2212	0.1
43.2972	0.1
43.4244	0.1
43.6032	0.2
43.6716	0.1
43.7524	0.1
43.8488	0.1
44.0032	0.2
44.1004	0.1
44.2044	0.1
44.3816	0.1
44.5352	0.2
44.624	0.1
44.6992	0.1
44.8004	0.1
44.9852	0.2
45.1044	0.1
45.2064	0.1
45.4112	0.1
45.6852	0.2
45.8492	0.1
46.0412	0.1
46.2204	0.1
46.3188	0.2
46.4336	0.1
46.576	0.2
46.6748	0.2
46.788	0.2
46.9152	0.1
47.066	0.2
47.2036	0.2
47.3288	0.1
47.466	0.2
47.604	0.2
47.6692	0.1
47.7812	0.2
47.8824	0.2
47.9404	0.1
48.072	0.2
48.18	0.2
48.2364	0.1
48.3952	0.2
48.5308	0.2
48.6588	0.1
48.742	0.2
48.8288	0.2
48.9012	0.1
48.9752	0.2
49.038	0.2
49.102	0.1
49.136	0.2
49.1984	0.2
49.2488	0.1
49.3124	0.2
49.4068	0.2
49.4548	0.1
49.5472	0.2
49.634	0.2
49.6992	0.1
49.726	0.2
49.758	0.2
49.7732	0.1
49.8108	0.2
49.8552	0.2
49.8888	0.1
49.9532	0.2
50.0292	0.2
50.1012	0.1
50.2476	0.2
50.354	0.2
50.3756	0.1
50.474	0.2
50.5664	0.2
50.6428	0.1
50.792	0.2
50.92	0.2
50.9992	0.1
51.0444	0.2
51.092	0.2
51.1436	0.1
51.294	0.2
51.436	0.2
51.5592	0.1
51.6896	0.2
51.7844	0.2
51.87	0.1
51.9648	0.2
52.032	0.2
52.0736	0.1
52.1096	0.2
52.1664	0.2
52.2016	0.1
52.2692	0.2
52.3576	0.2
52.3964	0.1
52.528	0.2
52.7388	0.2
52.8756	0.1
53.038	0.2
53.1616	0.2
53.2244	0.1
53.2672	0.2
53.3284	0.2
53.3692	0.1
53.4932	0.2
53.6424	0.2
53.7416	0.1
53.8728	0.2
53.9556	0.2
54.0116	0.1
54.1544	0.2
54.3048	0.2
54.3508	0.1
54.5044	0.2
54.64	0.2
54.7388	0.1
