Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x1de6880
	Pos2dProxy:	0x1debca0
	Ranger:		0x1debf80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x1dec300
	Pos2dProxy:	0x1dea620
	Ranger:		0x1dea900
Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x1decb90
	Pos2dProxy:	0x1dec3d0
	Ranger:		0x1dec690
Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x1ded420
	Pos2dProxy:	0x1dec910
	Ranger:		0x1dece60
Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x1dedac0
	Pos2dProxy:	0x1ded540
	Ranger:		0x1ded7c0
Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x1dee360
	Pos2dProxy:	0x1dedb40
	Ranger:		0x1dede20
Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x1deebc0
	Pos2dProxy:	0x1dee0a0
	Ranger:		0x1dee630
Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x1dee980
	Pos2dProxy:	0x1deed30
	Ranger:		0x1def010
Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x1defa70
	Pos2dProxy:	0x1def290
	Ranger:		0x1def570
Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x1df0300
	Pos2dProxy:	0x1def7f0
	Ranger:		0x1defd40
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	17.5
6.8912	0.1
8.2136	0.2
8.594	0.2
8.8168	0.1
9.0328	0.2
9.2524	0.2
9.4652	0.1
9.6984	0.2
9.9404	0.2
10.0808	0.1
10.2764	0.2
10.4764	0.2
10.636	0.1
10.918	0.2
11.1912	0.2
11.3568	0.1
11.6436	0.2
11.8968	0.2
12.0688	0.1
12.2356	0.2
12.4804	0.2
12.6036	0.1
12.796	0.2
13.1424	0.2
13.4096	0.1
13.6812	0.2
13.9276	0.2
14.0556	0.1
14.4364	0.2
14.8168	0.2
15.0444	0.1
15.4068	0.2
15.8932	0.2
16.1628	0.1
16.4748	0.2
16.7192	0.2
16.8428	0.1
17.0484	0.2
17.316	0.2
17.5196	0.1
17.77	0.2
18.1256	0.2
18.3436	0.1
18.7088	0.2
19.02	0.2
19.3044	0.1
19.6696	0.2
20.0396	0.2
20.2312	0.1
20.6052	0.2
21.0292	0.2
21.334	0.1
21.5772	0.2
21.9712	0.2
22.3044	0.1
22.7428	0.2
23.1152	0.2
23.3556	0.1
23.7316	0.2
24.0828	0.2
24.268	0.1
24.5896	0.2
24.9884	0.2
25.1944	0.1
25.6764	0.2
26.1392	0.2
26.3944	0.1
26.7412	0.2
27.132	0.2
27.3452	0.1
27.7236	0.2
28.1364	0.2
28.3556	0.1
28.7436	0.2
29.1804	0.2
29.3752	0.1
29.814	0.2
30.2364	0.2
30.4684	0.1
30.9544	0.2
31.3668	0.2
31.67	0.1
32.1408	0.2
32.712	0.2
33.0948	0.1
33.4608	0.2
33.9208	0.2
34.2452	0.1
34.4108	0.1
34.878	0.2
35.2328	0.1
35.432	0.1
35.6108	0.1
35.912	0.2
36.1092	0.1
36.3276	0.1
36.6332	0.1
37.1856	0.2
37.5088	0.1
37.832	0.1
38.1032	0.1
38.6236	0.2
39.032	0.1
39.3496	0.1
39.5556	0.1
39.9656	0.2
40.2896	0.1
40.5276	0.1
40.8088	0.1
41.3564	0.2
41.7324	0.1
42.0796	0.1
42.4332	0.1
42.8264	0.2
43.0836	0.1
43.2912	0.1
43.6316	0.1
44.1444	0.2
44.5024	0.1
44.7208	0.1
44.938	0.1
45.4152	0.2
45.722	0.1
46.1072	0.1
46.6056	0.1
47.156	0.2
47.4988	0.1
47.8456	0.1
48.3272	0.1
49.076	0.2
49.5076	0.1
49.8	0.1
50.128	0.1
50.6996	0.2
51.0116	0.1
51.1812	0.1
51.3852	0.1
51.9344	0.2
52.2432	0.1
52.4596	0.1
52.6588	0.1
53.0556	0.2
53.3356	0.1
53.618	0.1
54.0332	0.1
54.4944	0.2
54.756	0.1
55.0492	0.1
55.4912	0.1
55.9844	0.2
56.246	0.1
56.5196	0.1
56.7588	0.1
57.3748	0.2
57.7008	0.1
57.99	0.1
58.3692	0.1
58.8364	0.2
59.1636	0.1
59.5828	0.1
60.1532	0.1
60.78	0.2
61.1908	0.1
61.6364	0.1
61.932	0.1
62.5632	0.2
62.9812	0.1
63.446	0.1
63.8208	0.1
64.4296	0.2
64.7128	0.1
64.9276	0.1
65.25	0.1
65.9876	0.2
66.4416	0.1
66.784	0.1
67.0352	0.1
67.6424	0.2
67.9876	0.1
68.3356	0.1
68.7304	0.1
69.3776	0.2
69.7724	0.1
70.362	0.1
70.9596	0.1
71.5548	0.2
72.0828	0.1
72.6948	0.1
73.3316	0.1
73.828	0.2
74.2888	0.1
74.8848	0.1
75.436	0.1
75.8932	0.2
76.3312	0.2
76.9192	0.1
77.3028	0.2
77.5968	0.1
78.0708	0.2
78.5944	0.3
79.0244	0.1
79.5372	0.1
79.9924	0.2
80.4296	0.2
80.8328	0.1
81.3364	0.2
81.8984	0.1
82.3608	0.1
82.9596	0.1
83.3268	0.2
83.6828	0.2
84.1512	0.1
84.8016	0.2
85.2504	0.1
85.6732	0.1
85.9788	0.1
86.2392	0.2
86.4932	0.2
87.0024	0.1
87.5688	0.2
87.9184	0.1
88.1404	0.1
88.4608	0.1
88.8052	0.2
89.1052	0.2
89.3976	0.1
89.6668	0.2
89.8228	0.1
89.9692	0.2
90.172	0.2
90.4464	0.1
90.632	0.1
90.8204	0.1
91.024	0.2
91.1816	0.1
91.3528	0.1
91.6548	0.1
91.926	0.2
92.0412	0.2
92.1852	0.1
92.4612	0.2
92.6156	0.1
92.7212	0.1
92.9292	0.1
93.1948	0.2
93.5028	0.2
93.7836	0.1
94.0164	0.2
94.1752	0.1
94.332	0.1
94.4948	0.1
94.664	0.2
94.7728	0.2
94.972	0.1
95.228	0.2
95.342	0.1
95.4656	0.2
95.6536	0.2
95.8556	0.1
95.9928	0.1
96.0672	0.1
96.1856	0.2
96.2744	0.1
96.3888	0.1
96.5588	0.1
96.8316	0.2
96.9788	0.1
97.1416	0.1
97.2312	0.1
97.3292	0.3
97.4176	0.1
97.5096	0.1
97.5712	0.2
97.6292	0.1
97.6924	0.2
97.8484	0.2
97.9164	0.1
98.0196	0.1
98.2328	0.1
98.3712	0.2
98.466	0.1
98.5844	0.2
98.6176	0.3
98.66	0.1
98.7228	0.1
98.8192	0.2
98.856	0.1
98.916	0.1
99.0048	0.1
99.0468	0.3
99.0596	0.1
99.1008	0.1
99.1196	0.2
99.132	0.1
99.1584	0.2
99.176	0.2
99.1868	0.1
99.1924	0.1
99.204	0.1
99.2088	0.2
99.2372	0.1
99.2668	0.1
99.3056	0.1
99.3188	0.2
99.35	0.1
99.3804	0.1
99.4148	0.1
99.4248	0.2
99.4376	0.2
