Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x22d7880
	Pos2dProxy:	0x22dcca0
	Ranger:		0x22dcf80
	Map:		0x7ffcb0ad6c70

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x22dd2d0
	Pos2dProxy:	0x22db620
	Ranger:		0x22db900
	Map:		0x7ffcb0ad6cd0

Created robot #2
  Memory locations:
	Port:	6667
	Client:		0x22dba90
	Pos2dProxy:	0x22dd440
	Ranger:		0x22dd720
	Map:		0x7ffcb0ad6d30

Created robot #3
  Memory locations:
	Port:	6668
	Client:		0x22dd8b0
	Pos2dProxy:	0x22ddc60
	Ranger:		0x22ddf40
	Map:		0x7ffcb0ad6d90

Created robot #4
  Memory locations:
	Port:	6669
	Client:		0x22de0d0
	Pos2dProxy:	0x22de440
	Ranger:		0x22de720
	Map:		0x7ffcb0ad6df0

Created robot #5
  Memory locations:
	Port:	6670
	Client:		0x22de8b0
	Pos2dProxy:	0x22dec20
	Ranger:		0x22def00
	Map:		0x7ffcb0ad6e50

Created robot #6
  Memory locations:
	Port:	6671
	Client:		0x22df090
	Pos2dProxy:	0x22df400
	Ranger:		0x22df6e0
	Map:		0x7ffcb0ad6eb0

Created robot #7
  Memory locations:
	Port:	6672
	Client:		0x22df870
	Pos2dProxy:	0x22dfbe0
	Ranger:		0x22dfec0
	Map:		0x7ffcb0ad6f10

Created robot #8
  Memory locations:
	Port:	6673
	Client:		0x22e0050
	Pos2dProxy:	0x22e03c0
	Ranger:		0x22e06a0
	Map:		0x7ffcb0ad6f70

Created robot #9
  Memory locations:
	Port:	6674
	Client:		0x22e0830
	Pos2dProxy:	0x22e0ba0
	Ranger:		0x22e0e80
	Map:		0x7ffcb0ad6fd0

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	26.5
6.8912	0.1
8.0832	0.2
8.4904	0.2
8.85	0.1
9.122	0.2
9.3668	0.3
9.5992	0.2
9.8608	0.2
10.084	0.1
10.3176	0.2
10.5068	0.3
10.7972	0.2
11.1984	0.2
11.5464	0.1
11.8812	0.2
12.1028	0.3
12.3956	0.2
12.7868	0.2
13.0192	0.1
13.3064	0.2
13.4736	0.3
13.7392	0.2
14.0916	0.2
14.3808	0.1
14.6636	0.2
14.852	0.3
15.1632	0.2
15.5484	0.2
15.7336	0.2
16.1948	0.2
16.4756	0.2
16.7776	0.1
17.1812	0.3
17.3712	0.2
17.6924	0.2
18.0748	0.2
18.422	0.1
18.7668	0.2
19.084	0.1
19.5188	0.2
19.9324	0.2
20.268	0.2
20.6008	0.1
20.8276	0.3
21.2396	0.2
21.6332	0.3
21.9624	0.2
22.4	0.2
22.794	0.2
23.2376	0.1
23.692	0.3
24.0488	0.2
24.3648	0.2
24.6952	0.2
25.032	0.1
25.3272	0.3
25.676	0.2
26.026	0.2
26.428	0.2
26.7148	0.1
27.2016	0.3
27.69	0.2
28.0316	0.2
28.6444	0.2
29.1536	0.1
29.5892	0.3
30.0344	0.2
30.3904	0.2
30.8376	0.2
31.29	0.1
31.8048	0.3
32.3616	0.2
32.7996	0.2
33.3356	0.2
33.7108	0.1
34.2276	0.3
34.6896	0.2
35.0444	0.2
35.6004	0.2
36.0728	0.1
36.512	0.3
36.9844	0.2
37.3968	0.2
38.0852	0.2
38.4884	0.1
38.9136	0.2
39.3548	0.1
39.7152	0.2
40.2312	0.2
40.7728	0.2
41.3908	0.1
42.0416	0.2
42.5168	0.2
43.1364	0.1
43.598	0.3
44.1288	0.2
44.5984	0.2
45.1544	0.2
45.6868	0.1
46.2332	0.3
46.7444	0.2
47.4212	0.3
48.022	0.2
48.7544	0.3
49.6504	0.2
50.2364	0.4
51.2072	0.3
52.1788	0.3
52.98	0.2
53.7064	0.3
54.686	0.3
