Created robot #0
  Memory locations:
	Port:	6665
	Client:		0x16c8880
	Pos2dProxy:	0x16cdca0
	Ranger:		0x16cdf80
	Map:		0x7fff75bca7d0

Created robot #1
  Memory locations:
	Port:	6666
	Client:		0x16ce2d0
	Pos2dProxy:	0x16cc620
	Ranger:		0x16cc900
	Map:		0x7fff75bca830

Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	11.2
2.9916	0.1
4.3948	0.2
5.0588	0.2
5.3944	0.1
5.7208	0.2
6.0184	0.2
6.2488	0.1
6.3604	0.2
6.5476	0.2
6.6872	0.1
6.8204	0.2
6.9636	0.2
7.0492	0.1
7.26	0.2
7.4532	0.2
7.5576	0.1
7.7184	0.2
7.8988	0.2
7.9868	0.1
8.1288	0.2
8.3264	0.2
8.4364	0.1
8.6616	0.2
8.8828	0.2
9.0304	0.1
9.256	0.2
9.4248	0.2
9.5316	0.1
9.7628	0.2
9.8996	0.1
10.112	0.2
10.3528	0.2
10.4516	0.1
10.6924	0.2
10.9336	0.2
11.0456	0.1
11.31	0.2
11.5148	0.2
11.626	0.1
11.8092	0.2
12.0252	0.2
12.1876	0.1
12.4456	0.2
12.7272	0.2
12.8752	0.1
13.0568	0.2
13.3052	0.2
13.3952	0.1
13.6588	0.2
13.896	0.2
14.0348	0.1
14.3112	0.2
14.572	0.2
14.7676	0.1
14.9248	0.2
15.3084	0.2
15.4812	0.1
15.7504	0.2
16.0692	0.2
16.2188	0.1
16.3436	0.2
16.584	0.2
16.6964	0.1
16.8348	0.2
17.1512	0.2
17.4096	0.1
17.7308	0.2
17.9324	0.2
18.1228	0.1
18.2988	0.2
18.5528	0.2
18.7272	0.1
18.8756	0.2
19.0884	0.2
19.2944	0.1
19.522	0.2
19.8268	0.2
19.9588	0.1
20.1896	0.2
20.4968	0.2
20.6812	0.1
20.8624	0.2
21.1884	0.2
21.4512	0.1
21.6844	0.2
21.9192	0.2
22.066	0.1
22.4276	0.2
22.778	0.2
22.9424	0.1
23.154	0.2
23.4044	0.2
23.5088	0.1
23.8548	0.2
24.2036	0.2
24.3016	0.1
24.49	0.2
24.8996	0.2
25.2548	0.1
25.4508	0.2
25.752	0.2
25.9812	0.1
26.29	0.2
26.7316	0.2
26.9284	0.1
27.1108	0.2
27.314	0.2
27.432	0.1
27.7208	0.2
28.0972	0.2
28.2888	0.1
28.5324	0.2
28.9468	0.2
29.2068	0.1
29.4592	0.2
29.7516	0.2
29.9876	0.1
30.2292	0.2
30.6152	0.2
30.8272	0.1
31.01	0.2
31.3224	0.2
31.5924	0.1
31.9524	0.2
32.3128	0.2
32.5848	0.1
32.7896	0.1
33.0132	0.2
33.18	0.1
33.4432	0.1
33.556	0.1
33.7424	0.2
33.874	0.1
34.0508	0.1
34.296	0.1
34.5132	0.2
34.6288	0.1
34.7776	0.1
35.0412	0.1
35.4508	0.2
35.672	0.1
35.8124	0.1
35.984	0.1
36.1532	0.2
36.3704	0.1
36.4952	0.1
36.7272	0.1
36.9916	0.2
37.086	0.1
37.2192	0.1
37.3924	0.1
37.72	0.2
37.9892	0.1
38.2704	0.1
38.3888	0.1
38.692	0.2
38.9196	0.1
39.0912	0.1
39.204	0.1
39.5728	0.2
39.9104	0.1
40.102	0.1
40.1804	0.1
40.344	0.2
40.4888	0.1
40.6212	0.1
40.8492	0.1
41.286	0.2
41.4932	0.1
41.708	0.1
41.8112	0.1
41.9804	0.2
42.2004	0.1
42.3912	0.1
42.506	0.1
42.834	0.2
43.1556	0.1
43.3196	0.1
43.5556	0.1
43.97	0.2
44.33	0.1
44.5368	0.1
44.6444	0.1
44.8088	0.2
44.9696	0.1
45.1548	0.1
45.3276	0.1
45.708	0.2
45.9552	0.1
46.0512	0.1
46.17	0.1
46.4116	0.2
46.5708	0.1
46.6668	0.1
46.862	0.1
47.2268	0.2
47.42	0.1
47.574	0.1
47.8076	0.1
48.0684	0.2
48.3044	0.1
48.572	0.1
48.872	0.1
49.2328	0.2
49.4352	0.1
49.61	0.1
49.7956	0.1
50.1196	0.2
50.338	0.1
50.4584	0.1
50.5704	0.1
50.8832	0.2
51.0132	0.1
51.1772	0.1
51.3216	0.1
51.5644	0.2
51.7084	0.1
51.9612	0.1
52.18	0.1
52.5868	0.2
53.062	0.1
53.3704	0.1
53.6108	0.1
53.8688	0.2
54.0312	0.1
54.1844	0.1
54.2784	0.1
54.5228	0.2
54.724	0.1
54.9508	0.1
55.1468	0.1
55.5304	0.2
55.752	0.1
55.8708	0.1
55.9868	0.1
56.3188	0.2
56.6576	0.1
56.9312	0.1
57.1604	0.1
57.416	0.2
57.6872	0.1
57.9332	0.1
58.238	0.1
58.6588	0.2
58.962	0.1
59.1896	0.1
59.3356	0.1
59.5708	0.2
59.7716	0.1
59.9704	0.1
60.2092	0.1
60.462	0.2
60.6292	0.1
60.79	0.1
60.9916	0.1
61.2464	0.2
61.4724	0.1
61.5716	0.1
61.7868	0.1
62.0776	0.2
62.3008	0.1
62.484	0.1
62.7032	0.1
62.9516	0.2
63.0948	0.1
63.2476	0.1
63.3792	0.1
63.4864	0.2
63.6236	0.1
63.7384	0.1
63.8676	0.1
64.0572	0.2
64.1952	0.1
64.3408	0.1
64.4736	0.1
64.5468	0.2
64.6056	0.1
64.6768	0.1
64.7488	0.1
64.9052	0.2
65.0108	0.1
65.0872	0.1
65.1876	0.1
65.358	0.2
65.4584	0.1
65.594	0.1
65.6532	0.1
65.7672	0.2
65.8536	0.1
65.9436	0.1
65.9892	0.1
66.0692	0.2
66.1416	0.1
66.1976	0.1
66.2472	0.1
66.3032	0.2
66.348	0.1
66.4148	0.1
66.4396	0.1
66.5384	0.2
66.65	0.1
66.7104	0.1
66.8312	0.1
66.9208	0.2
66.9568	0.1
66.9884	0.1
67.0336	0.1
67.1112	0.2
67.1424	0.1
67.1532	0.1
67.17	0.1
67.1968	0.2
67.2376	0.1
67.296	0.1
67.3432	0.1
67.366	0.2
67.3984	0.1
67.4336	0.1
67.4728	0.1
67.5644	0.2
67.6264	0.1
67.6596	0.1
67.722	0.1
67.7784	0.2
67.8148	0.1
67.8532	0.1
67.8964	0.1
67.9748	0.2
68.0268	0.1
68.0896	0.1
68.1288	0.1
68.1872	0.2
68.238	0.1
68.2524	0.1
68.2644	0.1
68.3148	0.2
68.3724	0.1
68.4568	0.1
68.5156	0.1
68.5348	0.2
68.5696	0.1
68.6132	0.1
68.6448	0.1
68.6648	0.2
68.6844	0.1
68.7184	0.1
68.7236	0.1
68.7352	0.2
68.7512	0.1
68.7628	0.1
68.7776	0.1
68.7952	0.2
68.8064	0.1
68.8208	0.1
68.838	0.1
68.8396	0.2
68.842	0.1
68.8428	0.1
68.846	0.1
68.8512	0.2
68.8568	0.1
68.862	0.1
68.8676	0.1
68.8744	0.2
68.876	0.1
68.8792	0.1
68.8796	0.1
68.8832	0.2
68.8836	0.1
68.8844	0.1
68.8856	0.1
68.8868	0.2
68.89	0.1
68.89	0.1
68.89	0.1
68.8904	0.2
68.8904	0.1
68.8908	0.1
