Created robot #0
  Memory locations:
	Port:	6665
	Client:		0xab1880
	Pos2dProxy:	0xab6ca0
	Ranger:		0xab6f80
Created robot #1
  Memory locations:
	Port:	6666
	Client:		0xab7300
	Pos2dProxy:	0xab5620
	Ranger:		0xab5900
Created robot #2
  Memory locations:
	Port:	6667
	Client:		0xab7b90
	Pos2dProxy:	0xab73d0
	Ranger:		0xab7690
Created robot #3
  Memory locations:
	Port:	6668
	Client:		0xab8420
	Pos2dProxy:	0xab7910
	Ranger:		0xab7e60
Created robot #4
  Memory locations:
	Port:	6669
	Client:		0xab8ac0
	Pos2dProxy:	0xab8540
	Ranger:		0xab87c0
Press any key to begin, and q to stop.
Explored (%)	Simulation Timestep (s)
0	8.2
4.9632	0.1
6.2556	0.2
6.7208	0.2
7.0876	0.1
7.3564	0.2
7.612	0.2
7.8132	0.1
8.0364	0.2
8.1756	0.2
8.338	0.1
8.5608	0.2
8.7132	0.2
8.9996	0.1
9.2784	0.2
9.454	0.3
9.7068	0.2
9.9544	0.2
10.1216	0.1
10.332	0.2
10.4944	0.2
10.646	0.1
10.8512	0.2
11.0516	0.2
11.3428	0.1
11.7192	0.2
11.922	0.2
12.1256	0.1
12.2736	0.2
12.3632	0.3
12.5856	0.2
12.9396	0.2
13.3232	0.1
13.7648	0.2
13.982	0.2
14.1596	0.1
14.4508	0.2
14.7076	0.3
15.1316	0.2
15.5036	0.2
15.7344	0.1
16.0648	0.2
16.4288	0.2
16.6416	0.1
16.7724	0.2
17.1856	0.1
17.578	0.2
17.7948	0.3
18.072	0.2
18.4412	0.2
18.6432	0.1
18.9064	0.2
19.1828	0.2
19.3836	0.1
19.7228	0.2
20.0216	0.2
20.488	0.1
20.8476	0.2
21.0932	0.2
21.5616	0.1
22.0112	0.2
22.2808	0.3
22.7676	0.2
23.048	0.2
23.2544	0.1
23.5888	0.2
23.9296	0.2
24.2392	0.1
24.68	0.2
24.944	0.2
25.384	0.1
25.834	0.2
26.1184	0.2
26.5912	0.1
27.022	0.2
27.346	0.3
27.7296	0.2
28.0504	0.2
28.3924	0.1
28.7324	0.2
29.0632	0.2
29.5388	0.1
29.9684	0.2
30.252	0.3
30.6396	0.2
31.2036	0.2
31.6568	0.1
32.1408	0.2
32.6292	0.2
33.0724	0.1
33.5124	0.2
33.8848	0.3
34.354	0.2
34.7612	0.2
35.1464	0.1
35.6704	0.2
36.0684	0.2
36.3812	0.1
36.714	0.2
37.0824	0.2
37.3976	0.1
37.8556	0.2
38.3552	0.2
38.8544	0.1
39.3164	0.2
39.6956	0.3
40.246	0.2
40.8064	0.2
41.2428	0.1
41.6556	0.2
41.992	0.2
42.4372	0.1
42.9808	0.2
43.322	0.2
43.7372	0.1
44.2088	0.2
44.5368	0.2
45.0904	0.1
45.6192	0.2
46.1416	0.3
46.676	0.2
47.1408	0.2
47.712	0.1
48.2796	0.2
48.6504	0.3
49.2288	0.2
49.8856	0.2
50.2332	0.1
50.7172	0.2
51.39	0.2
51.904	0.1
52.3648	0.2
52.9288	0.2
53.2844	0.2
53.6852	0.2
54.1156	0.2
54.7748	0.1
55.4204	0.2
56.13	0.2
56.7248	0.1
57.2188	0.2
57.5836	0.1
58.1356	0.2
58.7056	0.3
59.168	0.2
59.8664	0.2
60.314	0.1
60.8064	0.1
61.3988	0.1
62.054	0.2
62.6864	0.2
63.3604	0.1
63.7164	0.2
64.2052	0.3
64.8464	0.3
65.5076	0.1
66.0636	0.1
66.56	0.3
67.1356	0.2
67.8136	0.2
68.4016	0.1
68.92	0.2
69.6264	0.2
70.2104	0.2
70.8064	0.1
71.5088	0.2
71.996	0.2
72.5348	0.1
73.2344	0.2
73.6536	0.1
74.262	0.2
74.8084	0.3
75.3	0.2
75.736	0.2
76.0884	0.1
76.6364	0.1
77.1572	0.1
77.6784	0.2
78.2032	0.2
78.5056	0.1
78.9504	0.2
79.3524	0.3
79.9928	0.3
80.5096	0.1
80.9872	0.1
81.5364	0.3
82.054	0.2
82.4816	0.2
82.8284	0.1
83.092	0.2
83.4776	0.2
83.8836	0.2
84.4116	0.1
84.8164	0.2
85.2292	0.2
85.6016	0.1
86.064	0.2
86.4732	0.1
86.9756	0.2
87.3756	0.3
87.6616	0.2
88.0904	0.2
88.4784	0.2
88.8464	0.1
89.1128	0.2
89.4012	0.2
89.6616	0.1
90.01	0.3
90.3216	0.1
90.652	0.1
90.8764	0.3
91.0828	0.2
91.3892	0.2
91.7392	0.1
92.0556	0.1
92.404	0.1
92.6784	0.2
92.826	0.2
93.0156	0.1
93.1964	0.3
93.3712	0.1
93.5644	0.1
93.7956	0.3
93.9728	0.2
94.102	0.3
94.25	0.2
94.4272	0.2
94.5904	0.1
94.708	0.1
94.874	0.1
94.9728	0.2
95.0588	0.2
95.1048	0.1
95.1536	0.2
95.2416	0.3
95.4212	0.3
95.5344	0.1
95.608	0.1
95.7148	0.3
95.7936	0.2
95.9352	0.2
96.0316	0.1
96.1152	0.2
96.2492	0.2
96.3048	0.2
96.36	0.1
96.4108	0.2
96.458	0.2
96.4888	0.1
96.6416	0.2
96.7976	0.1
96.8624	0.2
96.9888	0.3
97.0804	0.2
97.1464	0.2
97.2712	0.1
97.4128	0.1
97.536	0.1
97.5972	0.2
97.6272	0.2
97.672	0.1
97.7328	0.2
97.8148	0.3
97.8848	0.3
97.9968	0.1
98.0728	0.1
98.1508	0.3
98.2104	0.2
98.2708	0.2
98.3152	0.1
98.3532	0.2
98.3908	0.2
98.4428	0.2
98.4692	0.1
98.5028	0.2
98.5232	0.2
98.5468	0.1
98.5724	0.2
98.5928	0.1
98.6292	0.2
98.6544	0.3
98.676	0.2
98.7008	0.2
98.7052	0.1
98.7192	0.2
98.7328	0.2
98.7416	0.2
98.764	0.1
98.7652	0.2
98.7732	0.2
98.784	0.1
98.7956	0.2
98.8024	0.2
98.8208	0.1
98.8372	0.2
98.8448	0.1
98.8548	0.2
98.8652	0.3
98.8868	0.2
98.9	0.2
98.934	0.1
98.9516	0.1
98.9732	0.1
98.9836	0.2
98.9956	0.2
99.0084	0.1
99.0228	0.2
99.0348	0.2
99.0404	0.1
99.0548	0.3
99.0636	0.2
99.0752	0.2
99.0788	0.1
99.0904	0.2
99.0936	0.2
99.0984	0.2
99.11	0.1
99.1168	0.2
99.1184	0.2
99.126	0.1
99.132	0.2
99.138	0.3
99.1472	0.2
99.1512	0.3
99.1536	0.2
99.1568	0.2
99.1572	0.1
99.1572	0.2
99.1572	0.2
99.1572	0.1
99.1572	0.2
99.158	0.2
99.158	0.1
99.1608	0.2
99.174	0.2
99.1852	0.1
99.1892	0.2
99.1916	0.3
99.1996	0.2
99.212	0.2
